countrycode,order
AFG,1
ALB,2
DZA,3
ADO,4
AGO,5
ATG,6
ARG,7
ARM,8
AUS,9
AUT,10
AZE,11
BHS,12
BHR,13
BGD,14
BRB,15
BLR,16
BEL,17
BLZ,18
BEN,19
BTN,20
BOL,21
BIH,22
BWA,23
BRA,24
BRN,25
BGR,26
BFA,27
BDI,28
CIV,29
CPV,30
KHM,31
CMR,32
CAN,33
CAF,34
TCD,35
CHL,36
CHN,37
COL,38
COM,39
COG,40
COK,41
CRI,42
HRV,43
CUB,44
CYP,45
CZE,46
PRK,47
COD,48
DNK,49
DJI,50
DMA,51
DOM,52
ECU,53
EGY,54
SLV,55
GNQ,56
ERI,57
EST,58
ETH,59
FJI,60
FIN,61
FRA,62
GAB,63
GMB,64
GEO,65
DEU,66
GHA,67
GRC,68
GRD,69
GTM,70
GIN,71
GNB,72
GUY,73
HTI,74
HND,75
HUN,76
ISL,77
IND,78
IDN,79
IRN,80
IRQ,81
IRL,82
ISR,83
ITA,84
JAM,85
JPN,86
JOR,87
KAZ,88
KEN,89
KIR,90
KWT,91
KGZ,92
LAO,93
LVA,94
LBN,95
LSO,96
LBR,97
LBY,98
LTU,99
LUX,100
MDG,101
MWI,102
MYS,103
MDV,104
MLI,105
MLT,106
MHL,107
MRT,108
MUS,109
MEX,110
FSM,111
MCO,112
MNG,113
MNE,114
MAR,115
MOZ,116
MMR,117
NAM,118
NRU,119
NPL,120
NLD,121
NZL,122
NIC,123
NER,124
NGA,125
NIU,126
NOR,127
OMN,128
PAK,129
PLW,130
PAN,131
PNG,132
PRY,133
PER,134
PHL,135
POL,136
PRT,137
QAT,138
KOR,139
MDA,140
ROU,141
RUS,142
RWA,143
KNA,144
LCA,145
VCT,146
WSM,147
SMR,148
STP,149
SAU,150
SEN,151
SRB,152
SYC,153
SLE,154
SGP,155
SVK,156
SVN,157
SLB,158
SOM,159
ZAF,160
ESP,161
LKA,162
SDN,163
SUR,164
SWZ,165
SWE,166
CHE,167
SYR,168
TJK,169
THA,170
MKD,171
TLS,172
TGO,173
TON,174
TTO,175
TUN,176
TUR,177
TKM,178
TUV,179
UGA,180
UKR,181
ARE,182
GBR,183
TZA,184
USA,185
URY,186
UZB,187
VUT,188
VEN,189
VNM,190
YEM,191
ZMB,192
ZWE,193
,194
ANT,195
NCL,196
PSE,197
BMU,198
PYF,199
CSS,
HKG,
MAC,
TWN,
