countrycode,order,DHS
HIGHIN,,HIGHIN
SOTRLA,,SOTRLA
CEEAEU,,CEEAEU
CALACA,,CALACA
CANAME,,CANAME
ESEASP,,ESEASP
SUSAAF,,SUSAAF
SOASIA,,SOASIA
ALB,1,Albania
ARM,2,Armenia
AZE,3,Azerbaijan
BGD,4,Bangladesh
BEN,5,Benin
BOL,6,Bolivia
BRA,7,Brazil
BFA,8,Burkina Faso
BDI,9,Burundi
KHM,10,Cambodia
CMR,11,Cameroon
CAF,12,Central African Republic
TCD,13,Chad
COL,14,Colombia
COM,15,Comoros
COG,16,Congo (Brazzaville)
COD,17,Congo Democratic Republic
CIV,18,Cote d'Ivoire
DOM,19,Dominican Republic
ECU,20,Ecuador
EGY,21,Egypt
SLV,22,El Salvador
ERI,23,Eritrea
ETH,24,Ethiopia
GAB,25,Gabon
GHA,26,Ghana
GTM,27,Guatemala
GIN,28,Guinea
GUY,29,Guyana
HTI,30,Haiti
HND,31,Honduras
IND,32,India
IDN,33,Indonesia
JOR,34,Jordan
KAZ,35,Kazakhstan
KEN,36,Kenya
KGZ,37,Kyrgyz Republic
LSO,38,Lesotho
LBR,39,Liberia
MDG,40,Madagascar
MWI,41,Malawi
MDV,42,Maldives
MLI,43,Mali
MRT,44,Mauritania
MDA,45,Moldova
MAR,46,Morocco
MOZ,47,Mozambique
NAM,48,Namibia
NPL,49,Nepal
NIC,50,Nicaragua
NER,51,Niger
NGA,52,Nigeria
PAK,53,Pakistan
PRY,54,Paraguay
PER,55,Peru
PHL,56,Philippines
RWA,57,Rwanda
STP,58,Sao Tome and Principe
SEN,59,Senegal
SLE,60,Sierra Leone
ZAF,61,South Africa
SWZ,62,Swaziland
TJK,63,Tajikistan
TZA,64,Tanzania
TLS,65,Timor-Leste
TGO,66,Togo
TUR,67,Turkey
TKM,68,Turkmenistan
UGA,69,Uganda
UKR,70,Ukraine
UZB,71,Uzbekistan
VNM,72,Vietnam
YEM,73,Yemen
ZMB,74,Zambia
ZWE,75,Zimbabwe
BWA,82,Botswana
MEX,121,Mexico
LKA,139,Sri Lanka
SDN,140,Sudan
THA,144,Thailand
TTO,147,Trinidad and Tobago
TUN,148,Tunisia
AFG,,
AFRICA,,
ALA,,
DZA,,
Americas,,
ASM,,
ANR,,
AND,,
AGO,,
AIA,,
ATA,,
ATG,,
ARB,,
ARG,,
ABW,,
Ashm,,
ASIA,,
AUS,,
Australia and New Zealand,,
AUT,,
BHS,,
BHR,,
BRB,,
BLR,,
BEL,,
BLZ,,
BMU,,
BTN,,
BIH,,
IOT,,
VGB,,
BRN,,
BGR,,
CPV,,
CAN,,
CSS,,
CYM,,
Central America,,
Central Asia,,
CEB,,
CHI,,
CHL,,
CHN,,
HKG,,
MAC,,
CHN,,
TWN,,
COK,,
CRI,,
HRV,,
CUB,,
CUW,,
CYP,,
CZE,,
PRK,,
DNK,,
DJI,,
DMA,,
EAS,,
EAP,,
CEA,,
Eastern Africa,,
Eastern Europe,,
GNQ,,
EST,,
Europe,,
EMU,,
EUU,,
ECS,,
ECA,,
CEU,,
EUU,,
FLK,,
FRO,,
FJI,,
FIN,,
FCS,,
FRA,,
GUF,,
PYF,,
ATF,,
GMB,,
Gaza,,
GEO,,
DEU,,
GRC,,
GRL,,
GRD,,
Guadeloupe,,
GUM,,
GGY,,
GNB,,
HMD,,
HPC,,
HIC,,
NOC,,
OEC,,
HUN,,
ISL,,
IOA,,
IRN,,
IRQ,,
IRL,,
IMN,,
ISR,,
ITA,,
JAM,,
JPN,,
JEY,,
KIR,,
KOS,,
KWT,,
LLDC,,
LAO,,
LCN,,
LAC,,
LCR,,
CLA,,
LVA,,
LDC,,
LBN,,
LeDeR,,
LeDeREC,,
LeDeRELDR,,
LBY,,
LIE,,
LTU,,
LIFDC,,
LMY,,
LIC,,
LMC,,
LUX,,
MKD,,
MYS,,
MLT,,
MHL,,
Martinique,,
MUS,,
Mayotte,,
Melanesia,,
MCA,,
FSM,,
Micronesia,,
MAFR,,
MEA,,
MNA,,
CME,,
MIC,,
MCO,,
MNG,,
MNE,,
MSR,,
MoDeR,,
MMR,,
CYN,,
MNP,,
NRU,,
NeFoIC,,
NLD,,
ANT,,
NCL,,
NZL,,
NIU,,
NFK,,
NAFR,,
NAC,,
NEUR,,
NOR,,
INX,,
PSE,,
Oceania,,
OED,,
OMN,,
OSS,,
PSS,,
PLW,,
PAN,,
PNG,,
PCN,,
POL,,
POLYN,,
PRT,,
PRI,,
QAT,,
KOR,,
ROU,,
RUS,,
SGS,,
SSD,,
SHN,,
KNA,,
LCA,,
VCT,,
BLM,,
MAF,,
SPM,,
VCT,,
WSM,,
SMR,,
SAU,,
SRB,,
SRB,,
SYC,,
SGP,,
SXM,,
SVK,,
SVN,,
SST,,
SLB,,
SOM,,
SOL,,
SouAm,,
SouEAs,,
SAS,,
CSA,,
SouCeAs,,
SCE,,
SouAfr,,
SouAs,,
SouEur,,
ESP,,
SSF,,
SSA,,
CAA,,
SUR,,
SWE,,
CHE,,
SYR,,
TON,,
TCA,,
TUV,,
VIR,,
ARE,,
GBR,,
USA,,
UMC,,
URY,,
VUT,,
VAT,,
VEN,,
ESH,,
WLF,,
WeAf,,
WeAs,,
WeEu,,
WLD,,
FrePol,,
KAS,,
StKiN,,
