,country
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua_and_Barbuda
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,Bahamas
13,Bahrain
14,Bangladesh
15,Barbados
16,Belarus
17,Belgium
18,Belize
19,Benin
20,Bhutan
21,Bolivia_(Plurinational_State_of)
22,Bosnia_and_Herzegovina
23,Botswana
24,Brazil
25,Brunei_Darussalam
26,Bulgaria
27,Burkina_Faso
28,Burundi
29,C?te_d'Ivoire
30,Cabo_Verde
31,Cambodia
32,Cameroon
33,Canada
34,Central_African_Republic
35,Chad
36,Chile
37,China
38,Colombia
39,Comoros
40,Congo
41,Cook_Islands
42,Costa_Rica
43,Croatia
44,Cuba
45,Cyprus
46,Czech_Republic
47,Democratic_People's_Republic_of_Korea
48,Democratic_Republic_of_the_Congo
49,Denmark
50,Djibouti
51,Dominica
52,Dominican_Republic
53,Ecuador
54,Egypt
55,El_Salvador
56,Equatorial_Guinea
57,Eritrea
58,Estonia
59,Ethiopia
60,Fiji
61,Finland
62,France
63,Gabon
64,Gambia
65,Georgia
66,Germany
67,Ghana
68,Greece
69,Grenada
70,Guatemala
71,Guinea
72,Guinea-Bissau
73,Guyana
74,Haiti
75,Honduras
76,Hungary
77,Iceland
78,India
79,Indonesia
80,Iran_(Islamic_Republic_of)
81,Iraq
82,Ireland
83,Israel
84,Italy
85,Jamaica
86,Japan
87,Jordan
88,Kazakhstan
89,Kenya
90,Kiribati
91,Kuwait
92,Kyrgyzstan
93,Lao_People's_Democratic_Republic
94,Latvia
95,Lebanon
96,Lesotho
97,Liberia
98,Libya
99,Lithuania
100,Luxembourg
101,Madagascar
102,Malawi
103,Malaysia
104,Maldives
105,Mali
106,Malta
107,Marshall_Islands
108,Mauritania
109,Mauritius
110,Mexico
111,Micronesia_(Federated_States_of)
112,Monaco
113,Mongolia
114,Montenegro
115,Morocco
116,Mozambique
117,Myanmar
118,Namibia
119,Nauru
120,Nepal
121,Netherlands
122,New_Zealand
123,Nicaragua
124,Niger
125,Nigeria
126,Niue
127,Norway
128,Oman
129,Pakistan
130,Palau
131,Panama
132,Papua_New_Guinea
133,Paraguay
134,Peru
135,Philippines
136,Poland
137,Portugal
138,Qatar
139,Republic_of_Korea
140,Republic_of_Moldova
141,Romania
142,Russian_Federation
143,Rwanda
144,Saint_Kitts_and_Nevis
145,Saint_Lucia
146,Saint_Vincent_and_the_Grenadines
147,Samoa
148,San_Marino
149,Sao_Tome_and_Principe
150,Saudi_Arabia
151,Senegal
152,Serbia
153,Seychelles
154,Sierra_Leone
155,Singapore
156,Slovakia
157,Slovenia
158,Solomon_Islands
159,Somalia
160,South_Africa
161,Spain
162,Sri_Lanka
163,Sudan
164,Suriname
165,Swaziland
166,Sweden
167,Switzerland
168,Syrian_Arab_Republic
169,Tajikistan
170,Thailand
171,The_former_Yugoslav_Republic_of_Macedonia
172,Timor-Leste
173,Togo
174,Tonga
175,Trinidad_and_Tobago
176,Tunisia
177,Turkey
178,Turkmenistan
179,Tuvalu
180,Uganda
181,Ukraine
182,United_Arab_Emirates
183,United_Kingdom
184,United_Republic_of_Tanzania
185,United_States_of_America
186,Uruguay
187,Uzbekistan
188,Vanuatu
189,Venezuela_(Bolivarian_Republic_of)
190,Viet_Nam
191,Yemen
192,Zambia
193,Zimbabwe
194,
195,Netherlands_Antilles
196,New_Caledonia
197,Occupied_Palestinian_Territory
198,Bermuda
199,French_Polynesia
