order,HHS,countrycode
1,Albania,ALB
2,Azerbaijan,AZE
3,Bangladesh,BGD
4,Bolivia (Plurinational State of),BOL
5,Cambodia,KHM
6,Chad,TCD
7,Côte d'Ivoire,CIV
8,Egypt,EGY
9,Ghana,GHA
10,Guatemala,GTM
11,Haiti,HTI
12,Hungary,HUN
13,Iraq,IRQ
14,Kenya,KEN
15,Lao People's Democratic Republic,LAO
16,Lithuania,LTU
17,Malawi,MWI
18,Mali,MLI
19,Mexico,MEX
20,Mozambique,MOZ
21,Nepal,NPL
22,Niger,NER
23,Pakistan,PAK
24,Panama,PAN
25,Papua New Guinea,PNG
26,Paraguay,PRY
27,Philippines,PHL
28,Republic of Moldova,MDA
29,Sri Lanka,LKA
30,Sudan (former),SDN
31,Tajikistan,TJK
32,Timor-Leste,TLS
33,Togo,TGO
34,Uganda,TUN
35,Venezuela (Bolivarian Republic of),VEN
36,Viet Nam,VNM
37,Zambia,ZMB
38,,KAS
39,,StKiN
,,AFG
,,AFRICA
,,ALA
,,DZA
,,Americas
,,ASM
,,ANR
,,AND
,,AGO
,,AIA
,,ATA
,,ATG
,,ARB
,,ARG
,,ARM
,,ABW
,,Ashm
,,ASIA
,,AUS
,,Australia and New Zealand
,,AUT
,,BHS
,,BHR
,,BRB
,,BLR
,,BEL
,,BLZ
,,BEN
,,BMU
,,BTN
,,BIH
,,BWA
,,IOT
,,BRA
,,VGB
,,BRN
,,BGR
,,BFA
,,BDI
,,CPV
,,CMR
,,CAN
,,CSS
,,CYM
,,CAF
,,Central America
,,Central Asia
,,CEB
,,CHI
,,CHL
,,CHN
,,HKG
,,MAC
,,CHN
,,TWN
,,COL
,,COM
,,COG
,,COD
,,COK
,,CRI
,,HRV
,,CUB
,,CUW
,,CYP
,,CZE
,,PRK
,,DNK
,,DJI
,,DMA
,,DOM
,,EAS
,,EAP
,,CEA
,,Eastern Africa
,,Eastern Europe
,,ECU
,,SLV
,,GNQ
,,ERI
,,EST
,,ETH
,,Europe
,,EMU
,,EUU
,,ECS
,,ECA
,,CEU
,,EUU
,,FLK
,,FRO
,,FJI
,,FIN
,,FCS
,,FRA
,,GUF
,,PYF
,,ATF
,,GAB
,,GMB
,,Gaza
,,GEO
,,DEU
,,GRC
,,GRL
,,GRD
,,Guadeloupe
,,GUM
,,GGY
,,GIN
,,GNB
,,GUY
,,HMD
,,HPC
,,HIC
,,NOC
,,OEC
,,HND
,,ISL
,,IND
,,IOA
,,IDN
,,IRN
,,IRL
,,IMN
,,ISR
,,ITA
,,JAM
,,JPN
,,JEY
,,JOR
,,KAZ
,,KIR
,,KOS
,,KWT
,,KGZ
,,LLDC
,,LCN
,,LAC
,,LCR
,,CLA
,,LVA
,,LDC
,,LBN
,,LSO
,,LeDeR
,,LeDeREC
,,LeDeRELDR
,,LBR
,,LBY
,,LIE
,,LIFDC
,,LMY
,,LIC
,,LMC
,,LUX
,,MKD
,,MDG
,,MYS
,,MDV
,,MLT
,,MHL
,,Martinique
,,MRT
,,MUS
,,Mayotte
,,Melanesia
,,MCA
,,FSM
,,Micronesia
,,MAFR
,,MEA
,,MNA
,,CME
,,MIC
,,MCO
,,MNG
,,MNE
,,MSR
,,MoDeR
,,MAR
,,MMR
,,CYN
,,MNP
,,NAM
,,NRU
,,NeFoIC
,,NLD
,,ANT
,,NCL
,,NZL
,,NIC
,,NGA
,,NIU
,,NFK
,,NAFR
,,NAC
,,NEUR
,,NOR
,,INX
,,PSE
,,Oceania
,,OED
,,OMN
,,OSS
,,PSS
,,PLW
,,PER
,,PCN
,,POL
,,POLYN
,,PRT
,,PRI
,,QAT
,,KOR
,,ROU
,,RUS
,,RWA
,,SGS
,,SSD
,,SHN
,,KNA
,,LCA
,,VCT
,,BLM
,,MAF
,,SPM
,,VCT
,,WSM
,,SMR
,,STP
,,SAU
,,SEN
,,SRB
,,SRB
,,SYC
,,SLE
,,SGP
,,SXM
,,SVK
,,SVN
,,SST
,,SLB
,,SOM
,,SOL
,,ZAF
,,SouAm
,,SouEAs
,,SAS
,,CSA
,,SouCeAs
,,SCE
,,SouAfr
,,SouAs
,,SouEur
,,ESP
,,SSF
,,SSA
,,CAA
,,SUR
,,SWZ
,,SWE
,,CHE
,,SYR
,,TZA
,,THA
,,TON
,,TTO
,,TUR
,,TKM
,,TCA
,,TUV
,,VIR
,,UGA
,,UKR
,,ARE
,,GBR
,,USA
,,UMC
,,URY
,,UZB
,,VUT
,,VAT
,,ESH
,,WLF
,,WeAf
,,WeAs
,,WeEu
,,WLD
,,YEM
,,ZWE
,,FrePol
,HIGHIN,HIGHIN
,SOTRLA,SOTRLA
,CEEAEU,CEEAEU
,CALACA,CALACA
,CANAME,CANAME
,ESEASP,ESEASP
,SUSAAF,SUSAAF
,SOASIA,SOASIA
