order,SOFI,countrycode,
1,Albania,ALB,
2,Algeria,DZA,
3,Angola,AGO,
4,Antigua and Barbuda,ATG,
5,Argentina,ARG,
6,Armenia,ARM,
7,Australia,AUS,
8,Austria,AUT,
9,Azerbaijan,AZE,
10,Bahamas,BHS,
11,Bangladesh,BGD,
12,Barbados,BRB,
13,Belarus,BLR,
14,Belgium,BEL,
15,Belize,BLZ,
16,Benin,BEN,
17,Bermuda,BMU,
18,Bolivia (Plurinational State of),BOL,
19,Bosnia and Herzegovina,BIH,
20,Botswana,BWA,
21,Brazil,BRA,
22,Brunei Darussalam,BRN,
23,Bulgaria,BGR,
24,Burkina Faso,BFA,
25,Burundi,BDI,
26,Cambodia,KHM,
27,Cameroon,CMR,
28,Canada,CAN,
29,Cape Verde,CPV,
30,Central African Republic,CAF,
31,Chad,TCD,
32,Chile,CHL,
33,China,CHN,
34,Colombia,COL,
35,Comoros,COM,
36,Congo,COG,
37,Costa Rica,CRI,
38,Côte d'Ivoire,CIV,
39,Croatia,HRV,
40,Cuba,CUB,
41,Cyprus,CYP,
42,Czech Republic,CZE,
43,Democratic People's Republic of Korea,PRK,
44,Denmark,DNK,
45,Djibouti,DJI,
46,Dominica,DMA,
47,Dominican Republic,DOM,
48,Ecuador,ECU,
49,Egypt,EGY,
50,El Salvador,SLV,
51,Eritrea,ERI,
52,Estonia,EST,
53,Ethiopia,ETH,
54,Fiji,FJI,
55,Finland,FIN,
56,France,FRA,
57,French Polynesia,PYF,
58,Gabon,GAB,
59,Gambia,GMB,
60,Georgia,GEO,
61,Germany,DEU,
62,Ghana,GHA,
63,Greece,GRC,
64,Grenada,GRD,
65,Guatemala,GTM,
66,Guinea,GIN,
67,Guinea-Bissau,GNB,
68,Guyana,GUY,
69,Haiti,HTI,
70,Honduras,HND,
71,Hungary,HUN,
72,Iceland,ISL,
73,India,IND,
74,Indonesia,IDN,
75,Iran (Islamic Republic of),IRN,
76,Ireland,IRL,
77,Israel,ISR,
78,Italy,ITA,
79,Jamaica,JAM,
80,Japan,JPN,
81,Jordan,JOR,
82,Kazakhstan,KAZ,
83,Kenya,KEN,
84,Kiribati,KIR,
85,Kuwait,KWT,
86,Kyrgyzstan,KGZ,
87,Lao People's Democratic Republic,LAO,
88,Latvia,LVA,
89,Lebanon,LBN,
90,Lesotho,LSO,
91,Liberia,LBR,
92,Libya,LBY,
93,Lithuania,LTU,
94,Luxembourg,LUX,
95,Madagascar,MDG,
96,Malawi,MWI,
97,Malaysia,MYS,
98,Maldives,MDV,
99,Mali,MLI,
100,Malta,MLT,
101,Mauritania,MRT,
102,Mauritius,MUS,
103,Mexico,MEX,
104,Mongolia,MNG,
105,Montenegro,MNE,
106,Morocco,MAR,
107,Mozambique,MOZ,
108,Namibia,NAM,
109,Nepal,NPL,
110,Netherlands,NLD,
111,Netherlands Antilles,ANT,
112,New Caledonia,NCL,
113,New Zealand,NZL,
114,Nicaragua,NIC,
115,Niger,NER,
116,Nigeria,NGA,
117,Norway,NOR,
118,Occupied Palestinian Territories,PSE,
119,Pakistan,PAK,
120,Panama,PAN,
121,Paraguay,PRY,
122,Peru,PER,
123,Philippines,PHL,
124,Poland,POL,
125,Portugal,PRT,
126,Republic of Korea,KOR,
127,Republic of Moldova,MDA,
128,Romania,ROU,
129,Russian Federation,RUS,
130,Rwanda,RWA,
131,Saint Kitts and Nevis,KNA,
132,Saint Lucia,LCA,
133,Saint Vincent and the Grenadines,VCT,
134,Samoa,WSM,
135,Sao Tome and Principe,STP,
136,Saudi Arabia,SAU,
137,Senegal,SEN,
138,Serbia,SRB,
139,Serbia and Montenegro,SRB,
140,Seychelles,SYC,
141,Sierra Leone,SLE,
142,Slovakia,SVK,
143,Slovenia,SVN,
144,Solomon Islands,SLB,
145,South Africa,ZAF,
146,Spain,ESP,
147,Sri Lanka,LKA,
148,Sudan,SDN,
149,Suriname,SUR,
150,Swaziland,SWZ,
151,Sweden,SWE,
152,Switzerland,CHE,
153,Syrian Arab Republic,SYR,
154,Tajikistan,TJK,
155,Thailand,THA,
156,The former Yugoslav Republic of Macedonia,MKD,
157,Timor Leste,TLS,
158,Togo,TGO,
159,Trinidad and Tobago,TTO,
160,Tunisia,TUN,
161,Turkey,TUR,
162,Turkmenistan,TKM,
163,Uganda,UGA,
164,Ukraine,UKR,
165,United Arab Emirates,ARE,
166,United Kingdom,GBR,
167,United Republic of Tanzania,TZA,
168,United States of America,USA,
169,Uruguay,URY,
170,Uzbekistan,UZB,
171,Vanuatu,VUT,
172,Venezuela (Bolivarian Republic of),VEN,
173,Vietnam,VNM,
174,Yemen,YEM,
175,Zambia,ZMB,
176,Zimbabwe,ZWE,
177,HIGHIN,HIGHIN,
178,SOTRLA,SOTRLA,
179,CEEAEU,CEEAEU,
180,CALACA,CALACA,
181,CANAME,CANAME,
182,ESEASP,ESEASP,
183,SUSAAF,SUSAAF,
184,SOASIA,SOASIA,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
