order,sPDF,countrycode
1,Afghanistan,AFG
2,Angola,AGO
3,Albania,ALB
4,United Arab Emirates,ARE
5,Argentina,ARG
6,Armenia,ARM
7,Antarctica,ATA
8,Fr. S. and Antarctic Lands,ATF
9,Australia,AUS
10,Austria,AUT
11,Azerbaijan,AZE
12,Burundi,BDI
13,Belgium,BEL
14,Benin,BEN
15,Burkina Faso,BFA
16,Bangladesh,BGD
17,Bulgaria,BGR
18,Bahamas,BHS
19,Bosnia and Herz.,BIH
20,Belarus,BLR
21,Belize,BLZ
22,Bolivia,BOL
23,Brazil,BRA
24,Brunei,BRN
25,Bhutan,BTN
26,Botswana,BWA
27,Central African Rep.,CAF
28,Canada,CAN
29,Switzerland,CHE
30,Chile,CHL
31,China,CHN
32,Ivory Coast,CIV
33,Cameroon,CMR
34,Congo (Kinshasa),COD
35,Congo (Brazzaville),COG
36,Colombia,COL
37,Costa Rica,CRI
38,Cuba,CUB
39,N. Cyprus,CYN
40,Cyprus,CYP
41,Czech Rep.,CZE
42,Germany,DEU
43,Djibouti,DJI
44,Denmark,DNK
45,Dominican Rep.,DOM
46,Algeria,DZA
47,Ecuador,ECU
48,Egypt,EGY
49,Eritrea,ERI
50,Spain,ESP
51,Estonia,EST
52,Ethiopia,ETH
53,Finland,FIN
54,Fiji,FJI
55,Falkland Is.,FLK
56,France,FRA
57,Gabon,GAB
58,United Kingdom,GBR
59,Georgia,GEO
60,Ghana,GHA
61,Guinea,GIN
62,Gambia,GMB
63,Guinea Bissau,GNB
64,Eq. Guinea,GNQ
65,Greece,GRC
66,Greenland,GRL
67,Guatemala,GTM
68,Guyana,GUY
69,Honduras,HND
70,Croatia,HRV
71,Haiti,HTI
72,Hungary,HUN
73,Indonesia,IDN
74,India,IND
75,Ireland,IRL
76,Iran,IRN
77,Iraq,IRQ
78,Iceland,ISL
79,Israel,ISR
80,Italy,ITA
81,Jamaica,JAM
82,Jordan,JOR
83,Japan,JPN
84,Kazakhstan,KAZ
85,Kenya,KEN
86,Kyrgyzstan,KGZ
87,Cambodia,KHM
88,S. Korea,KOR
89,Kosovo,KOS
90,Kuwait,KWT
91,Laos,LAO
92,Lebanon,LBN
93,Liberia,LBR
94,Libya,LBY
95,Sri Lanka,LKA
96,Lesotho,LSO
97,Lithuania,LTU
98,Luxembourg,LUX
99,Latvia,LVA
100,Morocco,MAR
101,Moldova,MDA
102,Madagascar,MDG
103,Mexico,MEX
104,Macedonia,MKD
105,Mali,MLI
106,Myanmar,MMR
107,Montenegro,MNE
108,Mongolia,MNG
109,Mozambique,MOZ
110,Mauritania,MRT
111,Malawi,MWI
112,Malaysia,MYS
113,Namibia,NAM
114,New Caledonia,NCL
115,Niger,NER
116,Nigeria,NGA
117,Nicaragua,NIC
118,Netherlands,NLD
119,Norway,NOR
120,Nepal,NPL
121,New Zealand,NZL
122,Oman,OMN
123,Pakistan,PAK
124,Panama,PAN
125,Peru,PER
126,Philippines,PHL
127,Papua New Guinea,PNG
128,Poland,POL
129,Puerto Rico,PRI
130,N. Korea,PRK
131,Portugal,PRT
132,Paraguay,PRY
133,Qatar,QAT
134,Romania,ROU
135,Russia,RUS
136,Rwanda,RWA
137,W. Sahara,ESH
138,Saudi Arabia,SAU
139,Sudan,SDN
140,S. Sudan,SSD
141,Senegal,SEN
142,Solomon Is.,SLB
143,Sierra Leone,SLE
144,El Salvador,SLV
145,Somaliland,SOL
146,Somalia,SOM
147,Serbia,SRB
148,Suriname,SUR
149,Slovakia,SVK
150,Slovenia,SVN
151,Sweden,SWE
152,Swaziland,SWZ
153,Syria,SYR
154,Chad,TCD
155,Togo,TGO
156,Thailand,THA
157,Tajikistan,TJK
158,Turkmenistan,TKM
159,East Timor,TLS
160,Trinidad and Tobago,TTO
161,Tunisia,TUN
162,Turkey,TUR
163,Taiwan,TWN
164,Tanzania,TZA
165,Uganda,UGA
166,Ukraine,UKR
167,Uruguay,URY
168,United States,USA
169,Uzbekistan,UZB
170,Venezuela,VEN
171,Vietnam,VNM
172,Vanuatu,VUT
173,West Bank,PSE
174,Yemen,YEM
175,South Africa,ZAF
176,Zambia,ZMB
177,Zimbabwe,ZWE
178,Aruba,ABW
179,Anguilla,AIA
180,Aland,ALA
181,Andorra,AND
182,American Samoa,ASM
183,Ashmore and Cartier Is.,Ashm
184,Antigua and Barb.,ATG
185,Bahrain,BHR
186,St. Barthelemy,BLM
187,Bermuda,BMU
188,Barbados,BRB
189,Cook Is.,COK
190,Comoros,COM
191,Cape Verde,CPV
192,Curacao,CUW
193,Cayman Is.,CYM
194,Dominica,DMA
195,Faroe Is.,FRO
196,Micronesia,FSM
197,Gaza,Gaza
198,Guernsey,GGY
199,Grenada,GRD
200,Guam,GUM
201,Hong Kong,HKG
202,Heard I. and McDonald Is.,HMD
203,Isle of Man,IMN
204,Indian Ocean Ter.,IOA
205,Br. Indian Ocean Ter.,IOT
206,Jersey,JEY
207,NA,KAS
208,Kiribati,KIR
209,St. Kitts and Nevis,KNA
210,Saint Lucia,LCA
211,Liechtenstein,LIE
212,Macau,MAC
213,St. Martin,MAF
214,Monaco,MCO
215,Maldives,MDV
216,Marshall Is.,MHL
217,Malta,MLT
218,N. Mariana Is.,MNP
219,Montserrat,MSR
220,Mauritius,MUS
221,Norfolk Island,NFK
222,Niue,NIU
223,Nauru,NRU
224,Pitcairn Is.,PCN
225,Palau,PLW
226,Fr. Polynesia,PYF
227,Singapore,SGP
228,S. Geo. and S. Sandw. Is.,SGS
229,Saint Helena,SHN
230,San Marino,SMR
231,St. Pierre and Miquelon,SPM
232,Sao Tome and Principe,STP
233,Sint Maarten,SXM
234,Seychelles,SYC
235,Turks and Caicos Is.,TCA
236,Tonga,TON
237,Vatican,VAT
238,St. Vin. and Gren.,VCT
239,British Virgin Is.,VGB
240,U.S. Virgin Is.,VIR
241,Wallis and Futuna,WLF
242,Samoa,WSM
243,Tuvalu,TUV
244,French Guiana,GUF
,,AFRICA
,,Americas
,,ANR
,,ARB
,,ASIA
,,Australia and New Zealand
,,CSS
,,Central America
,,Central Asia
,,CEB
,,CHI
,,CHN
,,EAS
,,EAP
,,CEA
,,Eastern Africa
,,Eastern Europe
,,Europe
,,EMU
,,EUU
,,ECS
,,ECA
,,CEU
,,EUU
,,FCS
,,Guadeloupe
,,HPC
,,HIC
,,NOC
,,OEC
,,LLDC
,,LCN
,,LAC
,,LCR
,,CLA
,,LDC
,,LeDeR
,,LeDeREC
,,LeDeRELDR
,,LIFDC
,,LMY
,,LIC
,,LMC
,,Martinique
,,Mayotte
,,Melanesia
,,MCA
,,Micronesia
,,MAFR
,,MEA
,,MNA
,,CME
,,MIC
,,MoDeR
,,NeFoIC
,,ANT
,,NAFR
,,NAC
,,NEUR
,,INX
,,Oceania
,,OED
,,OSS
,,PSS
,,POLYN
,,VCT
,,SRB
,,SST
,,SouAm
,,SouEAs
,,SAS
,,CSA
,,SouCeAs
,,SCE
,,SouAfr
,,SouAs
,,SouEur
,,SSF
,,SSA
,,CAA
,,UMC
,,WeAf
,,WeAs
,,WeEu
,,WLD
,,FrePol
,,StKiN
,HIGHIN,HIGHIN
,SOTRLA,SOTRLA
,CEEAEU,CEEAEU
,CALACA,CALACA
,CANAME,CANAME
,ESEASP,ESEASP
,SUSAAF,SUSAAF
,SOASIA,SOASIA
