order,weight by region,countrycode
1,DZA,DZA
2,AGO,AGO
3,BEN,BEN
4,BWA,BWA
5,BFA,BFA
6,BDI,BDI
7,CIV,CIV
8,CPV,CPV
9,CMR,CMR
10,CAF,CAF
11,TCD,TCD
12,COM,COM
13,COG,COG
14,ZAR,COD
15,GNQ,GNQ
16,ERI,ERI
17,ETH,ETH
18,GAB,GAB
19,GMB,GMB
20,GHA,GHA
21,GIN,GIN
22,GNB,GNB
23,KEN,KEN
24,LSO,LSO
25,LBR,LBR
26,MDG,MDG
27,MWI,MWI
28,MLI,MLI
29,MRT,MRT
30,MUS,MUS
31,MOZ,MOZ
32,NAM,NAM
33,NER,NER
34,NGA,NGA
35,RWA,RWA
36,STP,STP
37,SEN,SEN
38,SYC,SYC
39,SLE,SLE
40,ZAF,ZAF
41,SWZ,SWZ
42,TGO,TGO
43,UGA,TUN
44,TZA,TZA
45,ZMB,VNM
46,ZWE,ZWE
47,ATG,ATG
48,ARG,ARG
49,BHS,BHS
50,BRB,BRB
51,BLZ,BLZ
52,BOL,BOL
53,BRA,BRA
54,CAN,CAN
55,CHL,CHL
56,COL,COL
57,CRI,CRI
58,CUB,CUB
59,DMA,DMA
60,DOM,DOM
61,ECU,ECU
62,SLV,SLV
63,GRD,GRD
64,GTM,GTM
65,GUY,GUY
66,HTI,HTI
67,HND,HND
68,JAM,JAM
69,MEX,MEX
70,NIC,NIC
71,PAN,PAN
72,PRY,PRY
73,PER,PER
74,KNA,KNA
75,LCA,LCA
76,VCT,VCT
77,SUR,SUR
78,TTO,TTO
79,ARE,ARE
80,USA,USA
81,URY,URY
82,VEN,VEN
83,ANT,ANT
84,BMU,BMU
85,AFG,AFG
86,BHR,BHR
87,DJI,DJI
88,EGY,EGY
89,IRN,IRN
90,IRQ,IRQ
91,JOR,JOR
92,KWT,KWT
93,LBN,LBN
94,LBY,LBY
95,MAR,MAR
96,OMN,OMN
97,PAK,PAK
98,QAT,QAT
99,SAU,SAU
100,SOM,
101,SDN,
102,SYR,
103,TUN,
104,YEM,
105,PSE,
106,ALB,
107,AND,
108,ARM,
109,AUT,
110,AZE,
111,BLR,
112,BEL,
113,BIH,
114,BGR,
115,HRV,
116,CYP,
117,CZE,
118,DNK,
119,EST,
120,FIN,
121,FRA,
122,GEO,
123,DEU,
124,GRC,
125,HUN,
126,ISL,
127,IRL,
128,ISR,
129,ITA,
130,KAZ,
131,KGZ,
132,LVA,
133,LTU,
134,LUX,
135,MLT,
136,MCO,
137,MNE,
138,NLD,
139,NOR,
140,POL,
141,PRT,
142,MDA,
143,ROM,
144,RUS,
145,SMR,
146,SRB,
147,SVK,
148,SVN,
149,ESP,
150,SWE,
151,CHE,
152,TJK,
153,MKD,
154,TUR,
155,TKM,
156,UKR,
157,GBR,
158,UZB,
159,BGD,
160,BTN,
161,PRK,
162,IND,
163,IDN,
164,MDV,
165,MMR,
166,NPL,
167,LKA,
168,THA,
169,TLS,
170,AUS,
171,BRN,
172,KHM,
173,CHN,
