plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,413,565,CTC,0,pots,0.964033398,1,0.00316323,0.00632646,15.57,15.01,0.051020408,0.00255102,NA,2,,Beijing_9701,1-Chinese_Academy_of_Agricultural_Science_experiment_station_in_Beijing2001-2002565NABeijing_9701ambientmedium,Lin_et_al_2005,Chinese_Academy_of_Agricultural_Science_experiment_station_in_Beijing,2001-2002,Beij,1,ok,
1,1,C3_cereal,wheat,413,565,CTC,1,field,0.940746159,1,0.010188315,0.02037663,13.67,12.86,0.137755102,0.051020408,NA,2,,ZhongYu_five,1-Chinese_Academy_of_Agricultural_Science_experiment_station_in_Beijing2001-2002565NAZhongYu_fiveambientmedium,Lin_et_al_2005,Chinese_Academy_of_Agricultural_Science_experiment_station_in_Beijing,2001-2002,Beij,1,ok,
1,1,C3_cereal,wheat,340,800,GC,0,pots,0.914832809,1,0.040752371,0.081504742,3.499,3.201,0.12,0.091,wet,2,,norman,1-Berlin800wetnormanambientmedium,Mueller_et_al_1993,Berlin,,Berl,1,ok,
1,1,C3_cereal,wheat,340,800,GC,0,pots,1.021937322,1,0.064592629,0.129185258,3.51,3.587,0.124,0.188,wet,2,,alcedo,1-Berlin800wetalcedoambientmedium,Mueller_et_al_1993,Berlin,,Berl,1,ok,
1,1,C3_cereal,wheat,340,800,GC,0,pots,0.898881432,1,0.043021791,0.086043582,4.47,4.018,0.149,0.138,dry,2,,alcedo,1-Berlin800dryalcedoambientmedium,Mueller_et_al_1993,Berlin,,Berl,1,no_samplesize,
1,1,C3_cereal,wheat,340,800,GC,0,pots,0.880056778,1,0.063405731,0.126811462,4.227,3.72,0.204,0.199,dry,2,,norman,1-Berlin800drynormanambientmedium,Mueller_et_al_1993,Berlin,,Berl,1,ok,
1,1,C3_cereal,wheat,384,718,OTC,0,pots,0.723140496,2,0.069991655,0.13998331,24.2,17.5,,,NA,2,,turbo,"1-Braunschweig,_Germany1992718NAturboambientNA",Manderschied_et_al_1995,"Braunschweig,_Germany",1992,Brau,1,ok,
1,1,C3_cereal,wheat,384,718,OTC,0,pots,0.70411985,2,0.073645653,0.147291306,26.7,18.8,,,NA,2,,star,"1-Braunschweig,_Germany1992718NAstarambientNA",Manderscheid_et_al_1995,"Braunschweig,_Germany",1992,Brau,1,ok,
1,1,C3_cereal,wheat,365,700,OTC,0,pots,0.929889299,2,0.001746258,0.003492516,2.71,2.7,,,NA,3,,minaret,"1-Braunschweig,_Germany1994700NAminaretambienthigh",Weigel_and_Manderscheid_2005,"Braunschweig,_Germany",1994,Brau,2,ok,
1,1,C3_cereal,wheat,379,689,OTC,0,pots,0.929889299,4,0.012596339,0.025192678,3.42,3.33,,,NA,3,,heines_kolben_1890,"1-Braunschweig,_Germany1994689NAheines_kolben_1890ambienthigh",Manderscheid_and_Weigel_1997,"Braunschweig,_Germany",1994,Brau,2,ok,
