plantorder,plantnumber,type,plant,paircount,CO2_quant,CO2_qual,facility,field01,fieldpots,replicate_facilities,N_est,SE_est,Var,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude
2,2,C3_cereal,rice,1,350,0,GC,0,pots,1,2.71,0,,NA,2,[P]_=_0,default,"2-University_of_Western_Sydney,_Australia700NANAambientNA[P]_=_0",Seneweera_et_al_1996_Seneweera_&_Conroy_1997_,"University_of_Western_Sydney,_Australia",,UWS,1,no_SD
1,1,C3_cereal,wheat,2,391,0,GH,0,pots,1,2.2,,,NA,2,entry_17,default,"1-Saskatoon,_Canada1994684NANAambientNAentry_17",Bai_et_al_2003,"Saskatoon,_Canada",1994,Sask,1,no_SD
1,1,C3_cereal,wheat,3,391,0,GH,0,pots,1,2.5,,,NA,2,entry_19,default,"1-Saskatoon,_Canada1994684NANAambientNAentry_19",Bai_et_al_2003,"Saskatoon,_Canada",1994,Sask,1,no_SD
15,54,oilcrop,soybean,4,350,0,OTC,1,field,4,41.1,,,NA,2,,default,"54-USDA-BARC1989,_1990500NANAambientNA",Mulchi_et_al_1995,USDA-BARC,"1989,_1990",BARC,1,no_SE
15,54,oilcrop,soybean,5,350,0,OTC,1,field,4,41.1,,,NA,2,,default,"54-USDA-BARC1989,_1990400NANAambientNA",Mulchi_et_al_1995,USDA-BARC,"1989,_1990",BARC,1,no_SE
1,1,C3_cereal,wheat,6,370,0,FACE,1,field,4,,,,wet,2,,default,"1-Maricopa,_Arizona1996550wetNAambientNA",Kimball_et_al_2001;_Pinter_et_al_1997,"Maricopa,_Arizona",1996,Mari,1,
1,1,C3_cereal,wheat,7,375,0,FACE,1,field,15,,,,NA,2,,default,"1-Heidfeldhof,_Stuttgart2004-2006526NANAambientNA",Högy_et_al_2009_BUT_THERE_ARE_TWO,"Heidfeldhof,_Stuttgart",2004-2006,Heid,5,SE_combined_with_sorghum
1,1,C3_cereal,wheat,8,370,0,FACE,1,field,4,,,,dry,2,,default,"1-Maricopa,_Arizona1996550dryNAambientNA",Kimball_et_al_2001;_Pinter_et_al_1997,"Maricopa,_Arizona",1996,Mari,1,
8,501,C3_cereal,spelt,9,380,0,GC,0,pots,3,,,,NA,2,,default,"501-Heidfeldhof,_Stuttgart550NANAambientNA",Franzaring_et_al_2013,"Heidfeldhof,_Stuttgart",,Heid,5,
3,3,C3_cereal,barley,10,380,0,GC,0,pots,3,2.373833333,,,NA,2,,default,"3-Heidfeldhof,_Stuttgart550NAmanyambientNA",Franzaring_et_al_2013,"Heidfeldhof,_Stuttgart",,Heid,5,
1,1,C3_cereal,wheat,11,367,0,FACE,1,field,4,,,,NA,3,,default,"1-Maricopa,_Arizona1997554NANAambienthigh",Pinter_et_al_1997;_Kimball_et_al_2001;_Porteaus_et_al_2009,"Maricopa,_Arizona",1997,Mari,2,no_SE
1,1,C3_cereal,wheat,12,367,0,FACE,1,field,4,,,,NA,1,,default,"1-Maricopa,_Arizona1997554NANAambientlow",Pinter_et_al_1997;_Kimball_et_al_2001;_Porteaus_et_al_2009,"Maricopa,_Arizona",1997,Mari,2,
15,54,oilcrop,soybean,13,346,0,OTC,1,field,2,406,0.176776695,0.03125,NA,2,,default,54-1982421NANAambientNA,Rogers_et_al_1986,,1982,Zrog86,1,no_SE
15,54,oilcrop,soybean,14,348,0,OTC,1,field,2,406,0.176776695,0.03125,NA,2,,default,54-1982349NANAambientNA,Rogers_et_al_1986,,1982,Zrog86,1,
15,54,oilcrop,soybean,15,346,0,OTC,1,field,2,406,0.176776695,0.03125,NA,2,,default,54-1982645NANAambientNA,Rogers_et_al_1986,,1982,Zrog86,1,
15,54,oilcrop,soybean,16,346,0,OTC,1,field,2,406,0.176776695,0.03125,NA,2,,default,54-1982496NANAambientNA,Rogers_et_al_1986,,1982,Zrog86,1,
5,5,C3_cereal,rye,17,380,0,GC,0,pots,3,,,,NA,2,,default,"5-Heidfeldhof,_Stuttgart550NANAambientNA",Franzaring_et_al_2013,"Heidfeldhof,_Stuttgart",,Heid,5,
15,54,oilcrop,soybean,18,346,0,OTC,1,field,2,448,0.441588043,0.195,dry,2,,default,54-1983645dryNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,
15,54,oilcrop,soybean,19,346,0,OTC,1,field,2,448,0.441588043,0.195,dry,2,,default,54-1983496dryNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,
15,54,oilcrop,soybean,20,346,0,OTC,1,field,2,448,0.441588043,0.195,dry,2,,default,54-1983349dryNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,
15,54,oilcrop,soybean,21,346,0,OTC,1,field,2,448,0.441588043,0.195,dry,2,,default,54-1983421dryNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,no_SE
15,54,oilcrop,soybean,22,346,0,OTC,1,field,2,434,0.441588043,0.195,wet,2,,default,54-1983645wetNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,
15,54,oilcrop,soybean,23,346,0,OTC,1,field,2,434,0.441588043,0.195,wet,2,,default,54-1983349wetNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,included_below
15,54,oilcrop,soybean,24,346,0,OTC,1,field,2,434,0.441588043,0.195,wet,2,,default,54-1983496wetNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,included_below
15,54,oilcrop,soybean,25,346,0,OTC,1,field,2,434,0.441588043,0.195,wet,2,,default,54-1983421wetNAambientNA,Rogers_et_al_1986,,1983,Zrog86,2,
1,1,C3_cereal,wheat,26,365,0,OTC,0,pots,2,2.71,,,NA,3,,minaret,"1-Braunschweig,_Germany1994700NAminaretambienthigh",Weigel_and_Manderscheid_2005,"Braunschweig,_Germany",1994,Brau,2,
1,1,C3_cereal,wheat,27,362,0,OTC_,0,pots,2,2.554,0,,NA,2,,default,"1-Giessen,_Germany1994680NANAambientmedium",Fangmeier_et_al_1997_,"Giessen,_Germany",1994,Gies,1,
