,pred,se,p,elevated,fieldpots,experiments,plant,,,,,
Wheat,0.921036894,0.044203383,2.03E-96,551.1363636,0.890909091,110,Wheat,Wheat,-7.896310552,-16.56017367,0.767552567,"-7.9 (-16.56, 0.77)"
Rice,0.927292718,0.038391919,6.89E-129,584.8095238,0.976190476,42,Rice,Rice,-7.270728246,-14.79554439,0.254087894,"-7.27 (-14.8, 0.25)"
Barley,0.867591356,0.101012921,8.78E-18,550,0.857142857,7,Barley,Barley,-13.24086439,-33.03939685,6.557668073,"-13.24 (-33.04, 6.56)"
Maize,0.956870944,0.172282351,2.79E-08,550,1,4,Maize,Maize,-4.3129056,-38.08024634,29.45443514,"-4.31 (-38.08, 29.45)"
Sorghum,1.002618918,0.127385153,3.52E-15,561,1,4,Sorghum,Sorghum,0.261891758,-24.70559824,25.22938176,"0.26 (-24.71, 25.23)"
C3,0.918655601,0.031892522,1.87E-182,559.8490566,0.899371069,159,C3,C3,-8.134439944,-14.38537429,-1.883505603,"-8.13 (-14.39, -1.88)"
C4,0.979381852,0.107641617,9.16E-20,555.5,1,8,C4,C4,-2.061814837,-23.15957174,19.03594207,"-2.06 (-23.16, 19.04)"
Grain,0.921985238,0.030669193,1.51E-198,559.6407186,0.904191617,167,Grain,Grain,-7.801476165,-13.81263791,-1.790314416,"-7.8 (-13.81, -1.79)"
Root,0.934511963,0.127233261,2.06E-13,551.1142857,0.928571429,7,Root,Root,-6.548803733,-31.48652294,18.38891547,"-6.55 (-31.49, 18.39)"
Potato,0.934511963,0.127233261,2.06E-13,551.1142857,0.928571429,7,Potato,Potato,-6.548803733,-31.48652294,18.38891547,"-6.55 (-31.49, 18.39)"
Sugarbeet,0.96,0.184512752,1.96E-07,NaN,NaN,0,Sugarbeet,Sugarbeet,-4,-40.16449931,32.16449931,"-4 (-40.16, 32.16)"
Pulse,0.977999113,0.068530203,3.31E-46,550,1,10,Pulse,Pulse,-2.2000887,-15.6320084,11.231831,"-2.2 (-15.63, 11.23)"
Peas,0.969286173,0.063098622,2.97E-53,584.6153846,0.769230769,13,Peas,Peas,-3.071382678,-15.43871261,9.295947251,"-3.07 (-15.44, 9.3)"
Beans,0.960182279,0.167391106,9.68E-09,NaN,NaN,0,Beans,Beans,-3.981772075,-36.79042878,28.82688463,"-3.98 (-36.79, 28.83)"
Chickpea,1.067686015,0.1388844,1.50E-14,700,0,2,Chickpea,Chickpea,6.7686015,-20.45274086,33.98994386,"6.77 (-20.45, 33.99)"
Oil,1.002600806,0.033981955,2.56E-191,545.5128205,0.897435897,39,Oil,Oil,0.260080559,-6.400382574,6.920543693,"0.26 (-6.4, 6.92)"
Soy,1.003328646,0.035056434,3.75E-180,546.34375,0.96875,32,Soy,Soy,0.332864635,-6.538196526,7.203925796,"0.33 (-6.54, 7.2)"
Mustard,0.9603928,0.167688726,1.02E-08,585.5,0.375,8,Mustard,Mustard,-3.960720041,-36.82771032,28.90627024,"-3.96 (-36.83, 28.91)"
Veg,0.857189444,0.203680441,2.57E-05,525,0.5,2,Veg,Veg,-14.2810556,-54.20242207,25.64031087,"-14.28 (-54.2, 25.64)"
