"","pred","se","ci.lb","ci.ub","cr.lb","cr.ub","slab","digits","method"
"predict.mr.d.metaplants1",0.929657614668218,0.00734479028270098,0.915262090240125,0.944053139096312,0.817945676951924,1.04136955238451,1,4,REML
"predict.mr.d.metaplants2",0.933474074055705,0.00802770014286056,0.917740070897011,0.949208077214398,0.876700651082264,0.990247497029145,1,4,REML
"predict.mr.d.metaplants3",0.87092007791939,0.0242831251610112,0.82332602717173,0.918514128667051,0.775047131339897,0.966793024498884,1,4,REML
"predict.mr.d.metaplants4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants7",1.02030951592662,0.0426385158484113,0.936739560509492,1.10387947134375,0.857932781412976,1.18268625044026,1,4,REML
"predict.mr.d.metaplants8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants9",0.919533196909877,0.262997472466294,0.404067622850876,1.43499877096888,0.404067622850876,1.43499877096888,1,4,REML
"predict.mr.d.metaplants10",0.0397955909039779,0.268156192592947,-0.485780888809585,0.56537207061754,-0.578526877936311,0.658118059744266,1,4,REML
"predict.mr.d.metaplants11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants12",0.958158867696411,0.166287634283716,0.632241093425959,1.28407664196686,0.624981342738691,1.29133639265413,1,4,REML
"predict.mr.d.metaplants13",1.08420006649588,0.0421260352910442,1.00163455451397,1.16676557847779,0.993158112630586,1.17524202036118,1,4,REML
"predict.mr.d.metaplants14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants15",0.98879062047941,0.00456019930256482,0.979852794084058,0.997728446874761,0.934862171506279,1.04271906945254,1,4,REML
"predict.mr.d.metaplants16",1.01773739534569,0.019180545186919,0.980144217575486,1.05533057311589,0.980144217575486,1.05533057311589,1,4,REML
"predict.mr.d.metaplants17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants18",0.925434270910164,0.05874246452138,0.810301156085137,1.04056738573519,0.710094443942832,1.14077409787749,1,4,REML
"predict.mr.d.metaplants19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.d.metaplants20",0.810397638550108,0.0724930850431188,0.668313802737396,0.95248147436282,0.538143425399635,1.08265185170058,1,4,REML
"predict.mr.d.metaplants21",NA,NA,NA,NA,NA,NA,NA,NA,NA
