"","pred","se","ci.lb","ci.ub","cr.lb","cr.ub","slab","digits","method"
"predict.mr.metaplants1",-7.35588331740718,0.687238664353447,-8.70284634832335,-6.00892028649101,-21.9054846113059,7.19371797649155,1,4,REML
"predict.mr.metaplants2",-4.3800462378567,1.30685095195002,-6.94142703684063,-1.81866543887276,-17.085374383581,8.32528190786763,1,4,REML
"predict.mr.metaplants3",-13.5859627572045,1.90663995291618,-17.3229083964054,-9.84901711800367,-24.2480947834479,-2.92383073096113,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.metaplants7",1.28686448095216,4.0135807198391,-6.57960917897681,9.15333814088113,-15.3409523607975,17.9146813227018,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.metaplants9",11.9624101102025,17.967475128785,-23.2531940353353,47.1780142557402,-50.0157293895286,73.9405496099335,1,4,REML
"predict.mr.metaplants10",-5.96885764387707,2.34069411740464,-10.5565338128149,-1.38118147493921,-21.9006415322606,9.96292624450644,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.metaplants12",-110.828879765811,248.180378469208,-597.253483234978,375.595723703355,-597.382934101351,375.725174569728,1,4,REML
"predict.mr.metaplants13",-2.07410039362478,1.28852981815919,-4.59957243022273,0.451371642973173,-10.3931382346177,6.2449374473681,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.metaplants15",-0.0427608484722386,1.00814482228896,-2.01868839135913,1.93316669441466,-15.7258137892571,15.6402920923127,1,4,REML
"predict.mr.metaplants16",1.40658573957311,2.63732267812883,-3.76247172517011,6.57564320431633,-5.90997560652659,8.7231470856728,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.metaplants18",0.120104886404675,4.93732009797805,-9.55686468577807,9.79707445858742,-28.8616883720907,29.1018981449,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"predict.mr.metaplants20",-6.97026307216437,7.29524312203509,-21.2686768498167,7.32815070548795,-46.0447097086837,32.1041835643549,1,4,REML
"",NA,NA,NA,NA,NA,NA,NA,NA,NA
