ItemName,CO2RR,CO2SE,note
"Alcohol, Non-Food",1,,
Apples and products,0.810397639,0.072493085,av veg
"Aquatic Animals, Others",1,,
Aquatic Plants,1,,
Bananas,0.810397639,0.072493085,av veg
Barley and products,0.870920078,0.024283125,barley
Beans,0.958158868,0.166287634,"beans, pot and field"
Beer,1,,
"Beverages, Alcoholic",1,,
"Beverages, Fermented",1,,
Bovine Meat,1,,
"Butter, Ghee",1,,
Cassava and products,0.919533197,0.262997472,"cassava, pot and field"
Cephalopods,1,,
"Cereals, Other",0.837072,4.18E-05,av all grains
"Citrus, Other",0.810397639,0.072493085,av veg
Cloves,0.810397639,0.072493085,
Cocoa Beans and products,0.810397639,0.072493085,av veg
Coconut Oil,0.991652012,0.00929507,
Coconuts - Incl Copra,0.991652012,0.00929507,oilcrop av
Coffee and products,0.810397639,0.072493085,av veg
Cottonseed,0.991652012,0.00929507,oilcrop av
Cottonseed Oil,0.810397639,0.072493085,
Cream,1,,
Crustaceans,1,,
Dates,0.810397639,0.072493085,av veg
Demersal Fish,1,,
"Fats, Animals, Raw",1,,
"Fish, Body Oil",1,,
"Fish, Liver Oil",1,,
Freshwater Fish,1,,
"Fruits, Other",0.810397639,0.072493085,av veg
Grapefruit and products,0.810397639,0.072493085,av veg
Grapes and products (excl wine),0.810397639,0.072493085,av veg
Groundnut Oil,1.017737395,0.019180545,
Groundnuts (Shelled Eq),1.017737395,0.019180545,"peanuts, pot and field"
Honey,1,,
"Lemons, Limes and products",0.810397639,0.072493085,av veg
Maize and products,0.98659975,0.031255538,av C4
Maize Germ Oil,0.98659975,0.031255538,
"Marine Fish, Other",1,,
"Meat, Aquatic Mammals",1,,
"Meat, Other",1,,
Millet and products,1.020309516,0.042638516,sorghum
"Molluscs, Other",1,,
Mutton & Goat Meat,1,,
Oats,0.837062688,4.18E-05,av c3
"Oilcrops Oil, Other",0.810397639,0.072493085,
"Oilcrops, Other",0.810397639,0.072493085,
Olive Oil,0.991652012,0.00929507,
Olives (including preserved),0.810397639,0.072493085,av veg
Onions,0.810397639,0.072493085,av veg
"Oranges, Mandarines",0.810397639,0.072493085,av veg
Palm kernels,0.991652012,0.00929507,
Palm Oil,0.991652012,0.00929507,
Palmkernel Oil,0.991652012,0.00929507,
Peas,1.084200066,0.042126035,peas
Pelagic Fish,1,,
Pepper,0.810397639,0.072493085,av veg
Pigmeat,1,,
Pimento,0.810397639,0.072493085,av veg
Pineapples and products,0.810397639,0.072493085,av veg
Plantains,0.810397639,0.072493085,av veg
Potatoes and products,0.908,0.065,potatoes
Poultry Meat,1,,
"Pulses, Other and products",0.982800975,0.024067787,pulses av
Rape and Mustard Oil,0.925434271,0.058742465,
Rape and Mustardseed,0.925434271,0.058742465,"RAPESEED AND MUSTARD, pots and field"
Rice (Milled Equivalent),0.933474074,0.0080277,rice
Ricebran Oil,0.933474074,0.0080277,
"Roots, Other",0.8621,0.0512,roots
Rye and products,0.837062688,4.18E-05,av c3
Sesame seed,0.991652012,0.00929507,oilcrop av
Sesameseed Oil,0.991652012,0.00929507,
Sorghum and products,1.020309516,0.042638516,sorghum
Soyabean Oil,0.98879062,0.004560199,
Soyabeans,0.98879062,0.004560199,soy
"Spices, Other",0.810397639,0.072493085,av veg
Sugar (Raw Equivalent),1,,
Sugar beet,1,,
Sugar cane,1,,
Sugar non-centrifugal,1,,
Sunflower seed,0.991652012,0.00929507,oilcrop av
Sunflowerseed Oil,0.991652012,0.00929507,
Sweet potatoes,0.8621,0.0512,roots
"Sweeteners, Other",1,,
Tea (including mate),0.810397639,0.072493085,av veg
Tomatoes and products,0.810397639,0.072493085,av veg
"Vegetables, Other",0.810397639,0.072493085,av veg
Wheat and products,0.929657615,0.00734479,wheat
Wine,1,,
Yams,0.8621,0.0512,roots
"Aquatic Products, Other  ",1,,
Eggs                 ,1,,
Milk - Excluding Butter,1,,
 Miscellaneous,1,,
Offals   ,1,,
Treenuts,0.991652012,0.00929507,oilcrop av
