Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"FBS","Food Balance Sheets","1","Armenia","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","13","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","13","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","315","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","43","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","18","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","1","Armenia","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","20","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","94","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","3","Albania","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","26","Fc","Calculated data"
"FBS","Food Balance Sheets","3","Albania","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balance Sheets","3","Albania","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","14","Fc","Calculated data"
"FBS","Food Balance Sheets","3","Albania","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","528","Fc","Calculated data"
"FBS","Food Balance Sheets","3","Albania","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","22","Fc","Calculated data"
