AreaName,ElementName,ItemName,Value
Burundi,Protein supply quantity (g/capita/day),"Alcohol, Non-Food",0
Burundi,Protein supply quantity (g/capita/day),Apples and products,0
Burundi,Protein supply quantity (g/capita/day),"Aquatic Animals, Others",0
Burundi,Protein supply quantity (g/capita/day),Aquatic Plants,0
Burundi,Protein supply quantity (g/capita/day),Bananas,3.5
Burundi,Protein supply quantity (g/capita/day),Barley and products,0
Burundi,Protein supply quantity (g/capita/day),Beans,15.5
Burundi,Protein supply quantity (g/capita/day),Beer,0.2
Burundi,Protein supply quantity (g/capita/day),"Beverages, Alcoholic",0
Burundi,Protein supply quantity (g/capita/day),"Beverages, Fermented",1.5
Burundi,Protein supply quantity (g/capita/day),Bovine Meat,0.7
Burundi,Protein supply quantity (g/capita/day),"Butter, Ghee",0
Burundi,Protein supply quantity (g/capita/day),Cassava and products,1.8
Burundi,Protein supply quantity (g/capita/day),Cephalopods,0
Burundi,Protein supply quantity (g/capita/day),"Cereals, Other",0
Burundi,Protein supply quantity (g/capita/day),"Citrus, Other",0
Burundi,Protein supply quantity (g/capita/day),Cloves,0
Burundi,Protein supply quantity (g/capita/day),Cocoa Beans and products,0
Burundi,Protein supply quantity (g/capita/day),Coconut Oil,0
Burundi,Protein supply quantity (g/capita/day),Coconuts - Incl Copra,0
Burundi,Protein supply quantity (g/capita/day),Coffee and products,0.2
Burundi,Protein supply quantity (g/capita/day),Cottonseed,0
Burundi,Protein supply quantity (g/capita/day),Cottonseed Oil,0
Burundi,Protein supply quantity (g/capita/day),Cream,0
Burundi,Protein supply quantity (g/capita/day),Crustaceans,0
Burundi,Protein supply quantity (g/capita/day),Dates,0
Burundi,Protein supply quantity (g/capita/day),Demersal Fish,0
Burundi,Protein supply quantity (g/capita/day),"Fats, Animals, Raw",0
Burundi,Protein supply quantity (g/capita/day),"Fish, Body Oil",0
Burundi,Protein supply quantity (g/capita/day),"Fish, Liver Oil",0
Burundi,Protein supply quantity (g/capita/day),Freshwater Fish,0.5
Burundi,Protein supply quantity (g/capita/day),"Fruits, Other",0.1
Burundi,Protein supply quantity (g/capita/day),Grapefruit and products,0
Burundi,Protein supply quantity (g/capita/day),Grapes and products (excl wine),0
Burundi,Protein supply quantity (g/capita/day),Groundnut Oil,0
Burundi,Protein supply quantity (g/capita/day),Groundnuts (Shelled Eq),0.2
Burundi,Protein supply quantity (g/capita/day),Honey,0
Burundi,Protein supply quantity (g/capita/day),"Lemons, Limes and products",0
Burundi,Protein supply quantity (g/capita/day),Maize and products,5.1
Burundi,Protein supply quantity (g/capita/day),Maize Germ Oil,0
Burundi,Protein supply quantity (g/capita/day),"Marine Fish, Other",0
Burundi,Protein supply quantity (g/capita/day),"Meat, Aquatic Mammals",0
Burundi,Protein supply quantity (g/capita/day),"Meat, Other",0
Burundi,Protein supply quantity (g/capita/day),Millet and products,0.1
Burundi,Protein supply quantity (g/capita/day),"Molluscs, Other",0
Burundi,Protein supply quantity (g/capita/day),Mutton & Goat Meat,0.4
Burundi,Protein supply quantity (g/capita/day),Oats,0
Burundi,Protein supply quantity (g/capita/day),"Oilcrops Oil, Other",0
Burundi,Protein supply quantity (g/capita/day),"Oilcrops, Other",0
Burundi,Protein supply quantity (g/capita/day),Olive Oil,0
Burundi,Protein supply quantity (g/capita/day),Olives (including preserved),0
Burundi,Protein supply quantity (g/capita/day),Onions,0
Burundi,Protein supply quantity (g/capita/day),"Oranges, Mandarines",0
Burundi,Protein supply quantity (g/capita/day),Palm kernels,0
Burundi,Protein supply quantity (g/capita/day),Palm Oil,0
Burundi,Protein supply quantity (g/capita/day),Palmkernel Oil,0
Burundi,Protein supply quantity (g/capita/day),Peas,3.1
Burundi,Protein supply quantity (g/capita/day),Pelagic Fish,0
Burundi,Protein supply quantity (g/capita/day),Pepper,0
Burundi,Protein supply quantity (g/capita/day),Pigmeat,0.5
Burundi,Protein supply quantity (g/capita/day),Pimento,0
Burundi,Protein supply quantity (g/capita/day),Pineapples and products,0
Burundi,Protein supply quantity (g/capita/day),Plantains,0
Burundi,Protein supply quantity (g/capita/day),Potatoes and products,0
Burundi,Protein supply quantity (g/capita/day),Poultry Meat,0.3
Burundi,Protein supply quantity (g/capita/day),"Pulses, Other and products",0.2
Burundi,Protein supply quantity (g/capita/day),Rape and Mustard Oil,0
Burundi,Protein supply quantity (g/capita/day),Rape and Mustardseed,0
Burundi,Protein supply quantity (g/capita/day),Rice (Milled Equivalent),1.1
Burundi,Protein supply quantity (g/capita/day),Ricebran Oil,0
Burundi,Protein supply quantity (g/capita/day),"Roots, Other",0.2
Burundi,Protein supply quantity (g/capita/day),Rye and products,0
Burundi,Protein supply quantity (g/capita/day),Sesame seed,0
Burundi,Protein supply quantity (g/capita/day),Sesameseed Oil,0
Burundi,Protein supply quantity (g/capita/day),Sorghum and products,0.4
Burundi,Protein supply quantity (g/capita/day),Soyabean Oil,0
Burundi,Protein supply quantity (g/capita/day),Soyabeans,0.3
Burundi,Protein supply quantity (g/capita/day),"Spices, Other",0
Burundi,Protein supply quantity (g/capita/day),Sugar (Raw Equivalent),0
Burundi,Protein supply quantity (g/capita/day),Sugar beet,0
Burundi,Protein supply quantity (g/capita/day),Sugar cane,0
Burundi,Protein supply quantity (g/capita/day),Sugar non-centrifugal,0
Burundi,Protein supply quantity (g/capita/day),Sunflower seed,0
Burundi,Protein supply quantity (g/capita/day),Sunflowerseed Oil,0
Burundi,Protein supply quantity (g/capita/day),Sweet potatoes,3.2
