Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,pop,country,countrycode
FBS,Food Balance Sheets,1,Armenia,511,Total Population - Both sexes,2501,Population,2011,1000,2964,2964000,Armenia,ARM
FBS,Food Balance Sheets,2,Afghanistan,511,Total Population - Both sexes,2501,Population,2011,1000,29105,29105000,Afghanistan,AFG
FBS,Food Balance Sheets,3,Albania,511,Total Population - Both sexes,2501,Population,2011,1000,3154,3154000,Albania,ALB
FBS,Food Balance Sheets,4,Algeria,511,Total Population - Both sexes,2501,Population,2011,1000,37763,37763000,Algeria,DZA
FBS,Food Balance Sheets,7,Angola,511,Total Population - Both sexes,2501,Population,2011,1000,20180,20180000,Angola,AGO
FBS,Food Balance Sheets,8,Antigua and Barbuda,511,Total Population - Both sexes,2501,Population,2011,1000,88,88000,Antigua and Barbuda,ATG
FBS,Food Balance Sheets,9,Argentina,511,Total Population - Both sexes,2501,Population,2011,1000,40729,40729000,Argentina,ARG
FBS,Food Balance Sheets,10,Australia,511,Total Population - Both sexes,2501,Population,2011,1000,22741,22741000,Australia,AUS
FBS,Food Balance Sheets,11,Austria,511,Total Population - Both sexes,2501,Population,2011,1000,8433,8433000,Austria,AUT
FBS,Food Balance Sheets,12,Bahamas,511,Total Population - Both sexes,2501,Population,2011,1000,366,366000,Bahamas,BHS
FBS,Food Balance Sheets,14,Barbados,511,Total Population - Both sexes,2501,Population,2011,1000,282,282000,Barbados,BRB
FBS,Food Balance Sheets,16,Bangladesh,511,Total Population - Both sexes,2501,Population,2011,1000,152862,152862000,Bangladesh,BGD
FBS,Food Balance Sheets,17,Bermuda,511,Total Population - Both sexes,2501,Population,2011,1000,65,65000,Bermuda,BMU
FBS,Food Balance Sheets,19,Bolivia (Plurinational State of),511,Total Population - Both sexes,2501,Population,2011,1000,10324,10324000,Bolivia (Plurinational State of),BOL
FBS,Food Balance Sheets,20,Botswana,511,Total Population - Both sexes,2501,Population,2011,1000,1987,1987000,Botswana,BWA
FBS,Food Balance Sheets,21,Brazil,511,Total Population - Both sexes,2501,Population,2011,1000,196935,196935000,Brazil,BRA
FBS,Food Balance Sheets,23,Belize,511,Total Population - Both sexes,2501,Population,2011,1000,316,316000,Belize,BLZ
FBS,Food Balance Sheets,25,Solomon Islands,511,Total Population - Both sexes,2501,Population,2011,1000,538,538000,Solomon Islands,SLB
FBS,Food Balance Sheets,26,Brunei Darussalam,511,Total Population - Both sexes,2501,Population,2011,1000,407,407000,Brunei Darussalam,BRN
FBS,Food Balance Sheets,27,Bulgaria,511,Total Population - Both sexes,2501,Population,2011,1000,7333,7333000,Bulgaria,BGR
FBS,Food Balance Sheets,28,Myanmar,511,Total Population - Both sexes,2501,Population,2011,1000,52685,52685000,Myanmar,MMR
FBS,Food Balance Sheets,32,Cameroon,511,Total Population - Both sexes,2501,Population,2011,1000,21156,21156000,Cameroon,CMR
FBS,Food Balance Sheets,33,Canada,511,Total Population - Both sexes,2501,Population,2011,1000,34487,34487000,Canada,CAN
FBS,Food Balance Sheets,35,Cabo Verde,511,Total Population - Both sexes,2501,Population,2011,1000,491,491000,Cabo Verde,CPV
FBS,Food Balance Sheets,37,Central African Republic,511,Total Population - Both sexes,2501,Population,2011,1000,4436,4436000,Central African Republic,CAF
FBS,Food Balance Sheets,38,Sri Lanka,511,Total Population - Both sexes,2501,Population,2011,1000,20926,20926000,Sri Lanka,LKA
FBS,Food Balance Sheets,39,Chad,511,Total Population - Both sexes,2501,Population,2011,1000,12080,12080000,Chad,TCD
FBS,Food Balance Sheets,40,Chile,511,Total Population - Both sexes,2501,Population,2011,1000,17308,17308000,Chile,CHL
FBS,Food Balance Sheets,41,"China, mainland",511,Total Population - Both sexes,2501,Population,2011,1000,1368440,1368440000,"China, mainland",CHN
FBS,Food Balance Sheets,44,Colombia,511,Total Population - Both sexes,2501,Population,2011,1000,47079,47079000,Colombia,COL
FBS,Food Balance Sheets,46,Congo,511,Total Population - Both sexes,2501,Population,2011,1000,4225,4225000,Congo,COG
FBS,Food Balance Sheets,48,Costa Rica,511,Total Population - Both sexes,2501,Population,2011,1000,4738,4738000,Costa Rica,CRI
FBS,Food Balance Sheets,49,Cuba,511,Total Population - Both sexes,2501,Population,2011,1000,11276,11276000,Cuba,CUB
FBS,Food Balance Sheets,50,Cyprus,511,Total Population - Both sexes,2501,Population,2011,1000,1117,1117000,Cyprus,CYP
FBS,Food Balance Sheets,52,Azerbaijan,511,Total Population - Both sexes,2501,Population,2011,1000,9202,9202000,Azerbaijan,AZE
FBS,Food Balance Sheets,53,Benin,511,Total Population - Both sexes,2501,Population,2011,1000,9780,9780000,Benin,BEN
FBS,Food Balance Sheets,54,Denmark,511,Total Population - Both sexes,2501,Population,2011,1000,5575,5575000,Denmark,DNK
FBS,Food Balance Sheets,55,Dominica,511,Total Population - Both sexes,2501,Population,2011,1000,71,71000,Dominica,DMA
FBS,Food Balance Sheets,56,Dominican Republic,511,Total Population - Both sexes,2501,Population,2011,1000,10148,10148000,Dominican Republic,DOM
FBS,Food Balance Sheets,57,Belarus,511,Total Population - Both sexes,2501,Population,2011,1000,9450,9450000,Belarus,BLR
FBS,Food Balance Sheets,58,Ecuador,511,Total Population - Both sexes,2501,Population,2011,1000,15246,15246000,Ecuador,ECU
FBS,Food Balance Sheets,59,Egypt,511,Total Population - Both sexes,2501,Population,2011,1000,79392,79392000,Egypt,EGY
FBS,Food Balance Sheets,60,El Salvador,511,Total Population - Both sexes,2501,Population,2011,1000,6256,6256000,El Salvador,SLV
FBS,Food Balance Sheets,63,Estonia,511,Total Population - Both sexes,2501,Population,2011,1000,1294,1294000,Estonia,EST
FBS,Food Balance Sheets,66,Fiji,511,Total Population - Both sexes,2501,Population,2011,1000,868,868000,Fiji,FJI
FBS,Food Balance Sheets,67,Finland,511,Total Population - Both sexes,2501,Population,2011,1000,5389,5389000,Finland,FIN
FBS,Food Balance Sheets,68,France,511,Total Population - Both sexes,2501,Population,2011,1000,63582,63582000,France,FRA
FBS,Food Balance Sheets,70,French Polynesia,511,Total Population - Both sexes,2501,Population,2011,1000,271,271000,French Polynesia,PYF
FBS,Food Balance Sheets,72,Djibouti,511,Total Population - Both sexes,2501,Population,2011,1000,847,847000,Djibouti,DJI
FBS,Food Balance Sheets,73,Georgia,511,Total Population - Both sexes,2501,Population,2011,1000,4374,4374000,Georgia,GEO
FBS,Food Balance Sheets,74,Gabon,511,Total Population - Both sexes,2501,Population,2011,1000,1594,1594000,Gabon,GAB
FBS,Food Balance Sheets,75,Gambia,511,Total Population - Both sexes,2501,Population,2011,1000,1735,1735000,Gambia,GMB
FBS,Food Balance Sheets,79,Germany,511,Total Population - Both sexes,2501,Population,2011,1000,82893,82893000,Germany,DEU
FBS,Food Balance Sheets,80,Bosnia and Herzegovina,511,Total Population - Both sexes,2501,Population,2011,1000,3839,3839000,Bosnia and Herzegovina,BIH
FBS,Food Balance Sheets,81,Ghana,511,Total Population - Both sexes,2501,Population,2011,1000,24821,24821000,Ghana,GHA
FBS,Food Balance Sheets,83,Kiribati,511,Total Population - Both sexes,2501,Population,2011,1000,99,99000,Kiribati,KIR
FBS,Food Balance Sheets,84,Greece,511,Total Population - Both sexes,2501,Population,2011,1000,11119,11119000,Greece,GRC
FBS,Food Balance Sheets,86,Grenada,511,Total Population - Both sexes,2501,Population,2011,1000,105,105000,Grenada,GRD
FBS,Food Balance Sheets,89,Guatemala,511,Total Population - Both sexes,2501,Population,2011,1000,14707,14707000,Guatemala,GTM
FBS,Food Balance Sheets,90,Guinea,511,Total Population - Both sexes,2501,Population,2011,1000,11162,11162000,Guinea,GIN
FBS,Food Balance Sheets,91,Guyana,511,Total Population - Both sexes,2501,Population,2011,1000,791,791000,Guyana,GUY
FBS,Food Balance Sheets,93,Haiti,511,Total Population - Both sexes,2501,Population,2011,1000,10033,10033000,Haiti,HTI
FBS,Food Balance Sheets,95,Honduras,511,Total Population - Both sexes,2501,Population,2011,1000,7777,7777000,Honduras,HND
FBS,Food Balance Sheets,96,"China, Hong Kong SAR",511,Total Population - Both sexes,2501,Population,2011,1000,7096,7096000,"China, Hong Kong SAR",HKG
FBS,Food Balance Sheets,97,Hungary,511,Total Population - Both sexes,2501,Population,2011,1000,9996,9996000,Hungary,HUN
