country,max protein,source main protein,source.meatorveg,simplified.source.protein,source main veg protein,source main carbs,av age boysandgirls,FBS order,Pop order
Afghanistan,37,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,20.20335014,1,1
Africa,12,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,23.05318209,2,2
Albania,34,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,33.91758755,3,3
Algeria,43,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,28.04590652,4,4
Americas,15,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,,5,
Angola,9,Maize and products,v,Maize and products,Maize and products,Cassava and products,20.35432728,6,5
Antigua and Barbuda,19,Poultry Meat,m,animals,Wheat and products,Wheat and products,31.2702303,7,6
Argentina,27,Bovine Meat,m,animals,Wheat and products,Wheat and products,32.979173,8,7
Armenia,31,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,34.26526204,9,8
Asia,16,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),30.88625902,10,10
Australia,19,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,37.48431948,11,11
Australia & New Zealand,18,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,37.37491021,12,12
Austria,21,Wheat and productsMilk - Excluding Butter,b,NA,Wheat and products,Wheat and products,41.09334517,13,13
Azerbaijan,47,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,30.85834943,14,14
Bahamas,19,Poultry Meat,m,animals,Wheat and products,Wheat and products,32.37923927,15,15
Bangladesh,32,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),26.74040654,16,17
Barbados,16,Poultry Meat,m,animals,Wheat and products,Wheat and products,36.20521334,17,18
Belarus,14,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,39.04493329,18,19
Belgium,25,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,40.49967435,19,20
Belize,13,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,25.01466323,20,21
Benin,10,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),22.02311248,21,22
Bermuda,20,Bovine Meat,m,animals,Wheat and products,Wheat and products,,22,
Bolivia (Plurinational State of),12,Poultry Meat,m,animals,Wheat and products,Wheat and products,25.53761263,23,24
Bosnia and Herzegovina,21,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,38.38316776,24,25
Botswana,9,Wheat and productsMilk - Excluding Butter,b,NA,Wheat and products,Wheat and products,24.57404634,25,26
Brazil,15,Bovine Meat,m,animals,BeansWheat and products,Sugar (Raw Equivalent),31.08375217,26,27
Brunei Darussalam,21,Poultry Meat,m,animals,Rice (Milled Equivalent),Rice (Milled Equivalent),29.69957236,27,28
Bulgaria,27,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,42.02803967,28,29
Burkina Faso,14,Maize and productsSorghum and products,v,mix,Maize and productsSorghum and products,Maize and products,20.77458771,29,30
Côte d'Ivoire,11,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),22.85891626,30,50
Cabo Verde,13,Milk - Excluding Butter,m,animals,Rice (Milled Equivalent),Rice (Milled Equivalent),26.41810004,31,35
Cambodia,31,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),26.58560504,32,32
Cameroon,9,Maize and products,v,Maize and products,Maize and products,Maize and products,21.85991311,33,33
Canada,17,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,39.18633814,34,34
Caribbean,10,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),31.47740097,35,36
Central African Republic,8,Bovine MeatMaize and products,b,NA,Maize and products,Cassava and products,23.16702119,36,37
Central America,23,Maize and products,v,Maize and products,Maize and products,Maize and products,27.90169346,37,38
Central Asia,33,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,27.75864687,38,39
Chad,12,Sorghum and products,v,Sorghum and products,Sorghum and products,Sorghum and products,19.9003673,39,40
Chile,24,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,33.66412684,40,42
China,18,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),34.68788306,41,43
"China, Hong Kong SAR",23,Poultry Meat,m,animals,Wheat and products,Rice (Milled Equivalent),40.42424031,42,44
"China, Macao SAR",14,Pigmeat,m,animals,Wheat and products,Rice (Milled Equivalent),36.64088914,43,45
"China, mainland",18,Wheat and products,v,Wheat and products,Wheat and products,,,44,
"China, Taiwan Province of",12,Pigmeat,m,animals,Wheat and products,,,45,
Colombia,11,Milk - Excluding Butter,m,animals,Wheat and products,Rice (Milled Equivalent),29.19968703,46,46
Congo,9,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),22.68964532,47,48
Costa Rica,15,Milk - Excluding Butter,m,animals,Rice (Milled Equivalent),Rice (Milled Equivalent),30.81785816,48,49
Croatia,23,Wheat and products,v,Wheat and products,Wheat and products,Cassava and products,41.15445201,49,51
Cuba,12,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Sugar (Raw Equivalent),37.67347999,50,52
Cyprus,17,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,36.08362893,51,54
Czech Republic,22,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),40.2425985,52,55
Democratic People's Republic of Korea,13,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,33.26578191,53,56
Denmark,23,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,39.86069128,54,58
Djibouti,28,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),25.03884365,55,59
Dominica,18,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,,56,
Dominican Republic,10,Poultry MeatRice (Milled Equivalent),b,NA,Rice (Milled Equivalent),Wheat and products,28.20101665,57,60
Eastern Africa,12,Maize and products,v,Maize and products,Maize and products,Wheat and products,21.5340678,58,61
Eastern Asia,17,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),35.57454013,59,62
