country,countrycode,c3 grain fraction ,c4 grain fraction or none,fraction C3 veg,fraction c4 veg,fraction legumes
Albania,ALB,1,0,0.944871187,0.002700405,0.052428408
Algeria,DZA,1,0,0.726780957,0.004515893,0.26870315
Angola,AGO,0,1,1,0,0
Antigua and Barbuda,ATG,0,1,0.800128767,0.160122881,0.039748352
Argentina,ARG,0,1,0.900989205,0.023276226,0.075734569
Armenia,ARM,1,0,0.98967861,0.008734065,0.001587325
Australia,AUS,0,1,0.64974359,0.237861996,0.112394414
Austria,AUT,0,1,0.750734573,0.17800369,0.071261737
Azerbaijan,AZE,1,0,0.986058567,0.009571815,0.004369619
Bahamas,BHS,0,1,0.82596399,0.17018921,0.0038468
Bangladesh,BGD,0,1,0.966917916,0.000126226,0.032955858
Barbados,BRB,0,1,0.712885321,0.239971189,0.04714349
Belarus,BLR,1,0,0.964007001,0.018764974,0.017228025
Belgium,BEL,0,1,0.703422721,0.061092924,0.235484355
Belize,BLZ,0,1,0.971697805,0.024998771,0.003303423
Benin,BEN,0,1,0.99688777,0.003058962,5.33E-05
Bermuda,BMU,0,1,0.997283633,0,0.002716367
Bolivia (Plurinational State of),BOL,1,0,0.3883556,0.197309784,0.414334616
Bosnia and Herzegovina,BIH,1,0,0.990817726,0.006635812,0.002546462
Botswana,BWA,0.000867969,0.999132031,0.962267555,0.028562271,0.009170174
Brazil,BRA,1,0,0.999986184,1.38E-05,0
Brunei Darussalam,BRN,0,1,0.840018304,0.109341604,0.050640092
Bulgaria,BGR,0,1,0.844751039,0.075005596,0.080243365
Burkina Faso,BFA,0,1,0.96683323,0.002316891,0.03084988
Burundi,BDI,0,1,0.999983204,1.68E-05,0
Cabo Verde,CPV,0,1,0.729205533,0.070376312,0.200418155
Cambodia,KHM,0,1,0.999888941,9.87E-05,1.23E-05
Cameroon,CMR,0,1,0.99563046,0.000747318,0.003622222
Canada,CAN,0,1,0.610419435,0.292415984,0.097164581
