"","AreaName","ElementName","ItemName","Value","VegOrMeat"
"2","ESEASP","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"5","CANAME","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"8","Democratic Republic of the Congo","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"9","Seychelles","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"16","CEEAEU","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"17","SOASIA","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"18","Burundi","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"20","SUSAAF","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"21","HIGHIN","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"22","SOTRLA","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"24","Eritrea","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"26","CALACA","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"31","Comoros","Food supply (kcal/capita/day)","Alcohol, Non-Food",0,"nonveg"
"43","Saudi Arabia","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"47","Portugal","Food supply (kcal/capita/day)","Apples and products",32,"Veg"
"65","Djibouti","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"73","Central African Republic","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"74","Jordan","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"75","Oceania","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"77","Suriname","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"80","Estonia","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"82","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"89","Malaysia","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"90","Antigua and Barbuda","Food supply (kcal/capita/day)","Apples and products",6,"Veg"
"91","Serbia and Montenegro","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"94","Panama","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"97","SOASIA","Food supply (kcal/capita/day)","Apples and products",2.73422028659007,"Veg"
"98","Slovenia","Food supply (kcal/capita/day)","Apples and products",43,"Veg"
"109","South America","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"114","Central America","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"117","New Caledonia","Food supply (kcal/capita/day)","Apples and products",18,"Veg"
"133","Iran (Islamic Republic of)","Food supply (kcal/capita/day)","Apples and products",27,"Veg"
"140","Sierra Leone","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"142","Indonesia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"143","Burkina Faso","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"144","Switzerland","Food supply (kcal/capita/day)","Apples and products",49,"Veg"
"151","Senegal","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"157","Americas","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"158","Bahamas","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"160","Pakistan","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"164","Northern Europe","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"166","Bermuda","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"170","Maldives","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"172","Ghana","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"174","Togo","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"181","Guinea","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"184","Uganda","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"194","Mali","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"196","Kazakhstan","Food supply (kcal/capita/day)","Apples and products",39,"Veg"
"200","Benin","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"202","Gabon","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"205","Asia","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"210","Canada","Food supply (kcal/capita/day)","Apples and products",27,"Veg"
"211","Land Locked Developing Countries","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"213","Slovakia","Food supply (kcal/capita/day)","Apples and products",13,"Veg"
"214","United Kingdom","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"216","South-Eastern Asia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"218","Timor-Leste","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"223","Philippines","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"225","El Salvador","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"237","China, Taiwan Province of","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"238","Paraguay","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"245","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Apples and products",32,"Veg"
"246","Tajikistan","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"248","Nepal","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"249","Thailand","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"254","Netherlands","Food supply (kcal/capita/day)","Apples and products",43,"Veg"
"264","CEEAEU","Food supply (kcal/capita/day)","Apples and products",21.069829743089,"Veg"
"268","Japan","Food supply (kcal/capita/day)","Apples and products",11,"Veg"
"271","Morocco","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"277","Belarus","Food supply (kcal/capita/day)","Apples and products",27,"Veg"
"279","Eastern Africa","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"280","Chad","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"283","Sudan (former)","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"287","Ecuador","Food supply (kcal/capita/day)","Apples and products",6,"Veg"
"301","Egypt","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"303","Iceland","Food supply (kcal/capita/day)","Apples and products",25,"Veg"
"306","Jamaica","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"322","Sweden","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"326","Cameroon","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"329","Mongolia","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"332","Central Asia","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"335","Seychelles","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"337","South Africa","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"338","Bangladesh","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"342","Côte d'Ivoire","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"345","Georgia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"349","China","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"355","Denmark","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"362","Zambia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"367","Austria","Food supply (kcal/capita/day)","Apples and products",70,"Veg"
"373","Uzbekistan","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"376","Poland","Food supply (kcal/capita/day)","Apples and products",23,"Veg"
"377","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"383","Lebanon","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"385","Ukraine","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"389","Armenia","Food supply (kcal/capita/day)","Apples and products",26,"Veg"
"390","Viet Nam","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"394","Dominican Republic","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"396","CANAME","Food supply (kcal/capita/day)","Apples and products",17.1940301916528,"Veg"
"399","Swaziland","Food supply (kcal/capita/day)","Apples and products",5,"Veg"
"403","Malta","Food supply (kcal/capita/day)","Apples and products",14,"Veg"
"406","Least Developed Countries","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"414","Algeria","Food supply (kcal/capita/day)","Apples and products",18,"Veg"
"427","Saint Lucia","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"433","Gambia","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"437","Southern Europe","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"438","Barbados","Food supply (kcal/capita/day)","Apples and products",16,"Veg"
