"","AreaName","ElementName","ItemName","Value","VegOrMeat"
"43","Saudi Arabia","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"47","Portugal","Food supply (kcal/capita/day)","Apples and products",32,"Veg"
"65","Djibouti","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"73","Central African Republic","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"74","Jordan","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"75","Oceania","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"77","Suriname","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"80","Estonia","Food supply (kcal/capita/day)","Apples and products",20,"Veg"
"82","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"89","Malaysia","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"90","Antigua and Barbuda","Food supply (kcal/capita/day)","Apples and products",6,"Veg"
"91","Serbia and Montenegro","Food supply (kcal/capita/day)","Apples and products",31,"Veg"
"94","Panama","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"97","SOASIA","Food supply (kcal/capita/day)","Apples and products",2.73422028659007,"Veg"
"98","Slovenia","Food supply (kcal/capita/day)","Apples and products",43,"Veg"
"109","South America","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"114","Central America","Food supply (kcal/capita/day)","Apples and products",7,"Veg"
"117","New Caledonia","Food supply (kcal/capita/day)","Apples and products",18,"Veg"
"133","Iran (Islamic Republic of)","Food supply (kcal/capita/day)","Apples and products",27,"Veg"
"140","Sierra Leone","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"142","Indonesia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"143","Burkina Faso","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"144","Switzerland","Food supply (kcal/capita/day)","Apples and products",49,"Veg"
"151","Senegal","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"157","Americas","Food supply (kcal/capita/day)","Apples and products",12,"Veg"
"158","Bahamas","Food supply (kcal/capita/day)","Apples and products",8,"Veg"
"160","Pakistan","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"164","Northern Europe","Food supply (kcal/capita/day)","Apples and products",19,"Veg"
"166","Bermuda","Food supply (kcal/capita/day)","Apples and products",3,"Veg"
"170","Maldives","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"172","Ghana","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"174","Togo","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"181","Guinea","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"184","Uganda","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"194","Mali","Food supply (kcal/capita/day)","Apples and products",0,"Veg"
"196","Kazakhstan","Food supply (kcal/capita/day)","Apples and products",39,"Veg"
"200","Benin","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"202","Gabon","Food supply (kcal/capita/day)","Apples and products",2,"Veg"
"205","Asia","Food supply (kcal/capita/day)","Apples and products",10,"Veg"
"210","Canada","Food supply (kcal/capita/day)","Apples and products",27,"Veg"
"211","Land Locked Developing Countries","Food supply (kcal/capita/day)","Apples and products",4,"Veg"
"213","Slovakia","Food supply (kcal/capita/day)","Apples and products",13,"Veg"
"214","United Kingdom","Food supply (kcal/capita/day)","Apples and products",21,"Veg"
"216","South-Eastern Asia","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
"218","Timor-Leste","Food supply (kcal/capita/day)","Apples and products",1,"Veg"
