"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"3723","AFG","Afghanistan",51,216.75,47.4305180213255,201.579701590634,0.946149603972556,1,1981,-6.99898427191072,1.85519530190697,-0.765789924753484,0.202985149766954
"3724","AFRICA","Africa",61,259.25,58.2059598806504,247.375329492764,0.705692501087922,2,2498,-4.58039363827802,1.15687295260315,-0.475367113980615,0.120063776205912
"3725","AGO","Angola",51,216.75,48.7246969458417,207.079962019827,0.619414595567525,6,2365,-4.46137853756524,1.21453842268142,-0.408881098527385,0.111311290958223
"3728","ALB","Albania",67,284.75,62.6245785746507,266.154458942265,0.877219479224411,3,2425,-6.53047973932731,1.30928280481255,-0.766826435370496,0.153739496358917
"3729","Americas","Americas",71,301.75,68.5242379986028,291.228011494062,0.580110095694596,5,2897,-3.48698873436223,0.817056472809291,-0.363202917015466,0.0851041735140502
"3734","ARE","United Arab Emirates",79,335.75,75.2183856042681,319.678138818139,0.818873234957953,198,2832,-4.78685366548348,1.03654839868095,-0.567509222523334,0.12288881527441
"3735","ARG","Argentina",77,327.25,74.663898557537,317.321568869532,0.597466192590505,8,2835,-3.03389797722464,0.77593012024741,-0.35020921095124,0.0895672422754726
"3736","ARM","Armenia",64,272,59.3263562616396,252.137014111968,0.789855902263946,9,2417,-7.3025683411881,1.23414984728742,-0.821803305255756,0.138886536393122
"3738","ASIA","Asia",68,289,64.2497189129023,273.061305379835,0.522590079504848,10,2600,-5.51511924573196,0.768514822801247,-0.613026716160207,0.0854233783806001
"3742","ATG","Antigua and Barbuda",69,293.25,67.0389148551057,284.915388134199,0.34707975764009,7,2103,-2.84215238390476,0.503014141507376,-0.396320107741355,0.0701421288621199
"3743","AUS","Australia",79,335.75,76.5377289611419,325.285348084853,0.455294220719366,11,2824,-3.1167987833647,0.576321798378945,-0.370561328440049,0.0685198455402729
"3744","Australia and New Zealand","Australia & New Zealand",81,344.25,78.4941702083826,333.600223385626,0.490106299719308,12,2836,-3.09361702668811,0.605069505826306,-0.375521037178203,0.0734468185404463
"3745","AUT","Austria",79,335.75,75.8614289403639,322.411072996547,0.551811913329595,13,3435,-3.97287475903301,0.698496092822272,-0.388323930231538,0.0682736719548989
"3746","AZE","Azerbaijan",71,301.75,66.0783301584736,280.832903173513,1.20001082159614,14,2655,-6.93192935426247,1.69015608675513,-0.787837921901582,0.192092127750795
"3747","BDI","Burundi",42.1,178.925,39.7240947096119,168.827402515851,0.832703044303265,NA,1590,-5.64348049973421,1.97791696984148,-0.635069024160335,0.222577857754017
