,country,protein.amb.g,protein.amb.cal,protein.co2.g,protein.co2.cal,protein.co2.g.SE,countrycode,energy,protein.percent.decrease,protein.percent.decrease.SE,protein.calorie.ratio.difference,protein.calorie.ratio.SE,order.by.protein.percent,order.by.energy.difference,,gproteinCiub,gproteinCilb,,ratiodifferenceCiub,ratiodifferenceCilb
89,Guinea,52,221,48.53409685,206.2699116,0.676493521,GIN,2539,-6.665198362,1.300949079,-0.580153146,0.113237395,1,27,2.549860195,-4.115338167,-9.215058557,0.221945294,-0.358207852,-0.80209844
99,Iraq,56,238,52.42377494,222.8010435,0.309594775,IRQ,2458,-6.38611618,0.552847813,-0.618346481,0.053530423,2,17,1.083581713,-5.302534467,-7.469697893,0.104919629,-0.513426852,-0.72326611
98,Iran (Islamic Republic of),84,357,78.67449596,334.3666078,0.584324532,IRN,3030,-6.339885761,0.695624442,-0.746976639,0.081959712,3,2,1.363423906,-4.976461855,-7.703309667,0.160641036,-0.586335603,-0.907617675
112,Lao People's Democratic Republic,61,259.25,57.16207988,242.9388395,0.481134779,LAO,2341,-6.291672328,0.78874554,-0.696760381,0.087348262,4,7,1.545941258,-4.74573107,-7.837613586,0.171202594,-0.525557787,-0.867962975
208,Tajikistan,51,216.75,47.83761398,203.3098594,0.357474403,TJK,2088,-6.200756908,0.700930202,-0.643684895,0.072761792,5,15,1.373823196,-4.826933712,-7.574580104,0.142613112,-0.501071783,-0.786298007
4,Algeria,87,369.75,81.66157983,347.0617143,0.508240709,DZA,3184,-6.136115133,0.584184723,-0.712571787,0.067839919,6,6,1.145002057,-4.991113076,-7.28111719,0.132966241,-0.579605546,-0.845538028
34,Côte d'Ivoire,54,229.5,50.72342947,215.5745752,0.935061501,CIV,2762,-6.067723207,1.731595372,-0.504179028,0.143881657,7,56,3.393926929,-2.673796278,-9.461650136,0.282008048,-0.22217098,-0.786187076
117,Liberia,35,148.75,32.88988765,139.7820225,0.809771854,LBR,2238,-6.028892426,2.313633867,-0.400713918,0.15377705,8,123,4.534722379,-1.494170047,-10.56361481,0.301403018,-0.0993109,-0.702116936
181,Sao Tome and Principe,58,246.5,54.54242259,231.805296,0.725332607,STP,2659,-5.961340366,1.25057346,-0.552640241,0.115933192,9,36,2.451123982,-3.510216384,-8.412464348,0.227229056,-0.325411185,-0.779869297
10,Armenia,82,348.5,77.15737817,327.9188572,0.542938428,ARM,2745,-5.90563638,0.662120034,-0.749768408,0.084061505,10,1,1.297755267,-4.607881113,-7.203391647,0.16476055,-0.585007858,-0.914528958
