"","AreaName","ElementName","ItemName","Value"
"16","Antigua and Barbuda","Food supply (kcal/capita/day)","Apples and products",6
"25","Uganda","Food supply (kcal/capita/day)","Apples and products",0
"32","United States of America","Food supply (kcal/capita/day)","Apples and products",19
"35","Jordan","Food supply (kcal/capita/day)","Apples and products",12
"36","Malaysia","Food supply (kcal/capita/day)","Apples and products",3
"39","Niger","Food supply (kcal/capita/day)","Apples and products",0
"41","Panama","Food supply (kcal/capita/day)","Apples and products",7
"45","Philippines","Food supply (kcal/capita/day)","Apples and products",1
"46","Côte d'Ivoire","Food supply (kcal/capita/day)","Apples and products",0
"54","Belarus","Food supply (kcal/capita/day)","Apples and products",27
"55","Paraguay","Food supply (kcal/capita/day)","Apples and products",1
"57","Burkina Faso","Food supply (kcal/capita/day)","Apples and products",0
"65","Portugal","Food supply (kcal/capita/day)","Apples and products",32
"66","Iran (Islamic Republic of)","Food supply (kcal/capita/day)","Apples and products",27
"71","Suriname","Food supply (kcal/capita/day)","Apples and products",0
"74","Djibouti","Food supply (kcal/capita/day)","Apples and products",0
"82","Oceania","Food supply (kcal/capita/day)","Apples and products",20
"85","Canada","Food supply (kcal/capita/day)","Apples and products",27
"86","El Salvador","Food supply (kcal/capita/day)","Apples and products",1
"88","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Apples and products",4
"102","South Africa","Food supply (kcal/capita/day)","Apples and products",8
"111","Americas","Food supply (kcal/capita/day)","Apples and products",12
"112","Chad","Food supply (kcal/capita/day)","Apples and products",0
"119","Jamaica","Food supply (kcal/capita/day)","Apples and products",1
"121","Iceland","Food supply (kcal/capita/day)","Apples and products",25
"125","Netherlands","Food supply (kcal/capita/day)","Apples and products",43
"127","Estonia","Food supply (kcal/capita/day)","Apples and products",20
"128","Togo","Food supply (kcal/capita/day)","Apples and products",0
"135","Dominican Republic","Food supply (kcal/capita/day)","Apples and products",2
"136","Indonesia","Food supply (kcal/capita/day)","Apples and products",1
"139","Gambia","Food supply (kcal/capita/day)","Apples and products",0
"141","Ghana","Food supply (kcal/capita/day)","Apples and products",1
"143","Timor-Leste","Food supply (kcal/capita/day)","Apples and products",1
"150","China","Food supply (kcal/capita/day)","Apples and products",20
"152","Australia","Food supply (kcal/capita/day)","Apples and products",21
"155","Benin","Food supply (kcal/capita/day)","Apples and products",4
"156","South America","Food supply (kcal/capita/day)","Apples and products",8
"159","Lebanon","Food supply (kcal/capita/day)","Apples and products",20
"166","Central African Republic","Food supply (kcal/capita/day)","Apples and products",0
"167","Sierra Leone","Food supply (kcal/capita/day)","Apples and products",0
"173","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Apples and products",32
"176","Georgia","Food supply (kcal/capita/day)","Apples and products",4
"177","Japan","Food supply (kcal/capita/day)","Apples and products",11
"189","Mali","Food supply (kcal/capita/day)","Apples and products",0
"192","Denmark","Food supply (kcal/capita/day)","Apples and products",20
"199","Guinea","Food supply (kcal/capita/day)","Apples and products",0
"204","China, Taiwan Province of","Food supply (kcal/capita/day)","Apples and products",7
"205","South-Eastern Asia","Food supply (kcal/capita/day)","Apples and products",1
"214","Europe","Food supply (kcal/capita/day)","Apples and products",21
"216","Czech Republic","Food supply (kcal/capita/day)","Apples and products",14
