"","ItemName","AreaName","ElementName","Value","CO2RR","CO2SE","note","cal","proteinCO2","protein.cal.CO2","CO2.SE.weighted"
"17","Apples and products","Austria","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"24","Apples and products","Namibia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"27","Apples and products","Brazil","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"31","Apples and products","French Polynesia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"34","Apples and products","Saint Lucia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"42","Apples and products","Central Asia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"52","Apples and products","Gabon","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"68","Apples and products","Bahamas","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"70","Apples and products","Southern Europe","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"76","Apples and products","Turkey","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"79","Apples and products","Australia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"84","Apples and products","Luxembourg","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"94","Apples and products","Uzbekistan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"98","Apples and products","Canada","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"100","Apples and products","Brunei Darussalam","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"105","Apples and products","Mali","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"115","Apples and products","Ireland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"123","Apples and products","Cameroon","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"130","Apples and products","Senegal","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"134","Apples and products","Bangladesh","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"148","Apples and products","Northern Europe","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"153","Apples and products","Occupied Palestinian Territory","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"157","Apples and products","Croatia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"162","Apples and products","China, Hong Kong SAR","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"168","Apples and products","Southern Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"172","Apples and products","Grenada","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"179","Apples and products","Cuba","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"181","Apples and products","Latvia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"186","Apples and products","Spain","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"194","Apples and products","Tajikistan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"195","Apples and products","Kuwait","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"197","Apples and products","Ecuador","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"202","Apples and products","Sudan (former)","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"206","Apples and products","Iran (Islamic Republic of)","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"215","Apples and products","Indonesia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"222","Apples and products","Greece","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"226","Apples and products","Poland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"227","Apples and products","Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"250","Apples and products","Republic of Korea","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"253","Apples and products","Tunisia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"265","Apples and products","Fiji","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"267","Apples and products","India","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"272","Apples and products","Russian Federation","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"276","Apples and products","Saudi Arabia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"287","Apples and products","United Arab Emirates","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"291","Apples and products","Asia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"292","Apples and products","Montenegro","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"295","Apples and products","South America","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"304","Apples and products","Germany","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"309","Apples and products","Eastern Asia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"321","Apples and products","Lesotho","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"325","Apples and products","Portugal","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"328","Apples and products","Venezuela (Bolivarian Republic of)","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"331","Apples and products","Iceland","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"337","Apples and products","Madagascar","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"338","Apples and products","Liberia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"346","Apples and products","World","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"354","Apples and products","Albania","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"359","Apples and products","Mozambique","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"367","Apples and products","China, Taiwan Province of","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"368","Apples and products","Colombia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"372","Apples and products","Democratic People's Republic of Korea","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"375","Apples and products","Angola","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"376","Apples and products","Central America","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"378","Apples and products","Low Income Food Deficit Countries","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"379","Apples and products","United Republic of Tanzania","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"381","Apples and products","Malaysia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"384","Apples and products","Middle Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"386","Apples and products","Myanmar","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"392","Apples and products","Western Europe","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"398","Apples and products","Ghana","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"402","Apples and products","Chile","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"407","Apples and products","Jordan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"410","Apples and products","Morocco","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"427","Apples and products","France","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"435","Apples and products","Estonia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"442","Apples and products","Bosnia and Herzegovina","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"445","Apples and products","Eastern Europe","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"451","Apples and products","South Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"462","Apples and products","Norway","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"467","Apples and products","Thailand","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"468","Apples and products","Denmark","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"473","Apples and products","Belarus","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"482","Apples and products","Azerbaijan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"484","Apples and products","Libya","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"487","Apples and products","Uganda","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"489","Apples and products","Congo","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"492","Apples and products","Japan","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"497","Apples and products","United Kingdom","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"513","Apples and products","Cyprus","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"516","Apples and products","The former Yugoslav Republic of Macedonia","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"522","Apples and products","Saint Vincent and the Grenadines","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"529","Apples and products","Panama","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"533","Apples and products","Haiti","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"543","Apples and products","Dominican Republic","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"556","Apples and products","Lebanon","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"560","Apples and products","Costa Rica","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"561","Apples and products","Argentina","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"565","Apples and products","Bermuda","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"575","Apples and products","Honduras","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"576","Apples and products","Net Food Importing Developing Countries","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"580","Apples and products","Hungary","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"583","Apples and products","Italy","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"587","Apples and products","China, Macao SAR","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"598","Apples and products","Ukraine","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"602","Apples and products","United States of America","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
