"","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","countrycode","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"1","Afghanistan",58,246.5,54.633323045,232.19162294125,0.298181979895779,"AFG",2095,-5.80461543965518,0.514106861889274,-0.682977425238664,0.0604903777831533
"2","Africa",66,280.5,63.373821584,269.338741732,0.608522235893225,NA,2595,-3.9790582060606,0.922003387717008,-0.430106291637765,0.0996616378630523
"3","Albania",98,416.5,93.504140101,397.39259542925,0.663033670017494,"ALB",2979,-4.58761214183672,0.676564969405606,-0.641403308853639,0.0945919133123313
"4","Algeria",87,369.75,81.661579834,347.0617142945,0.508240709158379,"DZA",3184,-6.13611513333332,0.584184723170551,-0.712571787233041,0.0678399187789922
"5","Americas",86,365.5,83.724458535,355.82894877375,0.731800489631374,NA,3162,-2.64597844767442,0.850930801896947,-0.305852347446237,0.0983602808644321
"6","Andorra",NA,NA,NA,NA,NA,"ADO",NA,NA,NA,NA,NA
"7","Angola",52,221,49.719723381,211.30882436925,1.59514346154477,"AGO",2383,-4.38514734423076,3.06758357989379,-0.406679632007972,0.284488447820616
"8","Antigua and Barbuda",82,348.5,80.00752381,340.0319761925,0.264147185780676,"ATG",2353,-2.42984901219513,0.322130714366678,-0.359882014768381,0.0477103926718178
"9","Argentina",92,391,89.46946571,380.2452292675,0.275461521255062,"ARG",3093,-2.75058074999999,0.299414697016371,-0.347713247090203,0.0378503545209833
"10","Armenia",82,348.5,77.157378168,327.918857214,0.542938427877297,"ARM",2745,-5.9056363804878,0.662120033996704,-0.749768407504553,0.0840615052269039
"11","Asia",74,314.5,70.474514474,299.5166865145,0.46277936600055,NA,2709,-4.76416962972973,0.625377521622365,-0.553093890199335,0.0726028905685617
"12","Australia",99,420.75,96.412503635,409.75314044875,0.280312670134107,"AUS",3198,-2.61363269191917,0.283144111246573,-0.343866777712629,0.0372523091954332
"13","Australia & New Zealand",100,425,97.496703701,414.36099072925,0.289653243572684,NA,3184,-2.50329629899997,0.289653243572684,-0.334139738402947,0.038662885841203
"14","Austria",101,429.25,97.606028034,414.8256191445,0.295367058428549,"AUT",3723,-3.36036828316828,0.292442632107474,-0.387439722146114,0.0337177007338526
"15","Azerbaijan",86,365.5,81.271819612,345.405233351,0.444940836611184,"AZE",2907,-5.497884172093,0.517373065826958,-0.691254442690056,0.0650498299139158
"16","Bahamas",72,306,69.548938078,295.5829868315,0.28854638365603,"BHS",2435,-3.40425266944445,0.400758866188931,-0.427803415544149,0.0503623051555699
"17","Bahrain",NA,NA,NA,NA,NA,"BHR",NA,NA,NA,NA,NA
"18","Bangladesh",52,221,49.082387767,208.60014800975,0.31086799272958,"BGD",2423,-5.61079275576921,0.5978230629415,-0.511756169634749,0.0545269900578091
"19","Barbados",81,344.25,78.921464673,335.41622486025,0.316303645818321,"BRB",2960,-2.56609299629629,0.390498328170766,-0.298438349315878,0.0454152194164818
"20","Belarus",85,361.25,80.486667781,342.06833806925,0.60915844558323,"BLR",3162,-5.30980261058821,0.7166569948038,-0.606630674596771,0.0818761351590363
"21","Belgium",98,416.5,94.544785303,401.81533753775,0.513523144115605,"BEL",3733,-3.52572928265305,0.52400320828123,-0.393374295800963,0.0584643279531562
"22","Belize",64,272,61.830360933,262.77903396525,0.736713191510061,"BLZ",2706,-3.39006104218749,1.15111436173447,-0.340760016066148,0.115706986841011
"23","Benin",57,242.25,54.418167188,231.277210549,1.14572502797958,"BEN",2584,-4.52953124912279,2.01004390873611,-0.424643554605261,0.188441616444011
"24","Bermuda",88,374,85.719604888,364.308320774,0.332271654860625,"BMU",2705,-2.59135808181816,0.377581425977983,-0.35828758691312,0.0522053431851259
"25","Bhutan",NA,NA,NA,NA,NA,"BTN",NA,NA,NA,NA,NA
"26","Bolivia (Plurinational State of)",60,255,57.72731471,245.3410875175,0.483113460027253,"BOL",2220,-3.78780881666664,0.805189100045423,-0.435086147860358,0.0924879371673796
"27","Bosnia and Herzegovina",87,369.75,82.663768221,351.32101493925,0.88765608848455,"BIH",3097,-4.98417445862067,1.02029435457994,-0.595059252849531,0.121812669553094
"28","Botswana",58,246.5,56.514628764,240.187172247,0.509879154316804,"BWA",2242,-2.56098488965516,0.879101990201387,-0.281571264629793,0.0966541661840508
"29","Brazil",90,382.5,87.004634381,369.76969611925,1.70388571255129,"BRA",3246,-3.32818402111109,1.89320634727922,-0.392184346295439,0.223090396745009
"30","Brunei Darussalam",77,327.25,74.553573639,316.85268796575,0.242665916505921,"BRN",2837,-3.17717709220778,0.315150540916781,-0.366489673396192,0.0363528426207319
"31","Bulgaria",77,327.25,74.229431726,315.4750848355,0.36740750689965,"BGR",2827,-3.5981406155844,0.477152606363181,-0.416516277484964,0.0552345915926251
