RecordOrder,Survey,Breakdown Variable,Indicator,Measure,Unit,Value
1,Albania - 2005,Country-level,Protein consumption,Mean,g/capita/day,93.4
2,Albania - 2005,Country-level,Protein consumption,Standard Deviation,g/capita/day,39.46
3,Albania - 2005,Country-level,Protein consumption,Number Observations,g/capita/day,3836
4,Albania - 2005,Country-level,Share of dietary energy consumption from protein,Mean,%,12.94
5,Albania - 2005,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.22
6,Albania - 2005,Country-level,Share of dietary energy consumption from protein,Number Observations,%,3836
7,Albania - 2005,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,72.49
8,Albania - 2005,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,26.68
9,Albania - 2005,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1238
10,Albania - 2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.48
11,Albania - 2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.11
12,Albania - 2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1238
13,Albania - 2005,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,93.16
14,Albania - 2005,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,27.61
15,Albania - 2005,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1311
16,Albania - 2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,13.01
17,Albania - 2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.11
18,Albania - 2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1311
19,Albania - 2005,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,124.48
20,Albania - 2005,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,46.62
21,Albania - 2005,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1287
22,Albania - 2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.52
23,Albania - 2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.38
24,Albania - 2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1287
25,Azerbaijan - 2006,Country-level,Protein consumption,Mean,g/capita/day,78.31
26,Azerbaijan - 2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,16.47
27,Azerbaijan - 2006,Country-level,Protein consumption,Number Observations,g/capita/day,15062
28,Azerbaijan - 2006,Country-level,Share of dietary energy consumption from protein,Mean,%,11.03
29,Azerbaijan - 2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.24
30,Azerbaijan - 2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,15062
31,Azerbaijan - 2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,71.84
32,Azerbaijan - 2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,13.83
33,Azerbaijan - 2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3892
34,Azerbaijan - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,10.86
35,Azerbaijan - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.19
36,Azerbaijan - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3892
37,Azerbaijan - 2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,79.03
38,Azerbaijan - 2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,14.38
39,Azerbaijan - 2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,4787
40,Azerbaijan - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.05
41,Azerbaijan - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.22
42,Azerbaijan - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,4787
43,Azerbaijan - 2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,87.14
44,Azerbaijan - 2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,18.38
45,Azerbaijan - 2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,6383
46,Azerbaijan - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.25
47,Azerbaijan - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.31
48,Azerbaijan - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,6383
49,Bangladesh - 2000-2001,Country-level,Protein consumption,Mean,g/capita/day,56.52
50,Bangladesh - 2000-2001,Country-level,Protein consumption,Standard Deviation,g/capita/day,17.07
51,Bangladesh - 2000-2001,Country-level,Protein consumption,Number Observations,g/capita/day,7438
52,Bangladesh - 2000-2001,Country-level,Share of dietary energy consumption from protein,Mean,%,10.29
53,Bangladesh - 2000-2001,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.43
54,Bangladesh - 2000-2001,Country-level,Share of dietary energy consumption from protein,Number Observations,%,7438
55,Bangladesh - 2000-2001,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,44.36
56,Bangladesh - 2000-2001,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,9.73
57,Bangladesh - 2000-2001,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2277
58,Bangladesh - 2000-2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.67
59,Bangladesh - 2000-2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.12
60,Bangladesh - 2000-2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2277
61,Bangladesh - 2000-2001,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,57.04
62,Bangladesh - 2000-2001,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,12.45
63,Bangladesh - 2000-2001,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2423
64,Bangladesh - 2000-2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.2
65,Bangladesh - 2000-2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.27
66,Bangladesh - 2000-2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2423
67,Bangladesh - 2000-2001,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,69.31
68,Bangladesh - 2000-2001,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,17.97
69,Bangladesh - 2000-2001,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2738
70,Bangladesh - 2000-2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.08
71,Bangladesh - 2000-2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.53
72,Bangladesh - 2000-2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2738
73,Bangladesh - 2005,Country-level,Protein consumption,Mean,g/capita/day,49.61
74,Bangladesh - 2005,Country-level,Protein consumption,Standard Deviation,g/capita/day,15.25
75,Bangladesh - 2005,Country-level,Protein consumption,Number Observations,g/capita/day,10080
76,Bangladesh - 2005,Country-level,Share of dietary energy consumption from protein,Mean,%,9.33
77,Bangladesh - 2005,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,0.97
78,Bangladesh - 2005,Country-level,Share of dietary energy consumption from protein,Number Observations,%,10080
79,Bangladesh - 2005,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,39.22
80,Bangladesh - 2005,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,8.24
81,Bangladesh - 2005,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3360
82,Bangladesh - 2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,8.76
83,Bangladesh - 2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,0.66
84,Bangladesh - 2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3360
85,Bangladesh - 2005,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,49.12
86,Bangladesh - 2005,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,10.13
87,Bangladesh - 2005,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3360
88,Bangladesh - 2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.28
89,Bangladesh - 2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,0.76
90,Bangladesh - 2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3360
91,Bangladesh - 2005,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,61.51
92,Bangladesh - 2005,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,16.96
93,Bangladesh - 2005,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3360
94,Bangladesh - 2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,10.02
95,Bangladesh - 2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.02
96,Bangladesh - 2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3360
97,Bolivia (Plurinational State of) - 2003-2004,Country-level,Protein consumption,Mean,g/capita/day,63.54
98,Bolivia (Plurinational State of) - 2003-2004,Country-level,Protein consumption,Standard Deviation,g/capita/day,68.32
99,Bolivia (Plurinational State of) - 2003-2004,Country-level,Protein consumption,Number Observations,g/capita/day,9149
100,Bolivia (Plurinational State of) - 2003-2004,Country-level,Share of dietary energy consumption from protein,Mean,%,14.35
101,Bolivia (Plurinational State of) - 2003-2004,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,5.18
102,Bolivia (Plurinational State of) - 2003-2004,Country-level,Share of dietary energy consumption from protein,Number Observations,%,9149
103,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,37.03
104,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,20.19
105,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2300
106,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,13.09
107,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,5.35
108,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2300
109,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,66.05
110,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,25.48
111,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3016
112,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,15.04
113,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.9
114,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3016
115,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,104.21
116,Bolivia (Plurinational State of) - 2003-2004,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,119.15
