country,SK_2011_SOFI,CV_2011_SOFI,skewlog_applied_2011
Albania,0.879,0.285,1
Algeria,0.854,0.277,0
Angola,0.958,0.309,0
Antigua and Barbuda,0.728,0.238,0
Argentina,0.638,0.209,0
Armenia,0.633,0.208,0
Australia,0.615,0.202,0
Austria,0.611,0.201,0
Azerbaijan,0.684,0.224,1
Bahamas,0.644,0.212,0
Bangladesh,0.570,0.262,1
Barbados,0.641,0.210,0
Belarus,0.626,0.206,0
Belgium,0.612,0.201,0
Belize,0.776,0.253,0
Benin,0.881,0.286,0
Bermuda,0.738,0.241,0
Bolivia (Plurinational State of),0.791,0.258,0
Bosnia and Herzegovina,0.648,0.213,0
Botswana,0.764,0.250,0
Brazil,0.669,0.315,0
Brunei Darussalam,0.636,0.209,0
Bulgaria,0.708,0.232,1
Burkina Faso,0.990,0.396,1
Burundi,0.897,0.291,0
Cambodia,0.877,0.285,1
Cameroon,0.782,0.255,0
Canada,0.613,0.202,0
Cape Verde,0.751,0.245,0
Central African Republic,0.891,0.289,0
Chad,0.990,0.367,0
Chile,0.655,0.215,0
China,0.983,0.317,0
Colombia,0.873,0.284,0
Comoros,0.825,0.268,0
Congo,0.878,0.285,0
Costa Rica,0.661,0.217,0
Côte d'Ivoire,0.990,0.375,1
Croatia,0.629,0.207,0
Cuba,0.669,0.219,0
Cyprus,0.616,0.203,0
Czech Republic,0.614,0.202,0
Democratic People's Republic of Korea,0.767,0.250,0
Denmark,0.612,0.201,0
Djibouti,0.928,0.300,0
Dominica,0.721,0.236,0
Dominican Republic,0.742,0.243,0
Ecuador,0.698,0.229,0
Egypt,0.892,0.289,1
El Salvador,0.800,0.261,0
Eritrea,0.812,0.265,0
Estonia,0.736,0.241,0
Ethiopia,0.865,0.392,1
Fiji,0.732,0.239,0
Finland,0.611,0.201,0
France,0.614,0.202,0
French Polynesia,0.672,0.220,0
Gabon,0.657,0.216,0
Gambia,0.866,0.281,0
Georgia,0.990,0.418,1
Germany,0.613,0.201,0
Ghana,0.842,0.274,0
Greece,0.622,0.204,0
Grenada,0.848,0.276,0
Guatemala,0.990,0.337,1
Guinea,0.990,0.334,0
Guinea-Bissau,0.889,0.288,0
Guyana,0.793,0.259,0
Haiti,0.990,0.329,0
Honduras,0.987,0.318,0
Hungary,0.789,0.257,1
Iceland,0.614,0.202,0
India,0.550,0.251,1
Indonesia,0.747,0.288,0
Iran (Islamic Republic of),0.853,0.277,0
Ireland,0.624,0.205,0
Israel,0.615,0.202,0
Italy,0.614,0.202,0
Jamaica,0.721,0.236,0
Japan,0.609,0.200,0
Jordan,0.780,0.254,0
Kazakhstan,0.669,0.219,0
Kenya,0.786,0.256,0
Kiribati,0.841,0.273,0
Kuwait,0.776,0.253,0
Kyrgyzstan,0.787,0.257,0
Lao People's Democratic Republic,0.891,0.289,1
Latvia,0.664,0.218,0
Lebanon,0.769,0.251,0
Lesotho,0.838,0.273,0
Liberia,0.990,0.354,0
Libya,0.687,0.225,0
Lithuania,0.835,0.272,1
Luxembourg,0.611,0.201,0
Madagascar,0.873,0.283,0
Malawi,0.983,0.317,0
Malaysia,0.664,0.218,0
Maldives,0.767,0.250,0
Mali,0.907,0.294,0
Malta,0.620,0.204,0
Mauritania,0.897,0.291,0
Mauritius,0.791,0.258,0
Mexico,0.990,0.296,1
Mongolia,0.187,0.299,1
Montenegro,0.650,0.214,0
Morocco,0.941,0.304,0
Mozambique,0.990,0.361,1
Namibia,0.769,0.251,0
Nepal,0.764,0.309,1
Netherlands,0.615,0.202,0
Netherlands Antilles,0.711,0.233,0
New Caledonia,0.827,0.269,0
New Zealand,0.612,0.201,0
Nicaragua,0.990,0.332,1
Niger,0.952,0.308,0
Nigeria,0.848,0.276,0
Norway,0.611,0.201,0
Occupied Palestinian Territories,0.702,0.230,0
Pakistan,0.562,0.306,1
Panama,0.831,0.270,1
Paraguay,0.862,0.280,1
Peru,0.881,0.286,1
Philippines,0.990,0.329,0
Poland,0.639,0.210,0
Portugal,0.635,0.209,0
Republic of Korea,0.630,0.207,0
Republic of Moldova,0.919,0.298,0
Romania,0.645,0.212,0
Russian Federation,0.673,0.221,0
Rwanda,0.990,0.325,0
Saint Kitts and Nevis,0.790,0.258,0
Saint Lucia,0.775,0.253,0
Saint Vincent and the Grenadines,0.730,0.239,0
Samoa,0.737,0.241,0
Sao Tome and Principe,0.762,0.249,0
Saudi Arabia,0.678,0.222,0
Senegal,0.801,0.261,0
Serbia,0.650,0.214,0
Serbia and Montenegro,,,0
Seychelles,0.660,0.217,0
Sierra Leone,0.990,0.355,0
Slovakia,0.619,0.204,0
Slovenia,0.617,0.203,0
Solomon Islands,0.760,0.248,0
South Africa,0.690,0.226,0
Spain,0.626,0.206,0
Sri Lanka,0.533,0.352,1
Sudan,0.990,0.410,1
Suriname,0.726,0.237,0
Swaziland,0.774,0.252,0
