"","countrycode","country","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","ABW","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","AFG","Afghanistan",0.56191441287324,NA,3.70752201398274,NA,3.62487728375544,3.66621818380149,3.58175333602124,NA,NA,NA
"123","AFRICA","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","AGO","Angola",0.646631620863716,0.5189060482667,3.49361997305518,3.56805445614172,3.42640196268759,3.45791660931704,3.3938617346302,3.50083644577412,3.53235109240358,3.46829621771674
"125","AIA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","ALA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","ALB","Albania",0.599135713292891,0.500758143565517,3.90395341251062,3.95805585480852,3.81237698222248,3.84363183900574,3.78011365502879,3.86647942452038,3.89773428130363,3.83421609732669
"128","Americas","Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","AND","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","ANR","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","ANT","",NA,0.457657321783676,NA,NA,NA,NA,NA,NA,NA,NA
"132","ARB","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","ARE","United Arab Emirates",NA,0.441298172206176,NA,4.01563558495777,NA,NA,NA,3.94440096114536,3.9722045953331,3.91580212262291
"134","ARG","Argentina",0.657608912161723,0.435653040426273,3.48507723343523,3.60640518829617,3.4040081137588,3.43488266700284,3.37214987087196,3.52533606861973,3.55621062186377,3.49347782573289
"135","ARM","Armenia",0.581073022504838,0.434702311372534,3.83533745029271,3.90967732927786,3.73059982007285,3.76147324635033,3.69874277711359,3.804939699058,3.83581312533547,3.77308265609873
"136","Ashm","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","ASIA","Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","ASM","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","ATA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","ATF","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","ATG","Antigua and Barbuda",NA,0.462057544319324,NA,3.4627745991719,NA,NA,NA,3.38108351071953,3.40166431738132,3.36007021795591
