"","countrycode","Country.Name","protein.amb.g","protein.co2.g","protein.co2.g.SE","pop"
"1","AFG","Afghanistan",51,47.4305180213255,0.946149603972556,29105000
"2","AFRICA",NA,61,58.2059598806504,0.705692501087922,971211000
"3","AGO","Angola",51,48.7246969458417,0.619414595567525,20180000
"4","ALB","Albania",67,62.6245785746507,0.877219479224411,3154000
"5","Americas",NA,71,68.5242379986028,0.580110095694596,947289000
"6","ARE","United Arab Emirates",79,75.2183856042681,0.818873234957953,8925000
"7","ARG","Argentina",77,74.663898557537,0.597466192590505,40729000
"8","ARM","Armenia",64,59.3263562616396,0.789855902263946,2964000
"9","ASIA",NA,68,64.2497189129023,0.522590079504848,4198188000
"10","ATG","Antigua and Barbuda",69,67.0389148551057,0.34707975764009,88000
"11","AUS","Australia",79,76.5377289611419,0.455294220719366,22741000
"12","Australia and New Zealand",NA,81,78.4941702083826,0.490106299719308,27155000
"13","AUT","Austria",79,75.8614289403639,0.551811913329595,8433000
"14","AZE","Azerbaijan",71,66.0783301584736,1.20001082159614,9202000
"15","BEL","Belgium",74,70.6524148208058,0.654528809897768,11007000
"16","BEN","Benin",55,52.5998694523509,0.617655393145242,9780000
"17","BFA","Burkina Faso",74,72.6108301822451,0.998232515160429,15995000
"18","BGD","Bangladesh",50,46.7714390799553,0.587402966211543,152862000
"19","BGR","Bulgaria",64,60.8964924283229,0.800533302043939,7333000
"20","BHS","Bahamas, The",63,60.6884817134919,0.229495169821874,366000
"21","BIH","Bosnia and Herzegovina",71,66.4981757348107,1.09062173754678,3839000
"22","BLR","Belarus",72,68.5320531910409,0.419021822022301,9450000
"23","BLZ","Belize",56,53.2818451255997,0.615543166636076,316000
"24","BMU","Bermuda",79,76.883601797028,0.360216976881125,65000
"25","BOL","Bolivia",55,52.7362007849735,0.479707150791489,10324000
"26","BRA","Brazil",77,74.108034031347,0.609311218447749,196935000
"27","BRB","Barbados",71,68.7994624251955,0.476979932421085,282000
"28","BRN","Brunei Darussalam",68,65.4008579927005,0.398075760576233,407000
"29","BWA","Botswana",49,47.3979497866271,0.55328949944445,1987000
"30","CAF","Central African Republic",49,47.5337344255453,0.534899704517704,4436000
"31","CALACA","CALACA",57.9229689645949,55.6504925605127,0.863900164039104,332749000
"32","CAN","Canada",84,81.0661053783264,0.563344537854413,34487000
"33","CANAME","CANAME",74.2072435603386,69.366924681741,0.969125594320753,525377000
"34","CEEAEU","CEEAEU",72.8870171477391,69.1676340822526,0.713694627807189,327740000
"35","Central America",NA,59,56.9549675390789,1.37784049409999,162800000
"36","Central Asia",NA,61,57.1570019442723,0.842538583832947,62575000
"37","CHE","Switzerland",64,61.1784621056989,0.546151494414416,7915000
"38","CHL","Chile",70,67.2758412588855,0.682346267994233,17308000
"39","CHN","China",86,81.0434951520527,0.538822645888507,1399292000
"40","CHN","China",86,81.0434951520527,0.538822645888507,1368440000
"41","CHN","China",86,81.0434951520527,0.538822645888507,1399292000
"42","CHN","China",86,81.0434951520527,0.538822645888507,1368440000
"43","CHN","China",84,79.0422438493477,0.53734982918541,1399292000
"44","CHN","China",84,79.0422438493477,0.53734982918541,1368440000
"45","CHN","China",84,79.0422438493477,0.53734982918541,1399292000
"46","CHN","China",84,79.0422438493477,0.53734982918541,1368440000
"47","CIV","Cote d'Ivoire",51,48.4523977149904,0.419806067087415,19390000
"48","CIV","Cote d'Ivoire",51,48.4523977149904,0.419806067087415,19390000
"49","CMR","Cameroon",65,62.4753100189476,0.712571860142291,21156000
"50","COG","Congo, Rep.",51,48.7436571589588,0.287256769268863,4225000
"51","COL","Colombia",46,44.1667757862297,0.434214172719913,47079000
"52","CPV","Cabo Verde",61,58.2887091644601,0.642122492229278,491000
"53","CRI","Costa Rica",53,50.4893499258409,0.417934155618041,4738000
"54","CSS","Caribbean small states",55,52.2091203861207,0.480319989545014,37011000
"55","CUB","Cuba",71,67.6738906251891,0.643851216351795,11276000
"56","CYP","Cyprus",58,55.8426120644016,0.438564459406439,1117000
"57","CZE","Czech Republic",64,61.328820505826,0.573794506021912,10611000
"58","DEU","Germany",73,69.8860660478776,0.576950105256161,82893000
"59","DJI","Djibouti",55,51.3166632077978,0.964430259251248,847000
"60","DMA","Dominica",64,60.8062602039262,0.462508158098065,71000
"61","DNK","Denmark",76,72.8122401708107,0.506972721549475,5575000
"62","DOM","Dominican Republic",50,47.5441382131233,0.34443557510028,10148000
"63","DZA","Algeria",72,66.4949155671211,1.11908271753735,37763000
"64","EAS","East Asia & Pacific (all income levels)",85,80.2184661529636,0.517511302322508,1602729000
"65","Eastern Africa",NA,53,50.7254418012282,0.788324737725501,324769000
"66","Eastern Europe",NA,73,69.2720323951751,0.730194767801436,295628000
"67","ECU","Ecuador",45,42.8936759567589,0.264912298245331,15246000
"68","EGY","Egypt, Arab Rep.",94,88.2854397181246,1.31389505365745,79392000
"69","ESEASP","ESEASP",59.4996501924348,56.5910825793544,0.48311928605071,616053000
"70","ESP","Spain",82,79.1049165008274,0.569896188639033,46514000
"71","EST","Estonia",67,63.4322577161805,0.675351847921455,1294000
"72","ETH","Ethiopia",55,52.7003283791214,0.750455040907929,89393000
"73","Europe",NA,74,70.4851713976435,0.652955391610739,741012000
"74","EUU","European Union",78,74.4757576357319,0.653781951406266,507399000
"75","EUU","European Union",78,74.4757576357319,0.653781951406266,507399000
"76","FIN","Finland",79,75.5249087888882,0.580848424539534,5389000
"77","FJI","Fiji",66,63.3004049564444,0.697570272738404,868000
"78","FRA","France",81,77.7445016921864,0.675712402256268,63582000
"79","FSM","Micronesia, Fed. Sts.",71,68.5069403010459,0.382301970633374,99000
"80","GAB","Gabon",76,73.2491842808571,0.444923905057056,1594000
"81","GBR","United Kingdom",76,73.1630871488253,0.628275979542648,62672000
"82","GEO","Georgia",59,55.2983060367289,0.956037730273878,4374000
"83","GHA","Ghana",61,58.2471006408562,0.442889135788569,24821000
"84","GIN","Guinea",51,48.2210307427969,0.428853408783949,11162000
"85","GMB","Gambia, The",64,61.7424871278537,0.530953076201551,1735000
"86","GNB","Guinea-Bissau",41,38.811500196057,0.361520508166682,1624000
"87","GRC","Greece",79,74.8013870953008,0.723215391050431,11119000
"88","GRD","Grenada",59,56.7595288051156,0.345167534281273,105000
"89","GTM","Guatemala",50,47.8517909346081,1.30005407171046,14707000
"90","GUY","Guyana",60,57.2838891314057,0.530061746443669,791000
"91","HIGHIN","HIGHIN",78.3039875701437,75.4222735355783,0.517963370779465,974428000
"92","HKG","Hong Kong SAR, China",98,95.4246616054745,0.304757647299482,7096000
"93","HND","Honduras",52,49.4112095026442,1.16424749079787,7777000
"94","HRV","Croatia",58,55.0928412278749,0.598389202732129,4324000
"95","HTI","Haiti",39,37.2197357830076,0.544290663805772,10033000
"96","HUN","Hungary",61,58.3427548958987,0.625465164971257,9996000
"97","IDN","Indonesia",57,54.1545884662338,0.568693431910302,243802000
"98","IND","India",48,44.8377811777125,0.522600662473833,1221156000
"99","IRL","Ireland",76,72.8792426505811,0.683308361768229,4523000
"100","IRN","Iran, Islamic Rep.",75,69.7375661122905,0.943462441861098,75424000
"101","IRQ","Iraq",54,50.1323115240761,0.895678339778324,31837000
"102","ISL","Iceland",93,90.5046963276257,0.544503725550728,322000
"103","ISR","Israel",98,94.1685072849788,0.837117776188992,7542000
"104","ITA","Italy",87,82.8160695974555,0.850278305959351,60729000
"105","JAM","Jamaica",64,60.9738302006978,0.486158096931889,2755000
"106","JOR","Jordan",69,65.1448772624803,0.935108010736886,6731000
"107","JPN","Japan",73,70.5951870941273,0.365050348513179,127319000
"108","KAZ","Kazakhstan",64,60.6046812406465,0.570763402493733,16098000
"109","KEN","Kenya",52,49.582012048035,1.12866122075093,42028000
"110","KGZ","Kyrgyz Republic",61,57.0548611890891,0.868786309401373,5403000
"111","KHM","Cambodia",62,58.955931763871,0.593495177527582,14606000
"112","KIR","Kiribati",71,68.4864813612498,0.382302325112007,99000
"113","KNA","St. Kitts and Nevis",65,63.1164741270865,0.344652948103441,53000
"114","KOR","Korea, Rep.",87,82.9738547067525,0.445302887302311,48733000
"115","KWT","Kuwait",83,79.0174691382719,0.662299356241138,3125000
"116","LAO","Lao PDR",61,56.9429927692129,0.628903088847092,6521000
"117","LBN","Lebanon",65,61.2529005683966,0.697301759741633,4478000
"118","LBR","Liberia",35,32.8388582322715,0.34389504858724,4080000
"119","LBY","Libya",62,57.7369602540342,0.851143103903709,6103000
"120","LCA","St. Lucia",72,69.7294471613971,0.501035020417874,179000
"121","LDC","Least developed countries: UN classification",53,50.7132642225165,0.517058132610414,773530000
"122","LIFDC",NA,52,49.3533328835797,0.491511304503024,2763102000
"123","LKA","Sri Lanka",54,50.8972601367132,0.477644328822399,20926000
"124","LLDC",NA,57,54.5069100034497,0.639784009159242,409625000
"125","LSO","Lesotho",72,68.7928910055346,2.25639026414099,2030000
"126","LTU","Lithuania",88,84.1751140948139,0.76296084468241,3044000
"127","LUX","Luxembourg",84,80.1030764105459,0.533612976855888,516000
"128","LVA","Latvia",67,63.7671025679978,0.47590224777815,2073000
"129","MAC","Macao SAR, China",76,73.9663091543595,0.308617355919759,546000
"130","MAFR",NA,59,56.9485912251556,0.521334270738101,63854000
"131","MAR","Morocco",87,81.2912946203177,1.17920423144521,32059000
"132","MDA","Moldova",54,51.4217528072453,0.993153223733837,3543000
"133","MDG","Madagascar",44,41.4914308643557,0.493585968241349,21679000
"134","MDV","Maldives",90,87.4420938818277,0.386262079745187,332000
"135","Melanesia",NA,60,57.5987080765796,0.453359655804429,1898000
"136","MEX","Mexico",64,61.8322517494121,1.48623413311142,119361000
"137","MKD","Macedonia, FYR",62,58.1178049618723,0.670698903134707,2104000
"138","MLI","Mali",67,65.1170156538751,0.71077592677065,14417000
"139","MLT","Malta",88,84.0583713532041,0.779131387086039,426000
"140","MMR","Myanmar",76,72.5542527144123,0.569001793004781,52685000
"141","MNE","Montenegro",75,70.7629080778126,0.826463936045417,621000
"142","MNG","Mongolia",56,53.5943633370736,0.610917967404738,2754000
"143","MOZ","Mozambique",42,40.2098339237007,0.778912194392301,24581000
"144","MRT","Mauritania",61,58.2017035779398,0.697434316774043,3703000
"145","MUS","Mauritius",73,69.5329959082771,0.708009137332966,1235000
"146","MWI","Malawi",65,62.2561815990228,1.79711357221937,15458000
"147","MYS","Malaysia",69,66.1219628696762,0.384027232204104,28759000
"148","NAC","North America",79,76.3003746208432,0.513544121373053,349464000
"149","NAFR",NA,80,75.3716489545492,0.985240190068973,209622000
"150","NAM","Namibia",53,51.0961098142623,0.62416073420556,2218000
"151","NCL","New Caledonia",65,62.7907390336488,0.440636227458978,250000
"152","NeFoIC",NA,59,56.2732167440272,0.602499243173118,1271855000
"153","NER","Niger",74,72.8356279116588,1.11511665897361,16511000
"154","NEUR",NA,75,71.9101526897831,0.603577101771663,99285000
"155","NGA","Nigeria",59,57.061770241267,0.566181833360882,164193000
"156","NIC","Nicaragua",53,50.7514262353401,1.09757448738189,5905000
"157","NLD","Netherlands",67,64.4230015074003,0.479095083529268,16666000
"158","NOR","Norway",76,72.9442490101004,0.648205342163555,4944000
"159","NPL","Nepal",58,54.2437244077605,0.692822436365713,27156000
"160","NZL","New Zealand",85,82.231951586362,0.513231880001963,4414000
"161","Oceania",NA,79,76.5945804336222,0.489567140152567,29610000
"162","PAK","Pakistan",42,39.5963997876757,0.658640462552784,176166000
"163","PAN","Panama",58,55.8259741278415,0.389793963082333,3740000
"164","PER","Peru",61,58.0004657464028,0.489614719670936,29615000
"165","PHL","Philippines",51,48.423726686383,0.431746503105969,95053000
"166","POL","Poland",84,79.7955217038478,0.73735859896212,38205000
"167","POLYN",NA,79,76.9906521053786,0.327968828704303,458000
"168","PRK","Korea, Dem. Rep.",53,49.8791585952498,0.692644975187266,24631000
"169","PRT","Portugal",89,85.400437492229,0.570741048856767,10598000
"170","PRY","Paraguay",58,56.1257395379006,1.03035323020988,6573000
"171","PSE","West Bank and Gaza",49,45.8603242968547,0.662907837381117,4114000
"172","PYF","French Polynesia",82,80.057409820895,0.366453238461533,271000
"173","ROU","Romania",73,68.576250774298,0.89307591715454,21809000
"174","RUS","Russian Federation",77,73.2235599872083,0.77751329650037,143438000
"175","RWA","Rwanda",49,46.5007365131758,0.788836284281218,11144000
"176","SAU","Saudi Arabia",71,67.1969110257714,0.682750208618115,27762000
"177","SDN","Sudan",50,48.8570633733314,0.54056533898639,43552000
"178","SEN","Senegal",54,51.7125099458622,0.473953868379646,13331000
"179","SLB","Solomon Islands",56,53.4223510808985,0.380723165134082,538000
"180","SLE","Sierra Leone",50,47.7583676798611,0.418484580107026,5865000
"181","SLV","El Salvador",54,51.9923655519511,1.14738018327604,6256000
"182","SOASIA","SOASIA",46.9815515106842,44.0688005818945,0.519992584933408,525377000
