,countrycode,order,FAO_Food_security__numbers,SD_Food_security_,CofV_food_security,Country.y,GINI,year
1,AFG,1,NA,NA,NA,Afghanistan,27.82,2008
3,ALB,2,93.4,39.46,0.42248394,Albania,34.51,2008
48,DZA,3,NA,NA,NA,Algeria,35.33,1995
2,AGO,5,NA,NA,NA,Angola,42.66,2009
7,ATG,6,NA,NA,NA,Antigua and Barbuda,NA,NA
5,ARG,7,NA,NA,NA,Argentina,44.49,2010
6,ARM,8,NA,NA,NA,Armenia,31.3,2010
8,AUS,9,NA,NA,NA,Australia,35.19,1994
9,AUT,10,NA,NA,NA,Austria,29.15,2000
10,AZE,11,78.31,16.47,0.210317967,Azerbaijan,33.71,2008
18,BHS,12,NA,NA,NA,"Bahamas, The",NA,NA
17,BHR,13,NA,NA,NA,Bahrain,NA,NA
15,BGD,14,49.61,15.25,0.307397702,Bangladesh,32.12,2010
24,BRB,15,NA,NA,NA,Barbados,NA,NA
20,BLR,16,NA,NA,NA,Belarus,26.48,2011
12,BEL,17,NA,NA,NA,Belgium,32.97,2000
21,BLZ,18,NA,NA,NA,Belize,53.13,1999
13,BEN,19,NA,NA,NA,Benin,38.62,2003
26,BTN,20,NA,NA,NA,Bhutan,38.73,2012
22,BOL,21,63.54,68.32,1.075228203,Bolivia,56.29,2008
19,BIH,22,NA,NA,NA,Bosnia and Herzegovina,36.21,2007
27,BWA,23,NA,NA,NA,Botswana,60.96,1994
23,BRA,24,NA,NA,NA,Brazil,54.69,2009
25,BRN,25,NA,NA,NA,Brunei Darussalam,NA,NA
16,BGR,26,NA,NA,NA,Bulgaria,28.19,2007
14,BFA,27,NA,NA,NA,Burkina Faso,39.79,2009
11,BDI,28,NA,NA,NA,Burundi,33.27,2006
33,CIV,29,63.69,44.71,0.701994034,Cote d'Ivoire,41.5,2008
39,CPV,30,NA,NA,NA,Cabo Verde,50.52,2002
89,KHM,31,63.12,58.5,0.926806084,Cambodia,36.03,2009
34,CMR,32,NA,NA,NA,Cameroon,38.91,2007
29,CAN,33,NA,NA,NA,Canada,32.56,2000
28,CAF,34,NA,NA,NA,Central African Republic,56.3,2008
163,TCD,35,82.11,60.1,0.731944952,Chad,39.78,2003
31,CHL,36,NA,NA,NA,Chile,52.06,2009
32,CHN,37,NA,NA,NA,China,42.06,2009
37,COL,38,NA,NA,NA,Colombia,55.91,2010
38,COM,39,NA,NA,NA,Comoros,64.3,2004
36,COG,40,NA,NA,NA,"Congo, Rep.",47.32,2005
40,CRI,42,NA,NA,NA,Costa Rica,50.73,2009
72,HRV,43,NA,NA,NA,Croatia,33.65,2008
41,CUB,44,NA,NA,NA,Cuba,NA,NA
42,CYP,45,NA,NA,NA,Cyprus,NA,NA
43,CZE,46,NA,NA,NA,Czech Republic,25.82,1996
136,PRK,47,NA,NA,NA,"Korea, Dem. Rep.",NA,NA
35,COD,48,NA,NA,NA,"Congo, Dem. Rep.",44.43,2006
46,DNK,49,NA,NA,NA,Denmark,24.7,1997
45,DJI,50,NA,NA,NA,Djibouti,39.96,2002
47,DOM,52,NA,NA,NA,Dominican Republic,47.2,2010
49,ECU,53,NA,NA,NA,Ecuador,49.26,2010
50,EGY,54,84.53,38.86,0.459718443,"Egypt, Arab Rep.",30.77,2008
151,SLV,55,NA,NA,NA,El Salvador,48.33,2009
66,GNQ,56,NA,NA,NA,Equatorial Guinea,NA,NA
51,ERI,57,NA,NA,NA,Eritrea,NA,NA
53,EST,58,NA,NA,NA,Estonia,36,2004
54,ETH,59,NA,NA,NA,Ethiopia,33.6,2011
56,FJI,60,NA,NA,NA,Fiji,42.83,2009
55,FIN,61,NA,NA,NA,Finland,26.88,2000
57,FRA,62,NA,NA,NA,France,32.74,1995
59,GAB,63,NA,NA,NA,Gabon,41.45,2005
64,GMB,64,NA,NA,NA,"Gambia, The",47.28,2003
61,GEO,65,NA,NA,NA,Georgia,42.1,2010
44,DEU,66,NA,NA,NA,Germany,28.31,2000
62,GHA,67,52.51,31.46,0.599123976,Ghana,42.76,2006
67,GRC,68,NA,NA,NA,Greece,34.27,2000
68,GRD,69,NA,NA,NA,Grenada,NA,NA
69,GTM,70,65.02,32.8,0.504460166,Guatemala,55.89,2006
63,GIN,71,NA,NA,NA,Guinea,39.35,2007
65,GNB,72,NA,NA,NA,Guinea-Bissau,35.52,2002
70,GUY,73,NA,NA,NA,Guyana,44.54,1998
73,HTI,74,57.5,52.88,0.919652174,Haiti,59.21,2001
71,HND,75,NA,NA,NA,Honduras,56.95,2009
74,HUN,76,79.91,37.09,0.464147166,Hungary,31.18,2007
80,ISL,77,NA,NA,NA,Iceland,NA,NA
76,IND,78,NA,NA,NA,India,33.9,2010
75,IDN,79,NA,NA,NA,Indonesia,38.14075554,2011
78,IRN,80,NA,NA,NA,"Iran, Islamic Rep.",38.28,2005
79,IRQ,81,76.39,30.57,0.40018327,Iraq,30.86,2007
77,IRL,82,NA,NA,NA,Ireland,34.28,2000
81,ISR,83,NA,NA,NA,Israel,39.2,2001
82,ITA,84,NA,NA,NA,Italy,36.03,2000
83,JAM,85,NA,NA,NA,Jamaica,45.51,2004
85,JPN,86,NA,NA,NA,Japan,24.85,1993
