Country,Year,Indicator,Value
Albania,2008,Ever breastfed,96
Armenia,2010,Ever breastfed,97.5
Azerbaijan,2006,Ever breastfed,85.9
Bangladesh,2011,Ever breastfed,97.9
Benin,2012,Ever breastfed,92.2
Bolivia,2008,Ever breastfed,97.6
Brazil,1996,Ever breastfed,93.4
Burkina Faso,2010,Ever breastfed,98.6
Burundi,2010,Ever breastfed,98.5
Cambodia,2010,Ever breastfed,95.5
Cameroon,2011,Ever breastfed,96.8
Central African Republic,1994,Ever breastfed,97.9
Chad,2004,Ever breastfed,98.5
Colombia,2010,Ever breastfed,96.6
Comoros,2012,Ever breastfed,89.6
Congo (Brazzaville),2005,Ever breastfed,94.5
Congo Democratic Republic,2007,Ever breastfed,96.5
Cote d'Ivoire,2012,Ever breastfed,94.7
Dominican Republic,2007,Ever breastfed,92
Ecuador,2004,Ever breastfed,97
Egypt,2008,Ever breastfed,96.1
El Salvador,2002,Ever breastfed,94.9
Eritrea,2002,Ever breastfed,98.2
Ethiopia,2011,Ever breastfed,96.4
Gabon,2012,Ever breastfed,90.9
Ghana,2008,Ever breastfed,98.4
Guatemala,2002,Ever breastfed,96.5
Guinea,2012,Ever breastfed,97.2
Guyana,2009,Ever breastfed,94
Haiti,2012,Ever breastfed,95.9
Honduras,2011,Ever breastfed,95.9
India,2006,Ever breastfed,96.4
Indonesia,2012,Ever breastfed,95.3
Jordan,2012,Ever breastfed,93.3
Kazakhstan,1999,Ever breastfed,95.4
Kenya,2008,Ever breastfed,97
Kyrgyz Republic,2012,Ever breastfed,98.7
Lesotho,2009,Ever breastfed,92
Liberia,2007,Ever breastfed,96.2
Madagascar,2008,Ever breastfed,98.4
Malawi,2010,Ever breastfed,98
Maldives,2009,Ever breastfed,98.1
Mali,2006,Ever breastfed,95.8
Mauritania,2000,Ever breastfed,95.8
Moldova,2005,Ever breastfed,97.2
Morocco,2003,Ever breastfed,95.1
Mozambique,2011,Ever breastfed,97
Namibia,2006,Ever breastfed,93.3
Nepal,2011,Ever breastfed,97.7
Nicaragua,2001,Ever breastfed,95.1
Niger,2012,Ever breastfed,98.3
Nigeria,2008,Ever breastfed,97.8
Pakistan,2012,Ever breastfed,94.3
Paraguay,2004,Ever breastfed,95.7
Peru,2012,Ever breastfed,98.6
Philippines,2008,Ever breastfed,88.8
Rwanda,2010,Ever breastfed,98.4
Sao Tome and Principe,2008,Ever breastfed,98.2
Senegal,2010,Ever breastfed,96.9
Sierra Leone,2008,Ever breastfed,95
South Africa,1998,Ever breastfed,87.6
Swaziland,2006,Ever breastfed,93.5
Tajikistan,2012,Ever breastfed,98.3
Tanzania,2010,Ever breastfed,96.9
Timor-Leste,2009,Ever breastfed,97.1
Togo,1998,Ever breastfed,97.4
Turkey,1998,Ever breastfed,95.2
Turkmenistan,2000,Ever breastfed,97.2
Uganda,2011,Ever breastfed,97.6
Ukraine,2007,Ever breastfed,96.1
Uzbekistan,1996,Ever breastfed,96.3
Vietnam,2002,Ever breastfed,97.8
Yemen,1997,Ever breastfed,96.8
Zambia,2007,Ever breastfed,97.7
Zimbabwe,2010,Ever breastfed,96
Albania,2012,median years breastfeeding duration,1
Armenia,2005,median years breastfeeding duration,1
Azerbaijan,2011,median years breastfeeding duration,1
Bangladesh,2006,median years breastfeeding duration,3
Benin,1997,median years breastfeeding duration,2
Bolivia,2007,median years breastfeeding duration,2
Botswana,2012,median years breastfeeding duration,1
Brazil,1990,median years breastfeeding duration,1
Burkina Faso,2002,median years breastfeeding duration,2
Burundi,2007,median years breastfeeding duration,2
Cambodia,2009,median years breastfeeding duration,2
Cameroon,1999,median years breastfeeding duration,1
Central African Republic,1999,median years breastfeeding duration,2
Chad,1993,median years breastfeeding duration,2
Colombia,1997,median years breastfeeding duration,1
Comoros,2012,median years breastfeeding duration,2
Congo (Brazzaville),2004,median years breastfeeding duration,1
Congo Democratic Republic,2004,median years breastfeeding duration,2
