Country Name,Indicator_Name,2009,BR_2010,BR_2011,countrycode
Afghanistan,"Birth rate, crude (per 1,000 people)",39.414,37.952,36.556,AFG
Albania,"Birth rate, crude (per 1,000 people)",12.674,12.607,12.651,ALB
Algeria,"Birth rate, crude (per 1,000 people)",24.122,24.514,24.658,DZA
American Samoa,"Birth rate, crude (per 1,000 people)",,18.7,,ASM
Andorra,"Birth rate, crude (per 1,000 people)",9.9,9.8,,AND
Angola,"Birth rate, crude (per 1,000 people)",47.063,46.327,45.566,AGO
Antigua and Barbuda,"Birth rate, crude (per 1,000 people)",17.216,16.966,16.763,ATG
Arab World,"Birth rate, crude (per 1,000 people)",26.45637868,26.31345244,26.10739042,ARB
Argentina,"Birth rate, crude (per 1,000 people)",17.301,17.188,17.057,ARG
Armenia,"Birth rate, crude (per 1,000 people)",14.201,14.14,14.033,ARM
Aruba,"Birth rate, crude (per 1,000 people)",11.06,10.804,10.584,ABW
Australia,"Birth rate, crude (per 1,000 people)",13.9,13.7,13.6,AUS
Austria,"Birth rate, crude (per 1,000 people)",9.1,9.4,9.3,AUT
Azerbaijan,"Birth rate, crude (per 1,000 people)",17,18.3,19.2,AZE
"Bahamas, The","Birth rate, crude (per 1,000 people)",15.538,15.531,15.479,BHS
Bahrain,"Birth rate, crude (per 1,000 people)",16.633,16.265,15.922,BHR
Bangladesh,"Birth rate, crude (per 1,000 people)",21.298,20.934,20.614,BGD
Barbados,"Birth rate, crude (per 1,000 people)",12.91,12.859,12.802,BRB
Belarus,"Birth rate, crude (per 1,000 people)",11.4,11.4,11.5,BLR
Belgium,"Birth rate, crude (per 1,000 people)",11.8,11.9,11.6,BEL
Belize,"Birth rate, crude (per 1,000 people)",24.803,24.443,24.097,BLZ
Benin,"Birth rate, crude (per 1,000 people)",38.376,37.865,37.369,BEN
Bermuda,"Birth rate, crude (per 1,000 people)",12.4,12.07,11.9,BMU
Bhutan,"Birth rate, crude (per 1,000 people)",20.876,20.524,20.199,BTN
Bolivia,"Birth rate, crude (per 1,000 people)",26.812,26.482,26.201,BOL
Bosnia and Herzegovina,"Birth rate, crude (per 1,000 people)",8.509,8.609,8.716,BIH
Botswana,"Birth rate, crude (per 1,000 people)",24.532,24.299,24.055,BWA
Brazil,"Birth rate, crude (per 1,000 people)",15.896,15.576,15.332,BRA
Brunei Darussalam,"Birth rate, crude (per 1,000 people)",17.281,16.788,16.336,BRN
Bulgaria,"Birth rate, crude (per 1,000 people)",10.9,10.2,9.6,BGR
Burkina Faso,"Birth rate, crude (per 1,000 people)",43.058,42.524,41.971,BFA
Burundi,"Birth rate, crude (per 1,000 people)",45.081,45.193,45.154,BDI
Cabo Verde,"Birth rate, crude (per 1,000 people)",21.298,20.93,20.632,CPV
Cambodia,"Birth rate, crude (per 1,000 people)",26.266,26.225,26.109,KHM
Cameroon,"Birth rate, crude (per 1,000 people)",39.04,38.624,38.186,CMR
Canada,"Birth rate, crude (per 1,000 people)",11.3,11.1,11,CAN
Caribbean small states,"Birth rate, crude (per 1,000 people)",17.08679096,16.57728926,16.33816014,CSS
Cayman Islands,"Birth rate, crude (per 1,000 people)",15.5,15,14.5,CYM
Central African Republic,"Birth rate, crude (per 1,000 people)",35.38,35.056,34.767,CAF
Chad,"Birth rate, crude (per 1,000 people)",47.987,47.481,46.957,TCD
Channel Islands,"Birth rate, crude (per 1,000 people)",9.824,9.735,9.657,CHI
Chile,"Birth rate, crude (per 1,000 people)",14.468,14.329,14.191,CHL
China,"Birth rate, crude (per 1,000 people)",12.13,11.9,11.93,CHN
Colombia,"Birth rate, crude (per 1,000 people)",20.1,19.779,19.448,COL
Comoros,"Birth rate, crude (per 1,000 people)",37.612,37.061,36.474,COM
"Congo, Dem. Rep.","Birth rate, crude (per 1,000 people)",44.44,44.017,43.585,COD
"Congo, Rep.","Birth rate, crude (per 1,000 people)",38.877,38.662,38.373,COG
Costa Rica,"Birth rate, crude (per 1,000 people)",15.941,15.704,15.502,CRI
Cote d'Ivoire,"Birth rate, crude (per 1,000 people)",36.407,36.533,36.637,CIV
Croatia,"Birth rate, crude (per 1,000 people)",10.1,9.8,9.6,HRV
Cuba,"Birth rate, crude (per 1,000 people)",10.12,9.908,9.744,CUB
Curacao,"Birth rate, crude (per 1,000 people)",13,13.6,13.1,CUW
Cyprus,"Birth rate, crude (per 1,000 people)",11.717,11.665,11.605,CYP
Czech Republic,"Birth rate, crude (per 1,000 people)",11.3,11.2,10.4,CZE
Denmark,"Birth rate, crude (per 1,000 people)",11.4,11.4,10.6,DNK
