"CC","Country","Year","Survey","Topic","Table","Indicator","By-Variable","Category","Characteristic","Precision","Value"
"BJ","Benin",2012,"2011-12 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,92.2
"BJ","Benin",2012,"2011-12 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,90.5
"BJ","Benin",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BJ","Benin",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BJ","Benin",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BJ","Benin",2012,"2011-12 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BJ","Benin",2012,"2011-12 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.8
"BJ","Benin",2006,"2006 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.5
"BJ","Benin",2006,"2006 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,95.4
"BJ","Benin",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"BJ","Benin",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"BJ","Benin",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"BJ","Benin",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"BJ","Benin",2006,"2006 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.4
"BJ","Benin",2001,"2001 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97
"BJ","Benin",2001,"2001 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.1
"BJ","Benin",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
