Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Population (Total),SP.POP.TOTL,Afghanistan,AFG,20595360,21347782,22202806,23116142,24018682,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536
Population (Total),SP.POP.TOTL,Albania,ALB,3089027,3064111,3051427,3033659,3014579,2992724,2968028,2940880,2912559,2884303,2856673,2829337,2801681
Population (Total),SP.POP.TOTL,Algeria,DZA,31719449,32150198,32572977,33003442,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705
Population (Total),SP.POP.TOTL,American Samoa,ASM,57522,58176,58729,59117,59262,59117,58652,57919,57053,56245,55636,55274,55128
Population (Total),SP.POP.TOTL,Andorra,ADO,65399,68000,71639,75643,79060,81223,81877,81292,79969,78659,77907,77865,78360
Population (Total),SP.POP.TOTL,Angola,AGO,13924930,14385283,14886574,15421075,15976715,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525
Population (Total),SP.POP.TOTL,Antigua and Barbuda,ATG,77648,78972,80030,80904,81718,82565,83467,84397,85349,86300,87233,88152,89069
Population (Total),SP.POP.TOTL,Argentina,ARG,36903067,37273361,37627545,37970411,38308779,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927
Population (Total),SP.POP.TOTL,Armenia,ARM,3076098,3059960,3047002,3036032,3025652,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081
Population (Total),SP.POP.TOTL,Aruba,ABW,90858,92894,94995,97015,98742,100031,100830,101219,101344,101418,101597,101932,102384
Population (Total),SP.POP.TOTL,Australia,AUS,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031800,22340000,22723900
Population (Total),SP.POP.TOTL,Austria,AUT,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8300788,8336926,8365275,8389771,8406187,8429991
Population (Total),SP.POP.TOTL,Azerbaijan,AZE,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784
Population (Total),SP.POP.TOTL,"Bahamas, The",BHS,297759,303005,309039,315624,322400,329088,335622,342049,348340,354492,360498,366331,371960
Population (Total),SP.POP.TOTL,Bahrain,BHR,668239,698749,732541,772058,820505,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827
Population (Total),SP.POP.TOTL,Bangladesh,BGD,132383265,134729503,137006279,139185986,141235035,143135180,144868702,146457067,147969967,149503100,151125475,152862431,154695368
Population (Total),SP.POP.TOTL,Barbados,BRB,267190,268296,269524,270844,272205,273568,274923,276277,277634,279006,280396,281804,283221
Population (Total),SP.POP.TOTL,Belarus,BLR,10005000,9928000,9865000,9797000,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000
Population (Total),SP.POP.TOTL,Belgium,BEL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246
Population (Total),SP.POP.TOTL,Belize,BLZ,238586,245198,251766,258346,265040,271920,278985,286196,293544,301016,308595,316280,324060
Population (Total),SP.POP.TOTL,Benin,BEN,6949366,7174911,7414744,7665681,7922796,8182362,8443671,8707490,8973293,9240783,9509798,9779795,10050702
Population (Total),SP.POP.TOTL,Bermuda,BMU,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798
Population (Total),SP.POP.TOTL,Bhutan,BTN,564350,580888,598455,616383,633893,650417,665568,679365,692159,704542,716939,729429,741822
Population (Total),SP.POP.TOTL,Bolivia,BOL,8495271,8669066,8843350,9016787,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285
Population (Total),SP.POP.TOTL,Bosnia and Herzegovina,BIH,3834364,3879353,3897579,3895779,3886723,3879828,3875157,3868665,3861201,3853446,3845929,3839322,3833916
Population (Total),SP.POP.TOTL,Botswana,BWA,1755375,1783349,1808976,1832602,1854739,1875805,1895944,1915187,1933719,1951715,1969341,1986701,2003910
Population (Total),SP.POP.TOTL,Brazil,BRA,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154,196935134,198656019
Population (Total),SP.POP.TOTL,Brunei Darussalam,BRN,331801,339114,346407,353649,360797,367815,374697,381440,388017,394400,400569,406512,412238
Population (Total),SP.POP.TOTL,Bulgaria,BGR,8170172,8020282,7868468,7823557,7781161,7739900,7699020,7545338,7492561,7444443,7395599,7348328,7305888
Population (Total),SP.POP.TOTL,Burkina Faso,BFA,11607944,11946080,12296399,12659086,13034258,13421929,13822257,14235075,14659646,15094967,15540284,15995313,16460141
Population (Total),SP.POP.TOTL,Burundi,BDI,6674286,6839376,7037727,7264340,7510771,7770392,8042579,8328312,8624280,8926687,9232753,9540362,9849569
Population (Total),SP.POP.TOTL,Cambodia,KHM,12222871,12472586,12709336,12934369,13149386,13356424,13555054,13747288,13940518,14144225,14364931,14605862,14864646
Population (Total),SP.POP.TOTL,Cameroon,CMR,15927713,16350440,16782044,17223277,17674960,18137734,18611937,19097676,19595026,20103945,20624343,21156272,21699631
Population (Total),SP.POP.TOTL,Canada,CAN,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34754312
Population (Total),SP.POP.TOTL,Cabo Verde,CPV,442426,450812,459140,466939,473577,478651,481940,483713,484651,485714,487601,490556,494401
Population (Total),SP.POP.TOTL,Cayman Islands,CYM,41685,43317,44742,46032,47299,48623,50026,51472,52912,54275,55509,56601,57570
Population (Total),SP.POP.TOTL,Central African Republic,CAF,3638316,3704045,3767248,3829636,3893595,3960897,4032102,4106897,4185106,4266247,4349921,4436217,4525209
Population (Total),SP.POP.TOTL,Chad,TCD,8301151,8620917,8959964,9311234,9665024,10014413,10356822,10694366,11030628,11371325,11720781,12080037,12448175
Population (Total),SP.POP.TOTL,Channel Islands,CHI,148725,149799,150908,152039,153174,154298,155406,156497,157554,158565,159518,160407,161235
Population (Total),SP.POP.TOTL,Chile,CHL,15454402,15639289,15819522,15995658,16168241,16337749,16504530,16668892,16831184,16991729,17150760,17308449,17464814
