SeriesName,CountryCode,value
Population_Total,AFG,29824536
Population_Total,ALB,2801681
Population_Total,DZA,38481705
Population_Total,ASM,55128
Population_Total,ADO,78360
Population_Total,AGO,20820525
Population_Total,ATG,89069
Population_Total,ARG,41086927
Population_Total,ARM,2969081
Population_Total,ABW,102384
Population_Total,AUS,22723900
Population_Total,AUT,8429991
Population_Total,AZE,9295784
Population_Total,BHS,371960
Population_Total,BHR,1317827
Population_Total,BGD,154695368
Population_Total,BRB,283221
Population_Total,BLR,9464000
Population_Total,BEL,11128246
Population_Total,BLZ,324060
Population_Total,BEN,10050702
Population_Total,BMU,64798
Population_Total,BTN,741822
Population_Total,BOL,10496285
Population_Total,BIH,3833916
Population_Total,BWA,2003910
Population_Total,BRA,198656019
Population_Total,BRN,412238
Population_Total,BGR,7305888
Population_Total,BFA,16460141
Population_Total,BDI,9849569
Population_Total,KHM,14864646
Population_Total,CMR,21699631
Population_Total,CAN,34754312
Population_Total,CPV,494401
Population_Total,CYM,57570
Population_Total,CAF,4525209
Population_Total,TCD,12448175
Population_Total,CHI,161235
Population_Total,CHL,17464814
Population_Total,CHN,1350695000
Population_Total,COL,47704427
Population_Total,COM,717503
Population_Total,ZAR,65705093
Population_Total,COG,4337051
Population_Total,CRI,4805295
Population_Total,CIV,19839750
Population_Total,HRV,4267558
Population_Total,CUB,11270957
Population_Total,CUW,152056
Population_Total,CYP,1128994
Population_Total,CZE,10510785
Population_Total,DNK,5591572
Population_Total,DJI,859652
Population_Total,DMA,71684
Population_Total,DOM,10276621
Population_Total,ECU,15492264
Population_Total,EGY,80721874
Population_Total,SLV,6297394
Population_Total,GNQ,736296
Population_Total,ERI,6130922
Population_Total,EST,1325016
Population_Total,ETH,91728849
Population_Total,FRO,49506
Population_Total,FJI,874742
Population_Total,FIN,5413971
Population_Total,FRA,65676758
Population_Total,PYF,273814
Population_Total,GAB,1632572
Population_Total,GMB,1791225
Population_Total,GEO,4490700
Population_Total,DEU,80425823
Population_Total,GHA,25366462
Population_Total,GRC,11092771
Population_Total,GRL,56810
Population_Total,GRD,105483
Population_Total,GUM,162810
Population_Total,GTM,15082831
Population_Total,GIN,11451273
Population_Total,GNB,1663558
Population_Total,GUY,795369
Population_Total,HTI,10173775
Population_Total,HND,7935846
Population_Total,HKG,7154600
Population_Total,HUN,9920362
Population_Total,ISL,320716
Population_Total,IND,1236686732
Population_Total,IDN,246864191
Population_Total,IRN,76424443
Population_Total,IRQ,32578209
Population_Total,IRL,4586897
Population_Total,IMY,85284
Population_Total,ISR,7910500
Population_Total,ITA,59539717
Population_Total,JAM,2707805
Population_Total,JPN,127561489
Population_Total,JOR,6318000
Population_Total,KAZ,16791425
Population_Total,KEN,43178141
Population_Total,KIR,100786
Population_Total,PRK,24763188
Population_Total,KOR,50004441
Population_Total,KSV,1807106
Population_Total,KWT,3250496
Population_Total,KGZ,5607200
Population_Total,LAO,6645827
Population_Total,LVA,2034319
Population_Total,LBN,4424888
Population_Total,LSO,2051545
Population_Total,LBR,4190435
Population_Total,LBY,6154623
Population_Total,LIE,36656
Population_Total,LTU,2987773
Population_Total,LUX,530946
Population_Total,MAC,556783
Population_Total,MKD,2105575
Population_Total,MDG,22293914
Population_Total,MWI,15906483
Population_Total,MYS,29239927
Population_Total,MDV,338442
Population_Total,MLI,14853572
Population_Total,MLT,419455
Population_Total,MHL,52555
Population_Total,MRT,3796141
Population_Total,MUS,1291167
Population_Total,MEX,120847477
Population_Total,FSM,103395
Population_Total,MDA,3559519
Population_Total,MCO,37579
Population_Total,MNG,2796484
Population_Total,MNE,621081
Population_Total,MAR,32521143
Population_Total,MOZ,25203395
Population_Total,MMR,52797319
Population_Total,NAM,2259393
Population_Total,NPL,27474377
Population_Total,NLD,16754962
Population_Total,NCL,258000
Population_Total,NZL,4433000
Population_Total,NIC,5991733
Population_Total,NER,17157042
Population_Total,NGA,168833776
Population_Total,MNP,53305
Population_Total,NOR,5018573
Population_Total,OMN,3314001
Population_Total,PAK,179160111
Population_Total,PLW,20754
Population_Total,PAN,3802281
Population_Total,PNG,7167010
Population_Total,PRY,6687361
Population_Total,PER,29987800
Population_Total,PHL,96706764
Population_Total,POL,38535873
Population_Total,PRT,10514844
Population_Total,PRI,3651545
Population_Total,QAT,2050514
Population_Total,ROM,20076727
Population_Total,RUS,143178000
Population_Total,RWA,11457801
Population_Total,WSM,188889
Population_Total,SMR,31247
Population_Total,STP,188098
Population_Total,SAU,28287855
Population_Total,SEN,13726021
Population_Total,SRB,7199077
Population_Total,SYC,88303
Population_Total,SLE,5978727
Population_Total,SGP,5312400
Population_Total,SXM,39088
Population_Total,SVK,5407579
Population_Total,SVN,2057159
Population_Total,SLB,549598
Population_Total,SOM,10195134
Population_Total,ZAF,52274945
Population_Total,SSD,10837527
Population_Total,ESP,46761264
Population_Total,LKA,20328000
Population_Total,KNA,53584
Population_Total,LCA,180870
Population_Total,MAF,30959
Population_Total,VCT,109373
Population_Total,SDN,37195349
Population_Total,SUR,534541
Population_Total,SWZ,1230985
Population_Total,SWE,9519374
Population_Total,CHE,7996861
Population_Total,SYR,22399254
Population_Total,TJK,8008990
Population_Total,TZA,47783107
Population_Total,THA,66785001
Population_Total,TMP,1148958
