"","CountryCode","Fertility_rate_total_births_per_woman","Fertilizer_consumption_kilograms_per_hectare_of_arable_land","Malnutrition_prevalence_height_for_age_._of_children_under_5","Malnutrition_prevalence_height_for_age_female_._of_children_under_5","Malnutrition_prevalence_height_for_age_male_._of_children_under_5","Malnutrition_prevalence_weight_for_age_._of_children_under_5","Malnutrition_prevalence_weight_for_age_female_._of_children_under_5","Malnutrition_prevalence_weight_for_age_male_._of_children_under_5","Mortality_rate_infant_female_per_1000_live_births","Mortality_rate_infant_male_per_1000_live_births","Mortality_rate_infant_per_1000_live_births","Mortality_rate_neonatal_per_1000_live_births","Number_of_infant_deaths","Population_ages_0.14_._of_total","Population_ages_15.64_._of_total","Population_ages_65_and_above_._of_total","Population_Total","Prevalence_of_overweight_._of_children_under_5","Prevalence_of_overweight_female_._of_children_under_5","Prevalence_of_overweight_male_._of_children_under_5","Prevalence_of_undernourishment_._of_population","Prevalence_of_wasting_._of_children_under_5","Prevalence_of_wasting_female_._of_children_under_5","Prevalence_of_wasting_male_._of_children_under_5","Urban_population_._of_total","Wanted_fertility_rate_births_per_woman"
"1","ABW",1.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.94745255,69.03129578,11.02027702,102384,NA,NA,NA,NA,NA,NA,NA,46.9658,NA
"2","ADO",1.22,NA,NA,NA,NA,NA,NA,NA,2.4,2.8,2.6,0.8,NA,NA,NA,NA,78360,NA,NA,NA,NA,NA,NA,NA,86.749,NA
"3","AFG",5.141,4.25551848,59.29999924,58.5,60,32.90000153,33,32.70000076,66.8,74.8,71,36,73000,47.41543579,50.3073349,2.277222395,29824536,4.599999905,2.599999905,6.300000191,NA,8.600000381,9.300000191,7.900000095,23.8554,NA
"4","AGO",5.979,2.002926829,29.20000076,26.10000038,32.40000153,15.60000038,14.60000038,16.60000038,91.4,107.3,99.5,45.4,90000,47.58179855,50.01420975,2.40399313,20820525,5.300000191,5.5,5.099999905,24.4,8.199999809,8.100000381,8.199999809,59.9062,NA
"5","ALB",1.76,83.30990415,23.10000038,23.39999962,22.79999924,6.300000191,6,6.599999905,13.6,16.3,15,8.2,1000,21.32954788,68.10437775,10.56613636,2801681,23.39999962,23.39999962,23.29999924,NA,9.399999619,7.300000191,11.5,54.4472,1.4
"6","ARB",3.233401748,91.39985532,NA,NA,NA,NA,NA,NA,26.32016806,31.72680398,29.10872195,17.65963546,NA,32.82603777,63.01437174,4.159585863,362466629,NA,NA,NA,9.722600709,NA,NA,NA,57.18566251,NA
"7","ARE",1.82,674.9011858,NA,NA,NA,NA,NA,NA,6.4,7.9,7.2,5,1000,14.41183281,85.23086548,0.357313126,9205651,NA,NA,NA,5,NA,NA,NA,84.6212,NA
"8","ARG",2.188,40.42174275,8.199999809,8.100000381,8.199999809,2.299999952,2.200000048,2.400000095,11.3,14.1,12.7,7.5,9000,24.41505241,64.75757599,10.8273735,41086927,9.899999619,9.5,10.19999981,5,1.200000048,1.399999976,1.100000024,92.6406,NA
"9","ARM",1.739,25.91304348,20.79999924,19.89999962,21.70000076,5.300000191,5.900000095,4.699999809,13,16.3,14.7,10.1,1000,20.34498215,69.34475708,10.31026077,2969081,16.79999924,14.60000038,18.79999924,5,4.199999809,3.299999952,4.900000095,64.1636,1.6
"10","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55128,NA,NA,NA,NA,NA,NA,NA,93.4296,NA
"11","ATG",2.102,3,NA,NA,NA,NA,NA,NA,8.2,10.1,9.2,5.5,NA,25.35786819,67.50160217,7.141654015,89069,NA,NA,NA,13.9,NA,NA,NA,29.8672,NA
"12","AUS",1.927,46.31648186,1.799999952,NA,NA,0.200000003,NA,NA,3.6,4.6,4.1,2.8,1000,18.94627571,67.06570435,13.98803043,22723900,8,NA,NA,NA,NA,NA,NA,89.3372,NA
"13","AUT",1.44,108.1542398,NA,NA,NA,NA,NA,NA,3,3.7,3.3,2.4,NA,14.51326275,67.23709869,18.24962807,8429991,NA,NA,NA,NA,NA,NA,NA,67.8808,NA
"14","AZE",2,9.954885622,26.79999924,24.89999962,28.5,8.399999619,8,8.699999809,28.6,32.9,30.8,15,5000,22.246418,72.06813049,5.685480118,9295784,13.89999962,12.69999981,14.89999962,5,6.800000191,5.699999809,7.800000191,53.8886,1.8
"15","BDI",6.123,3.304347826,57.5,53.09999847,61.70000076,29.10000038,26.10000038,32,59.6,73.9,66.9,35.5,29000,44.19589233,53.36549377,2.438614368,9849569,2.900000095,2.599999905,3.099999905,67.3,6.099999905,5.599999905,6.599999905,11.214,4.2
"16","BEL",1.79,NA,NA,NA,NA,NA,NA,NA,3,3.7,3.4,2.4,1000,16.88110352,65.48615265,17.6327877,11128246,NA,NA,NA,NA,NA,NA,NA,97.5148,NA
"17","BEN",4.927,0.46496063,44.70000076,41.59999847,47.90000153,20.20000076,17.60000038,22.70000076,53.9,62.9,58.5,27.8,21000,42.95103836,54.16282272,2.886126757,10050702,11.39999962,11.30000019,11.60000038,6.1,8.399999619,7.800000191,9,45.5592,4.3
"18","BFA",5.693,9.4285,35.09999847,32.79999924,37.40000153,26.20000076,24.70000076,27.70000076,60.1,71.1,65.8,27.5,43000,45.66417313,51.88666916,2.449152708,16460141,2.799999952,2.900000095,2.700000048,25,15.39999962,14.39999962,16.5,27.351,5.2
"19","BGD",2.208,184.3689446,41.40000153,42.09999847,40.70000076,36.79999924,38.79999924,34.79999924,30.3,35.7,33.1,24.4,102000,30.57365036,64.71382141,4.712532043,154695368,1.899999976,2.099999905,1.700000048,16.3,15.69999981,15.30000019,16,28.8864,1.6
"20","BGR",1.5,97.14483192,8.800000191,12,5.300000191,1.600000024,1.899999976,1.299999952,9.4,11.6,10.5,6.6,1000,13.53070736,67.54784393,18.9214344,7305888,13.60000038,12.60000038,14.80000019,NA,3.200000048,3.099999905,3.400000095,73.6392,NA
"21","BHR",2.094,1953.676471,NA,NA,NA,NA,NA,NA,8,8.4,8.2,3.6,NA,20.1646347,77.71611786,2.11909461,1317827,NA,NA,NA,NA,NA,NA,NA,88.7564,NA
"22","BHS",1.893,NA,NA,NA,NA,NA,NA,NA,12.8,14.9,13.9,7.7,NA,21.62194824,70.9595108,7.41880846,371960,NA,NA,NA,5.6,NA,NA,NA,84.4476,NA
"23","BIH",1.268,21.89541833,8.899999619,8.899999619,8.899999619,1.5,1.299999952,1.799999952,5.2,6.4,5.8,4.3,1000,16.34608078,68.19667053,15.45730305,3833916,17.39999962,18,16.70000076,NA,2.299999952,2.400000095,2.299999952,48.813,NA
"24","BLR",1.62,270.4607046,4.5,4.199999809,4.699999809,1.299999952,1,1.5,3.4,4.4,3.9,2.5,1000,15.10427761,71.12935638,13.76635456,9464000,9.699999809,8.100000381,11.30000019,NA,2.200000048,1.600000024,2.799999952,75.4282,NA
"25","BLZ",2.715,49.42666667,19.29999924,20,18.60000038,6.199999809,6.599999905,5.699999809,14,17.4,15.7,8.6,NA,34.39980316,61.67098618,3.929519176,324060,7.900000095,7.099999905,8.600000381,6.4,3.299999952,3.400000095,3.200000048,44.5898,NA
"26","BMU",1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64798,NA,NA,NA,NA,NA,NA,NA,100,NA
