Country Name,Indicator_Name,2011
Afghanistan,"Age population, age 0, female, interpolated",488099
Afghanistan,"Age population, age 0, male, interpolated",510406
Afghanistan,"Age population, age 01, female, interpolated",492333
Afghanistan,"Age population, age 01, male, interpolated",514530
Afghanistan,"Age population, age 02, female, interpolated",491844
Afghanistan,"Age population, age 02, male, interpolated",514211
Albania,"Age population, age 0, female, interpolated",20155
Albania,"Age population, age 0, male, interpolated",21575
Albania,"Age population, age 01, female, interpolated",19292
Albania,"Age population, age 01, male, interpolated",20805
Albania,"Age population, age 02, female, interpolated",18511
Albania,"Age population, age 02, male, interpolated",20313
Algeria,"Age population, age 0, female, interpolated",479945
Algeria,"Age population, age 0, male, interpolated",503650
Algeria,"Age population, age 01, female, interpolated",461744
Algeria,"Age population, age 01, male, interpolated",484243
Algeria,"Age population, age 02, female, interpolated",418863
Algeria,"Age population, age 02, male, interpolated",438368
American Samoa,"Age population, age 0, female, interpolated",
American Samoa,"Age population, age 0, male, interpolated",
American Samoa,"Age population, age 01, female, interpolated",
American Samoa,"Age population, age 01, male, interpolated",
American Samoa,"Age population, age 02, female, interpolated",
American Samoa,"Age population, age 02, male, interpolated",
Andorra,"Age population, age 0, female, interpolated",
Andorra,"Age population, age 0, male, interpolated",
Andorra,"Age population, age 01, female, interpolated",
Andorra,"Age population, age 01, male, interpolated",
Andorra,"Age population, age 02, female, interpolated",
Andorra,"Age population, age 02, male, interpolated",
Angola,"Age population, age 0, female, interpolated",414861
Angola,"Age population, age 0, male, interpolated",420740
Angola,"Age population, age 01, female, interpolated",403914
Angola,"Age population, age 01, male, interpolated",408944
Angola,"Age population, age 02, female, interpolated",387895
Angola,"Age population, age 02, male, interpolated",392147
Antigua and Barbuda,"Age population, age 0, female, interpolated",715
Antigua and Barbuda,"Age population, age 0, male, interpolated",742
Antigua and Barbuda,"Age population, age 01, female, interpolated",718
Antigua and Barbuda,"Age population, age 01, male, interpolated",736
Antigua and Barbuda,"Age population, age 02, female, interpolated",724
Antigua and Barbuda,"Age population, age 02, male, interpolated",730
Arab World,"Age population, age 0, female, interpolated",
Arab World,"Age population, age 0, male, interpolated",
Arab World,"Age population, age 01, female, interpolated",
Arab World,"Age population, age 01, male, interpolated",
Arab World,"Age population, age 02, female, interpolated",
Arab World,"Age population, age 02, male, interpolated",
Argentina,"Age population, age 0, female, interpolated",344795
Argentina,"Age population, age 0, male, interpolated",357730
Argentina,"Age population, age 01, female, interpolated",342614
Argentina,"Age population, age 01, male, interpolated",355429
Argentina,"Age population, age 02, female, interpolated",335742
Argentina,"Age population, age 02, male, interpolated",348240
Armenia,"Age population, age 0, female, interpolated",19638
Armenia,"Age population, age 0, male, interpolated",24144
Armenia,"Age population, age 01, female, interpolated",19864
Armenia,"Age population, age 01, male, interpolated",25460
Armenia,"Age population, age 02, female, interpolated",18992
Armenia,"Age population, age 02, male, interpolated",25185
Aruba,"Age population, age 0, female, interpolated",604
Aruba,"Age population, age 0, male, interpolated",620
Aruba,"Age population, age 01, female, interpolated",631
Aruba,"Age population, age 01, male, interpolated",651
Aruba,"Age population, age 02, female, interpolated",635
Aruba,"Age population, age 02, male, interpolated",660
Australia,"Age population, age 0, female, interpolated",152711
Australia,"Age population, age 0, male, interpolated",160594
Australia,"Age population, age 01, female, interpolated",150507
Australia,"Age population, age 01, male, interpolated",158255
Australia,"Age population, age 02, female, interpolated",146417
Australia,"Age population, age 02, male, interpolated",154196
Austria,"Age population, age 0, female, interpolated",39278
Austria,"Age population, age 0, male, interpolated",40812
Austria,"Age population, age 01, female, interpolated",39133
Austria,"Age population, age 01, male, interpolated",40665
Austria,"Age population, age 02, female, interpolated",38801
Austria,"Age population, age 02, male, interpolated",40564
Azerbaijan,"Age population, age 0, female, interpolated",75749
Azerbaijan,"Age population, age 0, male, interpolated",88059
Azerbaijan,"Age population, age 01, female, interpolated",72935
Azerbaijan,"Age population, age 01, male, interpolated",84524
Azerbaijan,"Age population, age 02, female, interpolated",68582
Azerbaijan,"Age population, age 02, male, interpolated",78983
"Bahamas, The","Age population, age 0, female, interpolated",2986
"Bahamas, The","Age population, age 0, male, interpolated",3122
"Bahamas, The","Age population, age 01, female, interpolated",2962
"Bahamas, The","Age population, age 01, male, interpolated",3089
"Bahamas, The","Age population, age 02, female, interpolated",2737
"Bahamas, The","Age population, age 02, male, interpolated",2866
Bahrain,"Age population, age 0, female, interpolated",9384
Bahrain,"Age population, age 0, male, interpolated",9662
Bahrain,"Age population, age 01, female, interpolated",9124
Bahrain,"Age population, age 01, male, interpolated",9451
Bahrain,"Age population, age 02, female, interpolated",9156
Bahrain,"Age population, age 02, male, interpolated",9594
Bangladesh,"Age population, age 0, female, interpolated",1455740
Bangladesh,"Age population, age 0, male, interpolated",1522494
Bangladesh,"Age population, age 01, female, interpolated",1451546
Bangladesh,"Age population, age 01, male, interpolated",1516672
Bangladesh,"Age population, age 02, female, interpolated",1474022
Bangladesh,"Age population, age 02, male, interpolated",1539682
Barbados,"Age population, age 0, female, interpolated",1735
Barbados,"Age population, age 0, male, interpolated",1875
Barbados,"Age population, age 01, female, interpolated",1748
Barbados,"Age population, age 01, male, interpolated",1871
Barbados,"Age population, age 02, female, interpolated",1760
Barbados,"Age population, age 02, male, interpolated",1837
Belarus,"Age population, age 0, female, interpolated",52591
Belarus,"Age population, age 0, male, interpolated",55840
Belarus,"Age population, age 01, female, interpolated",52923
Belarus,"Age population, age 01, male, interpolated",56231
Belarus,"Age population, age 02, female, interpolated",51138
Belarus,"Age population, age 02, male, interpolated",54253
Belgium,"Age population, age 0, female, interpolated",64449
Belgium,"Age population, age 0, male, interpolated",67595
Belgium,"Age population, age 01, female, interpolated",64930
Belgium,"Age population, age 01, male, interpolated",68119
Belgium,"Age population, age 02, female, interpolated",64086
Belgium,"Age population, age 02, male, interpolated",67205
Belize,"Age population, age 0, female, interpolated",3731
Belize,"Age population, age 0, male, interpolated",3815
Belize,"Age population, age 01, female, interpolated",3703
Belize,"Age population, age 01, male, interpolated",3789
Belize,"Age population, age 02, female, interpolated",3705
Belize,"Age population, age 02, male, interpolated",3795
Benin,"Age population, age 0, female, interpolated",166089
Benin,"Age population, age 0, male, interpolated",170749
Benin,"Age population, age 01, female, interpolated",162297
Benin,"Age population, age 01, male, interpolated",166726
Benin,"Age population, age 02, female, interpolated",158361
Benin,"Age population, age 02, male, interpolated",162392
Bermuda,"Age population, age 0, female, interpolated",
Bermuda,"Age population, age 0, male, interpolated",
Bermuda,"Age population, age 01, female, interpolated",
Bermuda,"Age population, age 01, male, interpolated",
Bermuda,"Age population, age 02, female, interpolated",
Bermuda,"Age population, age 02, male, interpolated",
Bhutan,"Age population, age 0, female, interpolated",7011
Bhutan,"Age population, age 0, male, interpolated",7277
Bhutan,"Age population, age 01, female, interpolated",6935
Bhutan,"Age population, age 01, male, interpolated",7189
Bhutan,"Age population, age 02, female, interpolated",6876
Bhutan,"Age population, age 02, male, interpolated",7120
Bolivia,"Age population, age 0, female, interpolated",123443
Bolivia,"Age population, age 0, male, interpolated",128647
Bolivia,"Age population, age 01, female, interpolated",122414
Bolivia,"Age population, age 01, male, interpolated",127524
Bolivia,"Age population, age 02, female, interpolated",123139
Bolivia,"Age population, age 02, male, interpolated",128201
Bosnia and Herzegovina,"Age population, age 0, female, interpolated",14924
Bosnia and Herzegovina,"Age population, age 0, male, interpolated",15558
Bosnia and Herzegovina,"Age population, age 01, female, interpolated",14025
Bosnia and Herzegovina,"Age population, age 01, male, interpolated",14751
Bosnia and Herzegovina,"Age population, age 02, female, interpolated",14936
Bosnia and Herzegovina,"Age population, age 02, male, interpolated",15853
Botswana,"Age population, age 0, female, interpolated",23399
Botswana,"Age population, age 0, male, interpolated",23869
Botswana,"Age population, age 01, female, interpolated",23332
Botswana,"Age population, age 01, male, interpolated",23784
Botswana,"Age population, age 02, female, interpolated",22973
Botswana,"Age population, age 02, male, interpolated",23400
Brazil,"Age population, age 0, female, interpolated",1358732
Brazil,"Age population, age 0, male, interpolated",1418042
Brazil,"Age population, age 01, female, interpolated",1360552
Brazil,"Age population, age 01, male, interpolated",1419194
Brazil,"Age population, age 02, female, interpolated",1432871
Brazil,"Age population, age 02, male, interpolated",1493773
Brunei Darussalam,"Age population, age 0, female, interpolated",2945
