Country Name,Indicator_Name,2011
Afghanistan,"Population, total",29105480
Albania,"Population, total",3153883
Algeria,"Population, total",37762962
American Samoa,"Population, total",55274
Andorra,"Population, total",77865
Angola,"Population, total",20180490
Antigua and Barbuda,"Population, total",88152
Arab World,"Population, total",355137048
Argentina,"Population, total",40728738
Armenia,"Population, total",2964120
Aruba,"Population, total",101932
Australia,"Population, total",22340000
Austria,"Population, total",8406187
Azerbaijan,"Population, total",9173082
"Bahamas, The","Population, total",366331
Bahrain,"Population, total",1292764
Bangladesh,"Population, total",152862431
Barbados,"Population, total",281804
Belarus,"Population, total",9473000
Belgium,"Population, total",11047744
Belize,"Population, total",316280
Benin,"Population, total",9779795
Bermuda,"Population, total",64564
Bhutan,"Population, total",729429
Bolivia,"Population, total",10324445
Bosnia and Herzegovina,"Population, total",3839322
Botswana,"Population, total",1986701
Brazil,"Population, total",196935134
Brunei Darussalam,"Population, total",406512
Bulgaria,"Population, total",7348328
Burkina Faso,"Population, total",15995313
Burundi,"Population, total",9540362
Cabo Verde,"Population, total",490556
Cambodia,"Population, total",14605862
Cameroon,"Population, total",21156272
Canada,"Population, total",34342780
Caribbean small states,"Population, total",6924204
Cayman Islands,"Population, total",56601
Central African Republic,"Population, total",4436217
Chad,"Population, total",12080037
Channel Islands,"Population, total",160407
Chile,"Population, total",17308449
China,"Population, total",1344130000
Colombia,"Population, total",47078792
Comoros,"Population, total",700216
"Congo, Dem. Rep.","Population, total",63931512
"Congo, Rep.","Population, total",4225359
Costa Rica,"Population, total",4737680
Cote d'Ivoire,"Population, total",19389954
Croatia,"Population, total",4280600
Cuba,"Population, total",11276053
Curacao,"Population, total",150612
Cyprus,"Population, total",1116513
Czech Republic,"Population, total",10496088
Denmark,"Population, total",5570572
Djibouti,"Population, total",846646
Dominica,"Population, total",71401
Dominican Republic,"Population, total",10147598
East Asia & Pacific (all income levels),"Population, total",2218962237
East Asia & Pacific (developing only),"Population, total",1977493244
Ecuador,"Population, total",15246481
"Egypt, Arab Rep.","Population, total",79392466
El Salvador,"Population, total",6256242
Equatorial Guinea,"Population, total",715996
Eritrea,"Population, total",5932852
Estonia,"Population, total",1334948
Ethiopia,"Population, total",89393063
Euro area,"Population, total",335325408
Europe & Central Asia (all income levels),"Population, total",895191829
Europe & Central Asia (developing only),"Population, total",268985468
European Union,"Population, total",507411648
Faeroe Islands,"Population, total",49551
Fiji,"Population, total",867921
Finland,"Population, total",5388272
France,"Population, total",65371613
French Polynesia,"Population, total",270874
Gabon,"Population, total",1594034
"Gambia, The","Population, total",1734966
Georgia,"Population, total",4483400
Germany,"Population, total",81797673
Ghana,"Population, total",24820706
Greece,"Population, total",11123213
Greenland,"Population, total",56890
Grenada,"Population, total",105074
Guam,"Population, total",160858
Guatemala,"Population, total",14706578
Guinea,"Population, total",11161530
Guinea-Bissau,"Population, total",1624228
Guyana,"Population, total",790882
Haiti,"Population, total",10032864
Heavily indebted poor countries (HIPC),"Population, total",638737676
High income,"Population, total",1295632671
High income: nonOECD,"Population, total",248058549
High income: OECD,"Population, total",1047574122
Honduras,"Population, total",7776669
"Hong Kong SAR, China","Population, total",7071600
Hungary,"Population, total",9971727
Iceland,"Population, total",319014
India,"Population, total",1221156319
Indonesia,"Population, total",243801639
"Iran, Islamic Rep.","Population, total",75424285
Iraq,"Population, total",31760020
Ireland,"Population, total",4576794
Isle of Man,"Population, total",84654
Israel,"Population, total",7765800
Italy,"Population, total",60723569
Jamaica,"Population, total",2699838
Japan,"Population, total",127817277
Jordan,"Population, total",6181000
Kazakhstan,"Population, total",16556600
Kenya,"Population, total",42027891
Kiribati,"Population, total",99250
"Korea, Dem. Rep.","Population, total",24631291
"Korea, Rep.","Population, total",49779440
Kosovo,"Population, total",1790957
Kuwait,"Population, total",3124705
Kyrgyz Republic,"Population, total",5514600
Lao PDR,"Population, total",6521314
Latin America & Caribbean (all income levels),"Population, total",601768532
Latin America & Caribbean (developing only),"Population, total",574744408
Latvia,"Population, total",2059709
Least developed countries: UN classification,"Population, total",858284551
Lebanon,"Population, total",4382790
Lesotho,"Population, total",2029516
Liberia,"Population, total",4079697
Libya,"Population, total",6103233
Liechtenstein,"Population, total",36388
Lithuania,"Population, total",3028115
Low & middle income,"Population, total",5670807041
Low income,"Population, total",827770750
Lower middle income,"Population, total",2470717769
Luxembourg,"Population, total",518347
"Macao SAR, China","Population, total",546278
"Macedonia, FYR","Population, total",2103890
Madagascar,"Population, total",21678934
Malawi,"Population, total",15457531
Malaysia,"Population, total",28758968
Maldives,"Population, total",331964
Mali,"Population, total",14416737
Malta,"Population, total",416268
Marshall Islands,"Population, total",52495
Mauritania,"Population, total",3702763
Mauritius,"Population, total",1286051
Mexico,"Population, total",119361233
"Micronesia, Fed. Sts.","Population, total",103424
Middle East & North Africa (all income levels),"Population, total",388001596
Middle East & North Africa (developing only),"Population, total",333779559
Middle income,"Population, total",4843036291
Moldova,"Population, total",3559986
Monaco,"Population, total",37261
Mongolia,"Population, total",2754209
Montenegro,"Population, total",620644
Morocco,"Population, total",32059424
Mozambique,"Population, total",24581367
Myanmar,"Population, total",52350763
Namibia,"Population, total",2217618
Nepal,"Population, total",27156367
Netherlands,"Population, total",16693074
New Caledonia,"Population, total",254024
New Zealand,"Population, total",4405200
Nicaragua,"Population, total",5905146
Niger,"Population, total",16511462
Nigeria,"Population, total",164192925
North America,"Population, total",345995160
Northern Mariana Islands,"Population, total",53230
Norway,"Population, total",4953088
OECD members,"Population, total",1249965720
Oman,"Population, total",3024774
Other small states,"Population, total",19567222
Pacific island small states,"Population, total",2225298
Pakistan,"Population, total",176166353
Palau,"Population, total",20606
Panama,"Population, total",3740282
Papua New Guinea,"Population, total",7012977
Paraguay,"Population, total",6573097
Peru,"Population, total",29614887
Philippines,"Population, total",95053437
Poland,"Population, total",38534157
Portugal,"Population, total",10557560
Puerto Rico,"Population, total",3694093
Qatar,"Population, total",1910902
Romania,"Population, total",20147528
Russian Federation,"Population, total",142960000
Rwanda,"Population, total",11144315
Samoa,"Population, total",187429
San Marino,"Population, total",31048
Sao Tome and Principe,"Population, total",183177
Saudi Arabia,"Population, total",27761728
Senegal,"Population, total",13330737
Serbia,"Population, total",7258745
Seychelles,"Population, total",87441
Sierra Leone,"Population, total",5865491
Singapore,"Population, total",5183700
Sint Maarten (Dutch part),"Population, total",38486
Slovak Republic,"Population, total",5398384
Slovenia,"Population, total",2052843
Small states,"Population, total",28716724
Solomon Islands,"Population, total",537997
Somalia,"Population, total",9907903
South Africa,"Population, total",51579599
South Asia,"Population, total",1628377343
South Sudan,"Population, total",10381110
Spain,"Population, total",46742697
Sri Lanka,"Population, total",20869000
St. Kitts and Nevis,"Population, total",52971
St. Lucia,"Population, total",179271
St. Martin (French part),"Population, total",30615
St. Vincent and the Grenadines,"Population, total",109357
Sub-Saharan Africa (all income levels),"Population, total",888143015
Sub-Saharan Africa (developing only),"Population, total",887427019
Sudan,"Population, total",36430923
Suriname,"Population, total",529761
Swaziland,"Population, total",1212159
Sweden,"Population, total",9449213
Switzerland,"Population, total",7912398
Syrian Arab Republic,"Population, total",21961676
Tajikistan,"Population, total",7814850
Tanzania,"Population, total",46354607
Thailand,"Population, total",66576332
Timor-Leste,"Population, total",1175880
Togo,"Population, total",6472304
Tonga,"Population, total",104554
Trinidad and Tobago,"Population, total",1333082
Tunisia,"Population, total",10673800
Turkey,"Population, total",73058638
Turkmenistan,"Population, total",5106668
Turks and Caicos Islands,"Population, total",31726
Tuvalu,"Population, total",9844
Uganda,"Population, total",35148064
Ukraine,"Population, total",45706100
United Arab Emirates,"Population, total",8925096
United Kingdom,"Population, total",63259912
United States,"Population, total",311587816
Upper middle income,"Population, total",2372318522
Uruguay,"Population, total",3383486
Uzbekistan,"Population, total",29339400
Vanuatu,"Population, total",241778
"Venezuela, RB","Population, total",29500625
Vietnam,"Population, total",87840000
Virgin Islands (U.S.),"Population, total",105784
West Bank and Gaza,"Population, total",3927051
World,"Population, total",6966439712
"Yemen, Rep.","Population, total",23304206
Zambia,"Population, total",13633796
Zimbabwe,"Population, total",13358738
