"CC","Country","Year","Survey","Topic","Table","Indicator","By-Variable","Category","Characteristic","Precision","Value"
"BJ","Benin",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.8
"BJ","Benin",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.4
"BJ","Benin",2001,"2001 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.3
"BJ","Benin",2001,"2001 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.2
"BJ","Benin",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.4
"BJ","Benin",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.2
"BF","Burkina Faso",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.7
"BF","Burkina Faso",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.3
"BF","Burkina Faso",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.6
"BF","Burkina Faso",2003,"2003 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.8
"BF","Burkina Faso",1999,"1998-99 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.6
"BF","Burkina Faso",1999,"1998-99 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.9
"BF","Burkina Faso",1993,"1993 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,161.6
"BF","Burkina Faso",1993,"1993 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21
"BU","Burundi",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,155.4
"BU","Burundi",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.3
"CM","Cameroon",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.4
"CM","Cameroon",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.8
"CM","Cameroon",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,160.2
"CM","Cameroon",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23.4
"CM","Cameroon",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.9
"CM","Cameroon",1998,"1998 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.6
"CF","Central African Republic",1994,"1994-95 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.7
"CF","Central African Republic",1994,"1994-95 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21
"TD","Chad",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,162.3
"TD","Chad",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.7
"TD","Chad",1997,"1996-97 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,162.7
"TD","Chad",1997,"1996-97 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20.5
"KM","Comoros",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.6
"KM","Comoros",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,25.4
"KM","Comoros",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,154.6
"KM","Comoros",1996,"1996 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.4
"CG","Congo (Brazzaville)",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.8
"CG","Congo (Brazzaville)",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.9
"CD","Congo Democratic Republic",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,157.2
"CD","Congo Democratic Republic",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,21.4
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"CI","Cote d'Ivoire",2012,"2011-12 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,23
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,159.5
"CI","Cote d'Ivoire",1998,"1998-99 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.5
"CI","Cote d'Ivoire",1994,"1994 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,158.9
"CI","Cote d'Ivoire",1994,"1994 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,22.1
"ER","Eritrea",2002,"2002 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.7
"ER","Eritrea",2002,"2002 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,20
"ER","Eritrea",1995,"1995 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.1
"ER","Eritrea",1995,"1995 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean","","Total","Total",1,19.5
"ET","Ethiopia",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","Height mean","","Total","Total",1,156.5
