GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,order,Comments
NCD_BMI_MEAN,PUBLISHED,1980,AMR,ARG,AGE20-PLUS,MLE,25.4 [23.9-26.8],25.4,23.9,26.8,41,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,AUT,AGE20-PLUS,MLE,24.8 [23.1-26.4],24.8,23.1,26.4,64,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,BHR,AGE20-PLUS,MLE,23.9 [22.1-25.6],23.9,22.1,25.6,84,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,BLR,AGE20-PLUS,MLE,24.8 [22.3-27.4],24.8,22.3,27.4,104,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,BEN,AGE20-PLUS,MLE,20.8 [18.6-23.0],20.8,18.6,23,126,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,BIH,AGE20-PLUS,MLE,25.1 [23.0-27.2],25.1,23,27.2,147,
NCD_BMI_MEAN,PUBLISHED,1980,WPR,BRN,AGE20-PLUS,MLE,23.3 [20.4-26.2],23.3,20.4,26.2,168,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,BDI,AGE20-PLUS,MLE,21.1 [18.1-24.2],21.1,18.1,24.2,190,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,CAN,AGE20-PLUS,MLE,25.2 [24.6-25.8],25.2,24.6,25.8,210,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,TCD,AGE20-PLUS,MLE,20.2 [17.8-22.5],20.2,17.8,22.5,231,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,CZE,AGE20-PLUS,MLE,26.2 [25.0-27.4],26.2,25,27.4,321,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,DMA,AGE20-PLUS,MLE,22.1 [20.0-24.2],22.1,20,24.2,341,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,ECU,AGE20-PLUS,MLE,23.7 [20.8-26.8],23.7,20.8,26.8,364,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GNQ,AGE20-PLUS,MLE,21.0 [17.5-24.6],21,17.5,24.6,384,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,ETH,AGE20-PLUS,MLE,19.4 [17.1-21.6],19.4,17.1,21.6,405,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,FRA,AGE20-PLUS,MLE,24.7 [23.5-26.0],24.7,23.5,26,427,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,DEU,AGE20-PLUS,MLE,25.4 [24.6-26.2],25.4,24.6,26.2,447,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,GRD,AGE20-PLUS,MLE,23.2 [20.6-25.7],23.2,20.6,25.7,467,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,GNB,AGE20-PLUS,MLE,20.7 [18.0-23.3],20.7,18,23.3,490,
NCD_BMI_MEAN,PUBLISHED,1980,AMR,JAM,AGE20-PLUS,MLE,22.2 [20.4-24.1],22.2,20.4,24.1,580,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,KAZ,AGE20-PLUS,MLE,24.5 [22.8-26.3],24.5,22.8,26.3,602,
NCD_BMI_MEAN,PUBLISHED,1980,EMR,KWT,AGE20-PLUS,MLE,25.5 [24.2-26.8],25.5,24.2,26.8,622,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,LVA,AGE20-PLUS,MLE,25.1 [23.2-26.9],25.1,23.2,26.9,642,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,LBR,AGE20-PLUS,MLE,21.1 [18.4-23.9],21.1,18.4,23.9,665,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,LUX,AGE20-PLUS,MLE,25.0 [23.4-26.5],25,23.4,26.5,686,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,MWI,AGE20-PLUS,MLE,20.7 [18.5-22.8],20.7,18.5,22.8,706,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,MLI,AGE20-PLUS,MLE,20.3 [18.2-22.3],20.3,18.2,22.3,729,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,MRT,AGE20-PLUS,MLE,20.8 [18.5-23.2],20.8,18.5,23.2,749,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,NLD,AGE20-PLUS,MLE,24.0 [22.7-25.4],24,22.7,25.4,839,
NCD_BMI_MEAN,PUBLISHED,1980,AFR,NER,AGE20-PLUS,MLE,20.5 [18.3-22.7],20.5,18.3,22.7,861,
NCD_BMI_MEAN,PUBLISHED,1980,EUR,NOR,AGE20-PLUS,MLE,24.7 [23.3-25.9],24.7,23.3,25.9,881,
