"","CC","Country","Year","Survey","Topic","Table","Indicator","By.Variable","Category","Characteristic","Precision","Value"
"2","BJ","Benin",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.4
"4","BF","Burkina Faso",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21.3
"6","BU","Burundi",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21.3
"8","CM","Cameroon",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.8
"10","CF","Central African Republic",1994,"1994-95 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21
"12","TD","Chad",2004,"2004 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,20.7
"14","KM","Comoros",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.4
"16","CG","Congo (Brazzaville)",2005,"2005 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.9
"18","CD","Congo Democratic Republic",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,21.4
"20","CI","Cote d'Ivoire",2012,"2011-12 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23
"22","ER","Eritrea",2002,"2002 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,20
"24","ET","Ethiopia",2011,"2011 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,20.2
"26","GA","Gabon",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.2
"28","GH","Ghana",2008,"2008 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,23.5
"30","GN","Guinea",2012,"2012 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.3
"32","KE","Kenya",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.6
"34","LS","Lesotho",2009,"2009 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.4
"36","LB","Liberia",2007,"2007 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.3
"38","MD","Madagascar",2008,"2008-09 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,20.1
"40","MW","Malawi",2010,"2010 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.4
"42","ML","Mali",2006,"2006 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,22.1
"44","MR","Mauritania",2000,"2000-01 DHS","Anthropometric indicators for women (mean)","Height, Body Mass Index (BMI) and arm circumference","BMI mean",NA,"Total","Total",1,25.1
