countrycode,region,weight_region,Weight,changed
DZA,AFR,Africa,60.7,
AGO,AFR,Africa,60.7,
BEN,AFR,Africa,60.7,
BWA,AFR,Africa,60.7,
BFA,AFR,Africa,60.7,
BDI,AFR,Africa,54.05405405,
CIV,AFR,Africa,60.7,
CPV,AFR,Africa,60.7,
CMR,AFR,Africa,60.7,
CAF,AFR,Africa,60.7,
TCD,AFR,Africa,60.7,
COM,AFR,Africa,60.7,
COG,AFR,Africa,60.7,
GNQ,AFR,Africa,60.7,
ERI,AFR,Africa,52.08333333,
ETH,AFR,Africa,52.91005291,
GAB,AFR,Africa,60.7,
GMB,AFR,Africa,60.7,
GHA,AFR,Africa,60.7,
GIN,AFR,Africa,60.7,
GNB,AFR,Africa,60.7,
KEN,AFR,Africa,60.7,
LSO,AFR,Africa,60.7,
LBR,AFR,Africa,60.7,
MDG,AFR,Africa,60.7,
MWI,AFR,Africa,60.7,
MLI,AFR,Africa,60.7,
MRT,AFR,Africa,60.7,
MUS,AFR,Africa,60.7,
MOZ,AFR,Africa,60.7,
NAM,AFR,Africa,60.7,
NER,AFR,Africa,60.7,
NGA,AFR,Africa,60.7,
RWA,AFR,Africa,60.7,
STP,AFR,Africa,60.7,
SEN,AFR,Africa,60.7,
SYC,AFR,Europe,70.8,y
SLE,AFR,Africa,60.7,
ZAF,AFR,Europe,70.8,y
SWZ,AFR,Africa,60.7,
TGO,AFR,Africa,60.7,
UGA,AFR,Africa,60.7,
TZA,AFR,Africa,60.7,
ZMB,AFR,Africa,60.7,
ZWE,AFR,Africa,60.7,
ATG,AMR,Latin Am. Caribbean,67.9,
ARG,AMR,Latin Am. Caribbean,72.46376812,
BHS,AMR,Latin Am. Caribbean,67.9,
BRB,AMR,Latin Am. Caribbean,67.9,
BLZ,AMR,Latin Am. Caribbean,67.9,
BOL,AMR,Latin Am. Caribbean,67.9,
BRA,AMR,Latin Am. Caribbean,67.9,
CAN,AMR,Northern Am.,80.7,
CHL,AMR,Latin Am. Caribbean,67.9,
COL,AMR,Latin Am. Caribbean,67.9,
CRI,AMR,Latin Am. Caribbean,67.9,
CUB,AMR,Latin Am. Caribbean,67.9,
DMA,AMR,Latin Am. Caribbean,67.9,
DOM,AMR,Latin Am. Caribbean,67.9,
ECU,AMR,Latin Am. Caribbean,67.9,
SLV,AMR,Latin Am. Caribbean,67.9,
GRD,AMR,Latin Am. Caribbean,67.9,
GTM,AMR,Latin Am. Caribbean,67.9,
GUY,AMR,Latin Am. Caribbean,67.9,
HTI,AMR,Latin Am. Caribbean,67.9,
HND,AMR,Latin Am. Caribbean,67.9,
JAM,AMR,Latin Am. Caribbean,67.9,
MEX,AMR,Latin Am. Caribbean,67.9,
NIC,AMR,Latin Am. Caribbean,67.9,
PAN,AMR,Latin Am. Caribbean,67.9,
PRY,AMR,Latin Am. Caribbean,67.9,
PER,AMR,Latin Am. Caribbean,67.9,
KNA,AMR,Latin Am. Caribbean,67.9,
LCA,AMR,Latin Am. Caribbean,67.9,
VCT,AMR,Latin Am. Caribbean,67.9,
SUR,AMR,Latin Am. Caribbean,67.9,
TTO,AMR,Latin Am. Caribbean,72.46376812,
ARE,AMR,Asia,75.75757576,
USA,AMR,Northern Am.,81.96721311,
URY,AMR,Latin Am. Caribbean,67.9,
VEN,AMR,Latin Am. Caribbean,67.9,
ANT,AMR,Latin Am. Caribbean,67.9,
BMU,AMR,Latin Am. Caribbean,67.9,
AFG,EMR,Asia,57.7,y
BHR,EMR,Europe,70.8,y
DJI,EMR,Africa,60.7,
EGY,EMR,Europe,70.8,y
IRN,EMR,Europe,70.8,y
IRQ,EMR,Europe,70.8,y
JOR,EMR,Europe,70.8,y
KWT,EMR,Asia,77.51937984,
LBN,EMR,Europe,70.8,y
LBY,EMR,Europe,70.8,y
MAR,EMR,Europe,70.8,y
OMN,EMR,Europe,70.8,y
PAK,EMR,Europe,70.8,y
QAT,EMR,Europe,70.8,y
SAU,EMR,Europe,70.8,y
SOM,EMR,Africa,60.7,y
SDN,EMR,Africa,60.7,y
SYR,EMR,Europe,70.8,y
TUN,EMR,Europe,70.8,y
YEM,EMR,Asia,57.7,y
PSE,EMR,Asia,57.7,y
ALB,EUR,Europe,70.8,y
AND,EUR,Europe,70.8,
ARM,EUR,Europe,70.8,y
AUT,EUR,Europe,70.8,
AZE,EUR,Europe,70.8,y
BLR,EUR,Europe,70.8,
BEL,EUR,Europe,70.8,
BIH,EUR,Europe,70.8,
BGR,EUR,Europe,70.8,
HRV,EUR,Europe,76.33587786,
CYP,EUR,Europe,70.8,
CZE,EUR,Europe,70.8,
DNK,EUR,Europe,70.8,
EST,EUR,Europe,70.8,
FIN,EUR,Europe,70.8,
FRA,EUR,Europe,70.8,
GEO,EUR,Europe,70.8,
DEU,EUR,Europe,70.8,
GRC,EUR,Europe,75.18796992,
HUN,EUR,Europe,70.8,
ISL,EUR,Europe,70.8,
IRL,EUR,Europe,70.8,
ISR,EUR,Europe,70.8,
ITA,EUR,Europe,70.8,
KAZ,EUR,Europe,70.8,
KGZ,EUR,Europe,70.8,
LVA,EUR,Europe,70.8,
LTU,EUR,Europe,70.8,
LUX,EUR,Europe,70.8,
MLT,EUR,Europe,70.8,
MCO,EUR,Europe,70.8,
