Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
RL,Land,1,Armenia,5110,Area,6610,Agricultural area,2011,1000 Ha,1698.1,Q,Official data reported on FAO Questionnaires from countries
RL,Land,2,Afghanistan,5110,Area,6610,Agricultural area,2011,1000 Ha,37910,Q,Official data reported on FAO Questionnaires from countries
RL,Land,3,Albania,5110,Area,6610,Agricultural area,2011,1000 Ha,1201,Q,Official data reported on FAO Questionnaires from countries
RL,Land,4,Algeria,5110,Area,6610,Agricultural area,2011,1000 Ha,41388,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,5,American Samoa,5110,Area,6610,Agricultural area,2011,1000 Ha,4.9,Fm,Manual Estimation
RL,Land,6,Andorra,5110,Area,6610,Agricultural area,2011,1000 Ha,20.4,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land,7,Angola,5110,Area,6610,Agricultural area,2011,1000 Ha,58990,Fm,Manual Estimation
RL,Land,8,Antigua and Barbuda,5110,Area,6610,Agricultural area,2011,1000 Ha,9,Fm,Manual Estimation
RL,Land,9,Argentina,5110,Area,6610,Agricultural area,2011,1000 Ha,147548,Fm,Manual Estimation
RL,Land,10,Australia,5110,Area,6610,Agricultural area,2011,1000 Ha,409672.6,Q,Official data reported on FAO Questionnaires from countries
RL,Land,11,Austria,5110,Area,6610,Agricultural area,2011,1000 Ha,3169,Q,Official data reported on FAO Questionnaires from countries
RL,Land,12,Bahamas,5110,Area,6610,Agricultural area,2011,1000 Ha,14,Fm,Manual Estimation
RL,Land,13,Bahrain,5110,Area,6610,Agricultural area,2011,1000 Ha,8.6,Fm,Manual Estimation
RL,Land,14,Barbados,5110,Area,6610,Agricultural area,2011,1000 Ha,14,Fm,Manual Estimation
RL,Land,16,Bangladesh,5110,Area,6610,Agricultural area,2011,1000 Ha,9128,Fm,Manual Estimation
RL,Land,17,Bermuda,5110,Area,6610,Agricultural area,2011,1000 Ha,0.74,Fm,Manual Estimation
RL,Land,18,Bhutan,5110,Area,6610,Agricultural area,2011,1000 Ha,520,Fm,Manual Estimation
RL,Land,19,Bolivia (Plurinational State of),5110,Area,6610,Agricultural area,2011,1000 Ha,37160,Fm,Manual Estimation
RL,Land,20,Botswana,5110,Area,6610,Agricultural area,2011,1000 Ha,25926,Fm,Manual Estimation
RL,Land,21,Brazil,5110,Area,6610,Agricultural area,2011,1000 Ha,275373,Fm,Manual Estimation
RL,Land,22,Aruba,5110,Area,6610,Agricultural area,2011,1000 Ha,2,Fm,Manual Estimation
RL,Land,23,Belize,5110,Area,6610,Agricultural area,2011,1000 Ha,157,Fm,Manual Estimation
RL,Land,25,Solomon Islands,5110,Area,6610,Agricultural area,2011,1000 Ha,107,Fm,Manual Estimation
RL,Land,26,Brunei Darussalam,5110,Area,6610,Agricultural area,2011,1000 Ha,13.4,Fm,Manual Estimation
RL,Land,27,Bulgaria,5110,Area,6610,Agricultural area,2011,1000 Ha,5088,Q,Official data reported on FAO Questionnaires from countries
RL,Land,28,Myanmar,5110,Area,6610,Agricultural area,2011,1000 Ha,12558,Q,Official data reported on FAO Questionnaires from countries
RL,Land,29,Burundi,5110,Area,6610,Agricultural area,2011,1000 Ha,1883,Fm,Manual Estimation
RL,Land,32,Cameroon,5110,Area,6610,Agricultural area,2011,1000 Ha,9750,Fm,Manual Estimation
RL,Land,33,Canada,5110,Area,6610,Agricultural area,2011,1000 Ha,62597,W,Data reported on country official publications or web sites (Official) or trade country files
