Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
RF,Fertilizers,1,Armenia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,12152,Fb,Data obtained as a balance
RF,Fertilizers,2,Afghanistan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,49325,Fb,Data obtained as a balance
RF,Fertilizers,3,Albania,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,36339,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,4,Algeria,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,63282,Fb,Data obtained as a balance
RF,Fertilizers,7,Angola,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,21472,Fb,Data obtained as a balance
RF,Fertilizers,8,Antigua and Barbuda,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,4,Fb,Data obtained as a balance
RF,Fertilizers,9,Argentina,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1001771,Fb,Data obtained as a balance
RF,Fertilizers,10,Australia,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1098900,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,11,Austria,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,86173,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,13,Bahrain,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,535,W,Data reported on country official publications or web sites (Official) or trade country files
RF,Fertilizers,14,Barbados,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,791,Fb,Data obtained as a balance
RF,Fertilizers,16,Bangladesh,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,1284407,Fb,Data obtained as a balance
RF,Fertilizers,18,Bhutan,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,845,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,19,Bolivia (Plurinational State of),5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,20432,Fb,Data obtained as a balance
RF,Fertilizers,20,Botswana,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,8425,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,21,Brazil,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,4418196,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,23,Belize,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,4092,Fb,Data obtained as a balance
RF,Fertilizers,26,Brunei Darussalam,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,398,Qm,Official data from questionnaires and/or national sources and/or COMTRADE (reporters)
RF,Fertilizers,27,Bulgaria,5155,Consumption in nutrients,3102,Nitrogen Fertilizers (N total nutrients),2011,tonnes of nutrients,371015,Fb,Data obtained as a balance
