countrycode,Fertilizer_consumption_kilograms_per_hectare_of_arable_land,fert_qual
AFG,4.25551848,lo
ALB,83.30990415,lo
DZA,12.68941616,lo
AND,,NA
AGO,2.002926829,lo
ATG,3,lo
ARG,40.42174275,lo
ARM,25.91304348,lo
AUS,46.31648186,lo
AUT,108.1542398,hi
AZE,9.954885622,lo
BHS,,NA
BHR,1953.676471,hi
BGD,184.3689446,hi
BRB,147.3636364,hi
BLR,270.4607046,hi
BEL,,NA
BLZ,49.42666667,lo
BEN,0.46496063,lo
BTN,10.553814,lo
BOL,9.025360384,lo
BIH,21.89541833,lo
BWA,,NA
BRA,142.4850045,hi
BRN,575.3333333,hi
BGR,97.14483192,hi
BFA,9.4285,lo
BDI,3.304347826,lo
CIV,32.2037931,lo
CPV,,NA
KHM,11.512,lo
CMR,4.958709677,lo
CAN,66.92822084,lo
CAF,,NA
TCD,,NA
CHL,543.3162864,hi
CHN,548.2915034,hi
COL,578.5714286,hi
COM,,NA
COG,0.552,lo
COK,,NA
CRI,490.592,hi
HRV,223.5194604,hi
CUB,29.55126761,lo
CYP,203.6540804,hi
CZE,95.84578997,hi
PRK,,NA
COD,0.672205882,lo
DNK,114.1106981,hi
DJI,,NA
DMA,25,lo
DOM,108.24,hi
ECU,252.070971,hi
EGY,605.0591716,hi
SLV,182.241749,hi
GNQ,,NA
ERI,0.386956522,lo
EST,68.38914729,lo
ETH,22.81352165,lo
FJI,16.09785203,lo
FIN,124.1788726,hi
FRA,149.9722373,hi
GAB,3.16,lo
GMB,7.3,lo
GEO,33.77509069,lo
DEU,211.5968259,hi
GHA,17.85723404,lo
GRC,153.7344,hi
GRD,,NA
GTM,150.8253333,hi
GIN,1.065614035,lo
GNB,,NA
GUY,39.31904762,lo
HTI,,NA
HND,93.16666667,hi
HUN,78.34540073,lo
ISL,143.3902439,hi
IND,178.526684,hi
IDN,181.5166525,hi
IRN,52.04547286,lo
IRQ,34.29,lo
IRL,462.4411474,hi
ISR,200.3305785,hi
ITA,122.8331675,hi
JAM,79.9,lo
JPN,261.444652,hi
JOR,128.6486486,hi
KAZ,1.602713589,lo
KEN,30.34709091,lo
KIR,,NA
KWT,803.6363636,hi
KGZ,22.65945777,lo
LAO,,NA
LVA,77.64791134,lo
LBN,296.7368421,hi
LSO,,NA
LBR,,NA
LBY,45.33028571,lo
LTU,95.92319263,hi
LUX,248.7328491,hi
MDG,2.416285714,lo
MWI,32.99722222,lo
MYS,1096.46,hi
MDV,3.666666667,lo
MLI,19.60038333,lo
MLT,54.77777778,lo
MHL,0.5,lo
MRT,,NA
MUS,174.15,hi
MEX,61.72114435,lo
FSM,0.095238095,lo
MCO,,NA
MNG,18.00162602,lo
MNE,14.35465116,lo
MAR,39.08462757,lo
MOZ,8.909038462,lo
MMR,6.247803163,lo
NAM,4.43375,lo
NRU,,NA
NPL,23.21783439,lo
NLD,283.2436261,hi
NZL,1272.224449,hi
NIC,27.99,lo
NER,0.501338688,lo
NGA,5.680888889,lo
NIU,,NA
NOR,169.8280872,hi
OMN,121.3043478,hi
PAK,217.1438583,hi
PLW,,NA
PAN,67.17037037,lo
PNG,109.4833333,hi
PRY,87.25230769,lo
PER,100.3008219,hi
PHL,149.0187037,hi
POL,178.9049625,hi
PRT,148.6733977,hi
QAT,6105.714286,hi
KOR,336.0537492,hi
MDA,11.0865968,lo
ROM,52.54624973,lo
RUS,15.77391667,lo
RWA,0.07704918,lo
KNA,22.88888889,lo
LCA,,NA
VCT,,NA
WSM,2,lo
SMR,,NA
STP,,NA
SAU,94.11254019,hi
SEN,7.583896104,lo
SRB,112.6377164,hi
SYC,29,lo
SLE,,NA
SGP,3131.25,hi
SVK,85.06393678,lo
SVN,287.5396359,hi
SLB,,NA
SOM,,NA
ZAF,53.21056411,lo
ESP,130.6752874,hi
LKA,230.7541667,hi
SDN,10.79170644,lo
SUR,211.9272727,hi
SWZ,,NA
SWE,82.47619048,lo
CHE,218.5262898,hi
SYR,33.01685513,lo
TJK,54.2193087,lo
THA,162.1557107,hi
MKD,67.11111111,lo
TLS,,NA
TGO,0.429718876,lo
TON,254.125,hi
TTO,659.68,hi
TUN,40.39567836,lo
TUR,90.82758137,hi
TKM,,NA
TUV,,NA
UGA,1.719407407,lo
UKR,32.65818887,lo
ARE,674.9011858,hi
GBR,251.9262982,hi
TZA,6.573706897,lo
USA,120.4819218,hi
URY,174.8542773,hi
UZB,205.935814,hi
VUT,,NA
VEN,177.2538462,hi
VNM,310.4809694,hi
YEM,19.45778466,lo
ZMB,26.80810811,lo
ZWE,25.85317073,lo
,,NA
ANT,,NA
NCL,177.7142857,hi
PSE,,NA
BMU,,NA
PYF,326.4,hi
,,NA
ARB,91.39985532,hi
ASM,,NA
CHI,,NA
CSS,110.3264746,hi
CUW,,NA
CYM,,NA
EAP,380.9296733,hi
EAS,312.6484193,hi
ECA,66.19596629,lo
ECS,73.13778495,lo
EMU,148.7851727,hi
EUU,144.3024828,hi
FRO,,NA
GRL,,NA
GUM,,NA
HIC,96.34292562,hi
HKG,,NA
HPC,12.12533845,lo
IMY,,NA
INX,,NA
KSV,,NA
LAC,122.0237849,hi
LCN,124.5821999,hi
LDC,22.69097658,lo
LIC,25.20806625,lo
LIE,,NA
LMC,127.4970807,hi
LMY,153.1521848,hi
MAC,,NA
MAF,,NA
MEA,96.91630942,hi
MIC,175.7402005,hi
MNA,88.96690779,hi
MNP,,NA
NAC,115.5712215,hi
NOC,,NA
OEC,123.281046,hi
OED,118.3114615,hi
OSS,,NA
PRI,,NA
PSS,,NA
SAS,174.5238373,hi
SSA,13.21909876,lo
SSD,,NA
SSF,13.21909876,lo
SST,,NA
SXM,,NA
TCA,,NA
uppermiddleincome,218.5711701,hi
VIR,,NA
world,133.4581399,hi
