rowsum.long.value..long.Location.,country
28397.812,Afghanistan
1031083.666,AFRICA
3150.143,Albania
37062.82,Algeria
19549.124,Angola
87.233,Antigua and Barbuda
40374.224,Argentina
2963.496,Armenia
101.597,Aruba
4165440.162,ASIA
22404.488,Australia
26772.624,Australia/New Zealand
8401.924,Austria
9094.718,Azerbaijan
360.498,Bahamas
1251.513,Bahrain
151125.475,Bangladesh
280.396,Barbados
9491.07,Belarus
10941.288,Belgium
308.595,Belize
9509.798,Benin
716.939,Bhutan
10156.601,Bolivia (Plurinational State of)
3845.929,Bosnia and Herzegovina
1969.341,Botswana
195210.154,Brazil
400.569,Brunei Darussalam
7389.175,Bulgaria
15540.284,Burkina Faso
9232.753,Burundi
14364.931,Cambodia
20624.343,Cameroon
34126.24,Canada
487.601,Cape Verde
41624.752,Caribbean
4349.921,Central African Republic
160545.996,Central America
61693.941,Central Asia
11720.781,Chad
159.518,Channel Islands
17150.76,Chile
1359821.465,China
7049.514,"China, Hong Kong SAR"
534.626,"China, Macao SAR"
46444.798,Colombia
683.081,Comoros
4111.715,Congo
4669.685,Costa Rica
18976.588,Côte d'Ivoire
4338.027,Croatia
11281.768,Cuba
147.56,Curaçao
1103.685,Cyprus
10553.701,Czech Republic
24500.52,Dem. People's Republic of Korea
62191.161,Democratic Republic of the Congo
5550.959,Denmark
834.036,Djibouti
10016.797,Dominican Republic
342595.134,Eastern Africa
1593571.474,Eastern Asia
296183.403,Eastern Europe
15001.072,Ecuador
78075.705,Egypt
6218.195,El Salvador
696.167,Equatorial Guinea
5741.159,Eritrea
1298.533,Estonia
87095.281,Ethiopia
740308.364,EUROPE
860.559,Fiji
5367.693,Finland
63230.866,France
231.169,French Guiana
268.065,French Polynesia
1556.222,Gabon
1680.64,Gambia
4388.674,Georgia
83017.404,Germany
24262.901,Ghana
11109.999,Greece
104.677,Grenada
458.57,Guadeloupe
159.44,Guam
14341.576,Guatemala
10876.033,Guinea
1586.624,Guinea-Bissau
786.126,Guyana
9896.4,Haiti
7621.204,Honduras
10014.633,Hungary
318.042,Iceland
1205624.648,India
240676.485,Indonesia
74462.314,Iran (Islamic Republic of)
30962.38,Iraq
4467.561,Ireland
7420.368,Israel
60508.978,Italy
2741.485,Jamaica
127352.833,Japan
6454.554,Jordan
15921.127,Kazakhstan
40909.194,Kenya
97.743,Kiribati
2991.58,Kuwait
5334.223,Kyrgyzstan
6395.713,Lao People's Democratic Republic
596191.445,LATIN AMERICA AND THE CARIBBEAN
2090.519,Latvia
838806.838,Least developed countries
4341.092,Lebanon
2008.921,Lesotho
5675248.761,Less developed regions
4284697.309,"Less developed regions, excluding China"
4836441.923,"Less developed regions, excluding least developed countries"
3957.99,Liberia
6040.612,Libya
3068.457,Lithuania
507.885,Luxembourg
21079.532,Madagascar
15013.694,Malawi
28275.835,Malaysia
325.694,Maldives
13985.961,Mali
424.738,Malta
400.81,Martinique
3609.42,Mauritania
1230.659,Mauritius
204.353,Mayotte
8728.629,Melanesia
117886.404,Mexico
497.585,Micronesia
103.619,Micronesia (Fed. States of)
124977.662,Middle Africa
2712.738,Mongolia
620.078,Montenegro
1240934.721,More developed regions
31642.36,Morocco
23967.265,Mozambique
51931.231,Myanmar
2178.967,Namibia
26846.016,Nepal
16615.243,Netherlands
246.379,New Caledonia
4368.136,New Zealand
5822.209,Nicaragua
15893.746,Niger
159707.78,Nigeria
199619.977,Northern Africa
346500.9,NORTHERN AMERICA
98794.753,Northern Europe
4891.251,Norway
36658.945,OCEANIA
2802.768,Oman
23145.847,Other non-specified areas
173149.306,Pakistan
3678.128,Panama
6858.945,Papua New Guinea
6459.721,Paraguay
29262.83,Peru
93444.322,Philippines
38198.754,Poland
660.107,Polynesia
10589.792,Portugal
3709.671,Puerto Rico
1749.713,Qatar
48453.931,Republic of Korea
3573.024,Republic of Moldova
844.579,Réunion
21861.476,Romania
143617.913,Russian Federation
10836.732,Rwanda
177.397,Saint Lucia
109.316,Saint Vincent and the Grenadines
186.029,Samoa
178.228,Sao Tome and Principe
27258.387,Saudi Arabia
12950.564,Senegal
9647.109,Serbia
91.208,Seychelles
5751.976,Sierra Leone
5078.969,Singapore
5433.437,Slovakia
2054.232,Slovenia
526.447,Solomon Islands
9636.173,Somalia
1743100.924,South-Central Asia
597097.218,South-Eastern Asia
51452.352,South Africa
394020.697,South America
9940.929,South Sudan
58802.729,Southern Africa
1681406.983,Southern Asia
154712.099,Southern Europe
46182.038,Spain
20758.779,Sri Lanka
4012.88,State of Palestine
831463.689,Sub-Saharan Africa
35652.002,Sudan
524.96,Suriname
1193.148,Swaziland
9382.297,Sweden
7830.534,Switzerland
21532.647,Syrian Arab Republic
7627.326,Tajikistan
2102.216,TFYR Macedonia
66402.316,Thailand
1079.45,Timor-Leste
6306.014,Togo
104.098,Tonga
1328.095,Trinidad and Tobago
10631.83,Tunisia
72137.546,Turkey
5041.995,Turkmenistan
33987.213,Uganda
46050.22,Ukraine
8441.537,United Arab Emirates
62066.35,United Kingdom
44973.33,United Republic of Tanzania
312247.116,United States of America
106.382,United States Virgin Islands
3371.982,Uruguay
27769.27,Uzbekistan
236.299,Vanuatu
29043.283,Venezuela (Bolivarian Republic of)
89047.397,Viet Nam
305088.164,Western Africa
231670.546,Western Asia
190618.109,Western Europe
514.648,Western Sahara
6916183.482,WORLD
22763.008,Yemen
13216.985,Zambia
13076.978,Zimbabwe
