"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_amb_SOFI_EAR2","Def_CO2_HHS_EAR2","Def_CO2_SOFI_EAR2","Def_CO2u_HHS_EAR2","Def_CO2u_SOFI_EAR2","Def_CO2l_HHS_EAR2","Def_CO2l_SOFI_EAR2","Difference_HHS2","Difference_SOFI2","DifferenceCIu_HHS2","DifferenceCIu_SOFI2","DifferenceCIl_HHS2","DifferenceCIl_SOFI2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficient_SOFI2","People_made_deficientCIu_HHS2","People_made_deficientCIu_SOFI2","People_made_deficientCIl_HHS2","People_made_deficientCIl_SOFI2"
"1","ABW",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2347083710066,40.1651039110387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG",122,"Afghanistan",0.56191441287324,NA,3.77395172902699,NA,3.70139195793992,3.73974528797892,3.6615087802267,NA,NA,NA,33.0343683587628,31.6995833126473,0.285936089531867,NA,0.331357850177012,NA,0.30698258081292,NA,0.357484977380766,NA,0.0454217606451446,NA,0.021046491281053,NA,0.0715488878488986,NA,29105000,"Afghanistan",8322169.88582499,1322000.34357693,NA,612558.128735048,NA,2082430.38084219,NA
"3","AFRICA",123,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971211000,"Africa",NA,NA,NA,NA,NA,NA,NA
"4","AGO",124,"Angola",0.646631620863716,0.5189060482667,3.72275940617391,3.79719388926044,3.67711979913873,3.70173101900403,3.65188755072292,3.75155428222526,3.77616550209057,3.72632203380946,32.5336822349186,31.983897720789,0.345219660455543,0.261173107280838,0.371577415881752,0.290549728661311,0.357279899609855,0.274516922917265,0.386421801426565,0.307428137058102,0.0263577554262098,0.0293766213804728,0.0120602391543125,0.0133438156364276,0.041202140971022,0.0462550297772639,20180000,"Angola",6966532.74799285,531899.504500914,592820.21945794,243375.626134026,269278.199543109,831459.204795224,933426.500905186
"5","ALB",125,"Albania",0.599135713292891,0.500758143565517,4.02521081791948,4.07931326021737,3.957676028564,3.9847607808614,3.92983722170001,4.0117784708619,4.03886322315929,3.98393966399791,37.0197591543786,41.0264806333717,0.301856129249665,0.232974662659928,0.342243030096546,0.276182328916318,0.325794600845079,0.258392889886801,0.359466855608812,0.295072071552557,0.0403869008468808,0.0432076662563902,0.0239384715954137,0.0254182272268735,0.0576107263591465,0.0620974088926289,3154000,"Albania",952054.231653444,127380.285271062,136276.979372655,75501.9394119349,80169.0886735591,181704.230936748,195855.227647351
"6","Americas",126,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947289000,"Americas",NA,NA,NA,NA,NA,NA,NA
"7","AND",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANR",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ANT",129,NA,NA,0.457657321783676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ARB",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ARE",131,"United Arab Emirates",NA,0.441298172206176,NA,4.27207581407077,NA,NA,NA,4.22302365209533,4.24413694534622,4.20145495534322,38.4909333505061,45.785063445535,NA,0.154944781540304,NA,0.18291829191066,NA,0.170512193228151,NA,0.196158233777084,NA,0.0279735103703555,NA,0.0155674116878465,NA,0.0412134522367801,8925000,"United Arab Emirates",NA,NA,249663.580055423,NA,138939.14931403,NA,367830.061213262
"12","ARG",132,"Argentina",0.657608912161723,0.435653040426273,4.12758068117642,4.24890863603736,4.09677194893232,4.11233429403232,4.08096358355112,4.21809990379326,4.23366224889326,4.20229153841206,36.3775127216012,40.7771334152398,0.26178399707001,0.107242789969313,0.277258369828674,0.120878420562569,0.269386159497455,0.113845381597004,0.285368527039055,0.128330117100173,0.0154743727586639,0.0136356305932557,0.00760216242744433,0.00660259162769078,0.0235845299690448,0.0210873271308593,40729000,"Argentina",10662200.4166644,630255.728087621,555365.598432713,309628.47350738,268916.954404218,960574.321109226,858865.74671277
"13","ARM",133,"Armenia",0.581073022504838,0.434702311372534,3.99006015461822,4.06440003360336,3.91423073487219,3.93999100917552,3.88778928284833,3.98857061385733,4.01433088816066,3.96212916183347,37.2200810444505,40.0272203960811,0.302526622051725,0.194263442438687,0.349508230186891,0.245772973552881,0.333241190278794,0.22749808807885,0.366497605446631,0.26532126369091,0.0469816081351664,0.0515095311141941,0.0307145682270694,0.033234645640163,0.0639709833949063,0.0710578212522226,2964000,"Armenia",896688.907761312,139253.486512633,152674.250222471,91037.9802250338,98507.4896774433,189609.994782502,210615.382191588
"14","ASIA",134,"Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4198188000,"Asia",NA,NA,NA,NA,NA,NA,NA
"15","ASM",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ATG",136,"Antigua and Barbuda",NA,0.462057544319324,NA,4.12735791746606,NA,NA,NA,4.09852468238277,4.10862102647233,4.088325361557,36.2870589577855,38.9263483419715,NA,0.156762270186153,NA,0.172214029415671,NA,0.166696280820893,NA,0.177904994442081,NA,0.0154517592295177,NA,0.00993401063473998,NA,0.0211427242559276,88000,"Antigua and Barbuda",NA,NA,1359.75481219756,NA,874.192935857118,NA,1860.55973452163
"17","AUS",137,"Australia",0.603009564895096,0.428936867281207,4.18763758478954,4.27745443441051,4.1559735406118,4.16756539896859,4.14424573363758,4.24579039023278,4.25738224858957,4.23406258325856,37.4630554169977,44.8214974398638,0.261612924725396,0.134180509760294,0.278981189249097,0.150796096955793,0.272558242020541,0.144561008925765,0.285553487207965,0.157283935188454,0.0173682645237013,0.0166155871954996,0.0109453172951454,0.0103804991654719,0.0239405624825691,0.0231034254281606,22741000,"Australia",5949339.52118022,394971.703533492,377855.068412856,248907.460608902,236062.931521996,544432.331416105,525394.997661801
"18","Australia and New Zealand",138,"Australia & New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27155000,"Australia & New Zealand",NA,NA,NA,NA,NA,NA,NA
"19","AUT",139,"Austria",0.569184079854203,0.427965586347602,4.20746259408728,4.2778705809181,4.1669231142494,4.18107937344883,4.15256357423606,4.23733110108022,4.25148736027965,4.22297156106688,38.2697865459696,44.0235933787855,0.228829603746771,0.124598844944502,0.25095645549361,0.145124786284917,0.243103548945958,0.13771295052294,0.259057218975886,0.152912617347727,0.0221268517468395,0.0205259413404149,0.0142739451991869,0.0131141055784376,0.0302276152291155,0.0283137724032252,8433000,"Austria",1929720.04839652,186595.740781097,173095.263323719,120372.179864743,110591.252342965,254909.479227131,238770.042676398
"20","AZE",140,"Azerbaijan",0.594599398816092,0.449582232845265,4.08590565450509,4.16161778499625,4.01406663635832,4.04904223713372,3.97782326809005,4.08977876684948,4.12475436762488,4.05353539858121,36.9473218943557,40.4995187980969,0.258865090762672,0.152941021717697,0.299434019196472,0.193763628531671,0.279323902455824,0.173120342707871,0.320938958366554,0.216668326252489,0.0405689284337994,0.0408226068139736,0.0204588116931522,0.0201793209901737,0.0620738676038812,0.0637273045347917,9202000,"Azerbaijan",2382076.56519811,373315.279447822,375649.627902185,188261.985200386,185690.111751578,571203.729690915,586418.656329153
"21","BDI",141,"Burundi",0.592114212343904,0.505388080453532,3.56474812045852,3.61233918475608,3.50665830299967,3.54692255245578,3.46470458059262,3.55424936729723,3.59451361675335,3.51229564489018,33.4911427919447,31.1261513403159,0.415281869211949,0.365097798622432,0.453876658829416,0.409075280032685,0.427056284281721,0.378434743597654,0.482046185960987,0.441600953799293,0.0385947896174677,0.0439774814102529,0.0117744150697723,0.0133369449752224,0.0667643167490383,0.0765031551768613,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","BEL",142,"Belgium",0.590423760697425,0.427965586347602,4.12976498460613,4.21248782165525,4.08347218000223,4.10146687420791,4.06514773393208,4.16619501705136,4.18418971125704,4.1478705709812,37.81482067211,41.3798994580811,0.245322234098892,0.126263397904853,0.270640146416669,0.150086122610991,0.260645811040133,0.140492079087143,0.281010587432652,0.160294916948499,0.0253179123177772,0.0238227247061376,0.0153235769412408,0.0142286811822901,0.0356883533337602,0.0340315190436453,11007000,"Belgium",2700261.8307265,278674.260881774,262216.730840456,168666.611392237,156615.093773468,392821.705144698,374584.930113404
"23","BEN",143,"Benin",0.622799063937535,0.501534271825393,3.81339384821174,3.88156487232476,3.76877430082538,3.79152879563926,3.7454899591873,3.8369453249384,3.85969981975228,3.81366098330032,33.3227411782347,32.7172985894436,0.300617876554415,0.216252198799198,0.326001731796373,0.243230944611171,0.3129461599581,0.229250633620284,0.339585700972499,0.258000842091782,0.0253838552419577,0.0269787458119725,0.012328283403685,0.0129984348210852,0.0389678244180841,0.0417486432925835,9780000,"Benin",2940042.83270218,248254.104266347,263852.134041091,120570.611688039,127124.692550214,381105.322808862,408301.731401467
"24","BFA",144,"Burkina Faso",0.629643473548883,0.577590689277607,4.10583964131282,4.13725959103408,4.08688863487774,4.11347750534406,4.0595734402826,4.118308584599,4.14489745506532,4.09099339000386,32.9993142667855,31.5762479766199,0.149685118792648,0.117868646634202,0.156802411946118,0.124476040384678,0.146878529257934,0.115277091797873,0.167446557676541,0.134448370894797,0.00711729315347082,0.00660739375047595,-0.00280658953471355,-0.00259155483632972,0.0177614388838939,0.0165797242605952,15995000,"Burkina Faso",2394213.4750884,113841.103989766,105685.263038863,-44891.3996077432,-41451.9196070939,284094.214947884,265192.68954822
"25","BGD",145,"Bangladesh",0.585651783761064,0.482387566298118,3.74052899951689,3.79567412336864,3.67377873464877,3.69809631047709,3.64885504448285,3.72892385850052,3.75324143432884,3.7040001683346,35.9582392695805,31.3774077368426,0.307567366124882,0.234318226320049,0.348718880614219,0.278828682898181,0.33348733949368,0.262148565457568,0.364587057432422,0.296443427025507,0.0411515144893367,0.0445104565781314,0.0259199733687978,0.0278303391375189,0.0570196913075398,0.0621252007054582,152862000,"Bangladesh",47015362.7205817,6290502.80786898,6803957.41344632,3962178.96910116,4254201.30123941,8716144.05265314,9496582.43023774
"26","BGR",146,"Bulgaria",0.563930257725506,0.456770035259898,3.99987441557049,4.05456365080401,3.95016690967394,3.97560634008332,3.92406338368302,4.00485614490746,4.03029557531684,3.97875261891653,38.5067673144053,43.3454214131376,0.34125300340152,0.266070814430639,0.374142676152408,0.302956465306863,0.357178047386198,0.283792978380992,0.391806975999789,0.323200337341295,0.0328896727508879,0.0368856508762241,0.0159250439846775,0.0177221639503535,0.0505539725982686,0.0571295229106561,7333000,"Bulgaria",2502408.27394335,241179.970282261,270482.477875351,116778.34753964,129956.628247942,370712.281063104,418930.791503842
"27","BHR",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1720602640666,43.0890646579483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BHS",148,"Bahamas",NA,0.438488184159075,NA,4.04699878256797,NA,NA,NA,4.00961797863254,4.01700244039333,4.00217858067048,37.1235754519644,41.643474591488,NA,0.234260878222061,NA,0.261204290151548,NA,0.255758374856198,NA,0.266750356275965,NA,0.0269434119294871,NA,0.0214974966341372,NA,0.032489478053904,366000,"Bahamas",NA,NA,9861.28876619227,NA,7868.08376809421,NA,11891.1489677288
"29","BIH",149,"Bosnia and Herzegovina",0.608851171562302,0.439427616294098,4.07733000248492,4.16613156206036,4.0118246401699,4.04346430748162,3.97915110398183,4.10062619974534,4.13226586705706,4.06795266355727,37.935088916624,42.4123901980569,0.293970283215318,0.170343176924095,0.332059132013283,0.210773504098948,0.313412495496735,0.190585087805399,0.351761128649507,0.232882948912352,0.0380888487979653,0.0404303271748532,0.0194422122814166,0.0202419108813036,0.0577908454341888,0.0625397719882568,3839000,"Bosnia and Herzegovina",1128551.91726361,146223.090535389,155212.026024262,74638.6529483582,77708.6958733244,221859.055621851,240090.184662918
