"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"1","ABW",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.926031278255,30.123827933279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG",122,"Afghanistan",0.56191441287324,NA,3.77395172902699,NA,3.70139195793992,3.73974528797892,3.6615087802267,NA,NA,NA,24.7757762690721,23.7746874844855,0.140681131535968,0.171530469228875,0.154722007777887,0.190200608747203,0.0308493376929075,0.0140408762419192,0.0495194772112351,29105000,"Afghanistan",4094524.33335434,897869.973552074,408659.703021059,1441264.384233
"3","AFRICA",123,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971211000,"Africa",NA,NA,NA,NA
"4","AGO",124,"Angola",0.646631620863716,0.5189060482667,3.72275940617391,3.79719388926044,3.67711979913873,3.70173101900403,3.65188755072292,3.75155428222526,3.77616550209057,3.72632203380946,24.400261676189,23.9879232905918,0.199571653080245,0.219887948673373,0.208788416193572,0.231611324974799,0.0203162955931283,0.00921676311332681,0.0320396718945543,20180000,"Angola",4027355.95915934,409982.84506933,185994.279626935,646560.578832105
"5","ALB",125,"Albania",0.599135713292891,0.500758143565517,4.02521081791948,4.07931326021737,3.957676028564,3.9847607808614,3.92983722170001,4.0117784708619,4.03886322315929,3.98393966399791,27.7648193657839,30.7698604750288,0.158841326145583,0.187671126620146,0.175741314450322,0.200441294224525,0.0288298004745632,0.0168999883047383,0.0415999680789413,3154000,"Albania",500985.542663169,90929.1906967724,53302.5631131447,131206.299320981
"6","Americas",126,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947289000,"Americas",NA,NA,NA,NA
"7","AND",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANR",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ANT",129,NA,NA,0.457657321783676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ARB",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
