"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","BFP","EAR_1","EAR_2","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"1","ABW",121,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04384327276626,37.7433111688962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG",122,"Afghanistan",0.56191441287324,NA,3.70752201398274,NA,3.62487728375544,3.66621818380149,3.58175333602124,NA,NA,NA,3.03687011428068,33.3721051355292,29.000449975133,32.0373200894137,0.334247066589465,0.389302064169916,0.361403398372838,0.419022861085533,0.0550549975804512,0.0271563317833737,0.084775794496068,29105000,"Afghanistan",1602375.70457903,790385.036555093,2467399.49880806
"3","AFRICA",123,"Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971211000,"Africa",NA,NA,NA
"4","AGO",124,"Angola",0.646631620863716,0.5189060482667,3.49361997305518,3.56805445614172,3.42640196268759,3.45791660931704,3.3938617346302,3.50083644577412,3.53235109240358,3.46829621771674,3.63642093496105,33.8141425112876,29.627937062197,33.264357997158,0.506703832936585,0.548057777183499,0.528706681016282,0.567918973940062,0.0413539442469135,0.0220028480796962,0.0612151410034762,20180000,"Angola",834522.594902715,444017.47424827,1235321.54545015
"5","AIA",125,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ALA",126,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ALB",127,"Albania",0.599135713292891,0.500758143565517,3.90395341251062,3.95805585480852,3.81237698222248,3.84363183900574,3.78011365502879,3.86647942452038,3.89773428130363,3.83421609732669,0.473850267394069,37.0197591543786,40.5526303659777,41.0264806333717,0.37574233429992,0.43493061402554,0.414493354931448,0.456210644585926,0.0591882797256203,0.0387510206315285,0.0804683102860058,3154000,"Albania",186679.834254606,122220.719071841,253797.050642062
"8","Americas",128,"Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947289000,"Americas",NA,NA,NA
"9","AND",129,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ANR",130,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
