YEAR,COUNTRY,SEX,Numeric
1982,AFG,MLE,21.4
1984,AFG,MLE,21.4
1991,AFG,MLE,21.2
1993,AFG,MLE,21
1998,AFG,MLE,20.8
2000,AFG,MLE,20.7
2007,AFG,MLE,20.7
1981,ALB,MLE,25
1988,ALB,MLE,25.1
1990,ALB,MLE,25.2
1995,ALB,MLE,25.2
1997,ALB,MLE,25.3
2004,ALB,MLE,26
2006,ALB,MLE,26.3
1985,DZA,MLE,22.6
1987,DZA,MLE,22.8
1992,DZA,MLE,23.1
1994,DZA,MLE,23.3
2001,DZA,MLE,23.9
2003,DZA,MLE,24.1
1982,AND,MLE,25.7
1984,AND,MLE,25.8
1989,AND,MLE,26
1991,AND,MLE,26.2
1998,AND,MLE,26.6
2000,AND,MLE,26.8
2007,AND,MLE,27.5
1981,AGO,MLE,20.9
1986,AGO,MLE,20.9
1988,AGO,MLE,21
1995,AGO,MLE,21.1
1997,AGO,MLE,21.2
2004,AGO,MLE,21.7
2006,AGO,MLE,21.9
1983,ATG,MLE,23.5
1985,ATG,MLE,23.7
1992,ATG,MLE,24.4
1994,ATG,MLE,24.6
2001,ATG,MLE,25.1
2003,ATG,MLE,25.3
1980,ARG,MLE,25.4
1982,ARG,MLE,25.5
1984,ARG,MLE,25.6
1989,ARG,MLE,25.9
1991,ARG,MLE,26
1998,ARG,MLE,26.7
2000,ARG,MLE,26.9
2005,ARG,MLE,27.2
2007,ARG,MLE,27.4
1981,ARM,MLE,23.8
1986,ARM,MLE,24
1988,ARM,MLE,24.1
1995,ARM,MLE,24
1997,ARM,MLE,24
2002,ARM,MLE,24.4
2004,ARM,MLE,24.6
2006,ARM,MLE,25
1983,AUS,MLE,25.1
1985,AUS,MLE,25.3
1992,AUS,MLE,26
1994,AUS,MLE,26.2
2001,AUS,MLE,26.8
2003,AUS,MLE,27
1980,AUT,MLE,24.8
1982,AUT,MLE,24.9
1989,AUT,MLE,25.2
1991,AUT,MLE,25.3
1998,AUT,MLE,25.7
2000,AUT,MLE,25.8
2005,AUT,MLE,26.2
2007,AUT,MLE,26.4
1986,AZE,MLE,24.7
1988,AZE,MLE,24.7
1995,AZE,MLE,24.6
1997,AZE,MLE,24.5
2002,AZE,MLE,24.7
2004,AZE,MLE,24.9
1983,BHS,MLE,24.5
1985,BHS,MLE,24.7
1992,BHS,MLE,25.5
1994,BHS,MLE,25.6
1999,BHS,MLE,26.1
2001,BHS,MLE,26.4
1980,BHR,MLE,23.9
1982,BHR,MLE,24.2
1989,BHR,MLE,25
1991,BHR,MLE,25.2
1996,BHR,MLE,26
1998,BHR,MLE,26.3
2005,BHR,MLE,27.4
2007,BHR,MLE,27.7
1986,BGD,MLE,20.3
1988,BGD,MLE,20.2
1993,BGD,MLE,20.1
1995,BGD,MLE,20.1
2002,BGD,MLE,20.2
2004,BGD,MLE,20.3
1983,BRB,MLE,24.5
1985,BRB,MLE,24.6
1990,BRB,MLE,25
1992,BRB,MLE,25.1
1999,BRB,MLE,25.6
2001,BRB,MLE,25.8
1980,BLR,MLE,24.8
1982,BLR,MLE,24.9
1987,BLR,MLE,24.9
1989,BLR,MLE,24.9
1991,BLR,MLE,25
1996,BLR,MLE,25.1
1998,BLR,MLE,25.2
2005,BLR,MLE,25.8
2007,BLR,MLE,26.1
1984,BEL,MLE,25.2
1986,BEL,MLE,25.3
1988,BEL,MLE,25.4
1993,BEL,MLE,25.7
1995,BEL,MLE,25.8
2002,BEL,MLE,26.3
2004,BEL,MLE,26.5
1983,BLZ,MLE,24.6
1985,BLZ,MLE,24.7
1990,BLZ,MLE,25
1992,BLZ,MLE,25.2
1999,BLZ,MLE,25.9
2001,BLZ,MLE,26.1
1980,BEN,MLE,20.8
1982,BEN,MLE,20.9
1987,BEN,MLE,21.1
1989,BEN,MLE,21.2
1996,BEN,MLE,21.5
1998,BEN,MLE,21.7
2005,BEN,MLE,22.2
2007,BEN,MLE,22.3
1984,BTN,MLE,21.6
1986,BTN,MLE,21.6
1993,BTN,MLE,21.8
1995,BTN,MLE,21.9
2002,BTN,MLE,22.3
2004,BTN,MLE,22.5
1981,BOL,MLE,23
1983,BOL,MLE,23
1990,BOL,MLE,23.3
1992,BOL,MLE,23.4
1999,BOL,MLE,23.9
2001,BOL,MLE,24
2006,BOL,MLE,24.4
1980,BIH,MLE,25.1
1987,BIH,MLE,25.3
1989,BIH,MLE,25.3
1996,BIH,MLE,25
1998,BIH,MLE,25.3
2003,BIH,MLE,26
2005,BIH,MLE,26.3
1984,BWA,MLE,19.7
1986,BWA,MLE,19.8
1993,BWA,MLE,20.4
1995,BWA,MLE,20.6
2000,BWA,MLE,21
2002,BWA,MLE,21.3
1981,BRA,MLE,22.7
1983,BRA,MLE,22.9
1990,BRA,MLE,23.6
1992,BRA,MLE,23.8
1997,BRA,MLE,24.4
1999,BRA,MLE,24.6
2001,BRA,MLE,24.8
2006,BRA,MLE,25.5
1980,BRN,MLE,23.3
1987,BRN,MLE,23.5
