GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,CountryYear,Comments
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1980,1980,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.5 [113.6-133.8],123.5,113.6,133.8,Afghanistan1980,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.5 [114.2-133.1],123.5,114.2,133.1,Afghanistan1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1982,1982,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.6 [114.8-132.4],123.6,114.8,132.4,Afghanistan1982,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.6 [115.3-131.9],123.6,115.3,131.9,Afghanistan1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.7 [116.2-131.1],123.7,116.2,131.1,Afghanistan1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1989,1989,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.6 [116.1-131.1],123.6,116.1,131.1,Afghanistan1989,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1990,1990,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.5 [116.2-130.9],123.5,116.2,130.9,Afghanistan1990,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.4 [116.1-131.0],123.4,116.1,131,Afghanistan1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,122.8 [115.4-130.4],122.8,115.4,130.4,Afghanistan1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1997,1997,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,122.9 [115.3-130.4],122.9,115.3,130.4,Afghanistan1997,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,122.9 [115.4-130.4],122.9,115.4,130.4,Afghanistan1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1999,1999,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.0 [115.6-130.4],123,115.6,130.4,Afghanistan1999,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2004,2004,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.6 [116.2-130.8],123.6,116.2,130.8,Afghanistan2004,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2005,2005,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.7 [116.2-131.0],123.7,116.2,131,Afghanistan2005,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,123.9 [116.2-131.4],123.9,116.2,131.4,Afghanistan2006,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2007,2007,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,124.0 [116.2-131.7],124,116.2,131.7,Afghanistan2007,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2008,2008,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,124.2 [116.0-132.2],124.2,116,132.2,Afghanistan2008,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.5 [125.3-139.6],132.5,125.3,139.6,Albania1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1984,1984,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.5 [125.7-139.3],132.5,125.7,139.3,Albania1984,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1985,1985,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.6 [125.9-139.2],132.6,125.9,139.2,Albania1985,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1986,1986,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.5 [126.1-139.1],132.5,126.1,139.1,Albania1986,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.1 [125.7-138.6],132.1,125.7,138.6,Albania1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1992,1992,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,131.8 [125.4-138.3],131.8,125.4,138.3,Albania1992,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1993,1993,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,131.6 [125.2-138.1],131.6,125.2,138.1,Albania1993,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1994,1994,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,131.5 [125.0-138.0],131.5,125,138,Albania1994,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2000,2000,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.0 [125.8-138.0],132,125.8,138,Albania2000,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2001,2001,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.2 [126.1-138.1],132.2,126.1,138.1,Albania2001,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2002,2002,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.5 [126.4-138.3],132.5,126.4,138.3,Albania2002,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2003,2003,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,132.7 [126.7-138.6],132.7,126.7,138.6,Albania2003,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2008,2008,,EUR,Europe,,ALB,Albania,,AGE25-PLUS,25+,,MLE,Male,,134.0 [126.3-141.5],134,126.3,141.5,Albania2008,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2009,2009,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,AGE25-PLUS,25+,,MLE,Male,,124.3 [115.5-132.8],124.3,115.5,132.8,Afghanistan2009,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1980,1980,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,131.0 [121.8-140.5],131,121.8,140.5,Algeria1980,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,130.8 [122.2-139.5],130.8,122.2,139.5,Algeria1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1986,1986,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,129.8 [123.6-135.9],129.8,123.6,135.9,Algeria1986,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,DZA,Algeria,,AGE25-PLUS,25+,,MLE,Male,,129.6 [123.6-135.6],129.6,123.6,135.6,Algeria1987,
