YEAR _code,Year,REGION _code,Region,COUNTRY _code,Country,AGEGROUP _code,Sex,Numeric,Low,High,CountryYear,Comments
1980,1980,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.5,113.6,133.8,Afghanistan 1980,
1981,1981,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.5,114.2,133.1,Afghanistan 1981,
1982,1982,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.6,114.8,132.4,Afghanistan 1982,
1983,1983,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.6,115.3,131.9,Afghanistan 1983,
1988,1988,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.7,116.2,131.1,Afghanistan 1988,
1989,1989,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.6,116.1,131.1,Afghanistan 1989,
1990,1990,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.5,116.2,130.9,Afghanistan 1990,
1991,1991,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.4,116.1,131,Afghanistan 1991,
1996,1996,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,122.8,115.4,130.4,Afghanistan 1996,
1997,1997,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,122.9,115.3,130.4,Afghanistan 1997,
1998,1998,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,122.9,115.4,130.4,Afghanistan 1998,
1999,1999,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123,115.6,130.4,Afghanistan 1999,
2004,2004,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.6,116.2,130.8,Afghanistan 2004,
2005,2005,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.7,116.2,131,Afghanistan 2005,
2006,2006,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,123.9,116.2,131.4,Afghanistan 2006,
2007,2007,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,124,116.2,131.7,Afghanistan 2007,
2008,2008,EMR,Eastern Mediterranean,AFG,Afghanistan,AGE25-PLUS,Male,124.2,116,132.2,Afghanistan 2008,
1983,1983,EUR,Europe,ALB,Albania,AGE25-PLUS,Male,132.5,125.3,139.6,Albania 1983,
1984,1984,EUR,Europe,ALB,Albania,AGE25-PLUS,Male,132.5,125.7,139.3,Albania 1984,
1985,1985,EUR,Europe,ALB,Albania,AGE25-PLUS,Male,132.6,125.9,139.2,Albania 1985,
