"","V1","mRRB","mRRCa","mRRCu","mRRFe","mRRK","mRRMg","mRRMn","mRRN","mRRP","mRRS","mRRZn","LocYrCrWNTC","LocYrCrWNTCCO2.x","Zn.x","Fe.x","N.x","P.x","K.x","S.x","B.x","Ca.x","Mg.x","Mn.x","Cu.x","co2.x","LocYrCrWNTCCO2.y","Zn.y","Fe.y","N.y","P.y","K.y","S.y","B.y","Ca.y","Mg.y","Mn.y","Cu.y","co2.y"
"1","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark ","0.833769633507853","0.974926253687316","1.03125","0.985120892746435","1","0.951456310679612","0.980988593155893","1.03048065650645","1.02743249035577","0.971675845790716","1.02101576182137","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark aCO2",42.825,80.65,6.3975,0.58325,1.9825,3177.5,57.3,0.339,0.2575,32.875,12," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark eCO2",43.725,79.45,6.5925,0.59925,1.9825,3087.5,47.775,0.3305,0.245,32.25,12.375," eCO2"
"2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight ","1.07769145394007","0.974802015838733","0.99609375","0.932938856015779","0.997448979591837","0.951076320939335","1.02604166666667","1.00246305418719","0.98260113092649","0.981907894736842","0.956812652068127","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight aCO2",41.1,76.05,6.09,0.57475,1.96,3040,45.05,0.34725,0.2555,33.6,12.8," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight eCO2",39.325,70.95,6.105,0.56475,1.955,2985,48.55,0.3385,0.243,34.475,12.75," eCO2"
"3","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer ","0.762081784386617","1.00236034618411","0.917594654788419","0.905607476635514","0.99869109947644","0.972826086956522","1.05996472663139","0.985","0.961504028648165","0.948987246811703","0.927741935483871","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer aCO2",38.75,80.25,6.5,0.5585,1.91,3332.5,60.525,0.31775,0.23,28.35,11.225," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer eCO2",35.95,72.675,6.4025,0.537,1.9075,3162.5,46.125,0.3185,0.22375,30.05,10.3," eCO2"
"4","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda ","0.976038338658147","1.01004566210046","0.936507936507937","0.893273542600897","0.993857493857494","0.953921568627451","0.903772132409546","1.02183956320874","0.929948839039748","0.98244213886672","0.942907592701589","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda aCO2",42.475,83.625,5.9525,0.63525,2.035,3132.5,46.95,0.27375,0.255,32.475,14.175," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda eCO2",40.05,74.7,6.0825,0.59075,2.0225,3077.5,45.825,0.2765,0.24325,29.35,13.275," eCO2"
"5","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana ","0.852980132450331","0.960985626283368","0.971014492753623","0.958477508650519","0.976923076923077","0.939723320158103","1.04434250764526","1.0089358245329","0.941409342834521","0.959415584415584","0.932786885245902","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana aCO2",45.75,79.475,6.155,0.6315,1.95,3080,56.625,0.36525,0.253,32.7,13.8," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana eCO2",42.675,76.175,6.21,0.5945,1.905,2955,48.3,0.351,0.23775,34.15,13.4," eCO2"
"6","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer ","0.888189738625363","0.925961538461538","1.018779342723","0.923712650985378","0.995115995115995","0.931352459016394","0.977675134719015","1.002726918582","0.939344925192074","0.954869358669834","0.932919254658385","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer aCO2",40.25,78.65,6.4175,0.61825,2.0475,3157.5,51.65,0.26,0.244,32.475,10.65," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer eCO2",37.55,72.65,6.435,0.58075,2.0375,3015,45.875,0.24075,0.22725,31.75,10.85," eCO2"
"7","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams ","0.801476014760148","1.02679425837321","1.00592885375494","0.963474827245805","0.996207332490518","0.964781216648879","1.06585788561525","0.99647473560517","0.942236788201557","0.936186770428016","0.940504807692308","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams ","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams aCO2",41.6,75.975,6.3825,0.61025,1.9775,3212.5,67.75,0.26125,0.23425,28.85,12.65," aCO2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams eCO2",39.125,73.2,6.36,0.575,1.97,3007.5,54.3,0.26825,0.226,30.75,12.725," eCO2"
"8","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark ","0.943920044419767","0.981989708404803","0.935018050541516","0.99027498323273","1.0098643649815","0.976973684210526","1.06307977736549","0.995892457057506","1.0046102263202","0.990306946688207","0.935796486977589","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark aCO2",41.275,74.55,6.695,0.5965,2.0275,3095,45.025,0.2915,0.228,26.95,13.85," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark eCO2",38.625,73.825,6.6675,0.59925,2.0475,3065,42.5,0.28625,0.22275,28.65,12.95," eCO2"
"9","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight ","0.992081447963801","0.87094682230869","0.752066115702479","0.970262793914246","1.0395256916996","0.966292134831461","1.03402489626556","0.995238095238095","1.01993355481728","0.989291598023064","0.924404761904762","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight aCO2",42,72.3,6.3,0.602,1.8975,3035,44.2,0.3855,0.24475,30.125,18.15," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight eCO2",38.825,70.15,6.27,0.614,1.9725,3002.5,43.85,0.33575,0.2365,31.15,13.65," eCO2"
"10","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer ","1.00125","0.958293838862559","0.919678714859438","0.960756832515767","0.993556701030928","0.985347985347985","0.941002949852507","0.971501644135915","1.02313167259786","0.990922844175492","0.946280991735537","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer aCO2",36.3,71.35,6.8425,0.562,1.94,3305,40,0.26375,0.20475,25.425,12.45," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer eCO2",34.35,68.55,6.6475,0.575,1.9275,3275,40.05,0.25275,0.20175,23.925,11.45," eCO2"
"11","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda ","0.977257525083612","0.9375","0.96695652173913","0.921204745968969","1.01815823605707","0.985386221294363","1.00461680517082","0.979841897233201","1.00410340582684","0.961264822134387","0.925364077669903","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda ","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda aCO2",41.2,82.175,6.325,0.60925,1.9275,3162.5,37.375,0.296,0.2395,27.075,14.375," aCO2","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda eCO2",38.125,75.7,6.1975,0.61175,1.9625,3040,36.525,0.2775,0.236,27.2,13.9," eCO2"
