"","V1","mRRYield","mRRFe","mRRprotein","mRRZn","LocYrCrWNTC","LocYrCrWNTCCO2.x","Yield.x","Zn.x","Fe.x","protein.x","co2.x","LocYrCrWNTCCO2.y","Yield.y","Zn.y","Fe.y","protein.y","co2.y"
"1","Horsham__Australia 2007 wheat Dry Low TOS_1 Janz ","1.04731224156169","0.905615821710575","0.97313904494382","1.11259338313767","Horsham__Australia 2007 wheat Dry Low TOS_1 Janz ","Horsham__Australia 2007 wheat Dry Low TOS_1 Janz aCO2",259.975,28.11,33.8775,14.24," aCO2","Horsham__Australia 2007 wheat Dry Low TOS_1 Janz eCO2",272.275,31.275,30.68,13.8575," eCO2"
"2","Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi ","1.21592029986191","0.908959118585097","0.952534479670428","0.987827049245119","Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi ","Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi aCO2",253.45,31.6275,34.49,13.9575," aCO2","Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi eCO2",308.175,31.2425,31.35,13.295," eCO2"
"3","Horsham__Australia 2007 wheat Dry Low TOS_2 Janz ","1.01369161868202","0.978649120451188","0.970936690114772","1.0825951235974","Horsham__Australia 2007 wheat Dry Low TOS_2 Janz ","Horsham__Australia 2007 wheat Dry Low TOS_2 Janz aCO2",195.375,29.6325,37.235,13.505," aCO2","Horsham__Australia 2007 wheat Dry Low TOS_2 Janz eCO2",198.05,32.08,36.44,13.1125," eCO2"
"4","Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi ","1.08634068235004","0.911432389746082","0.952321650951788","0.963571215288145","Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi ","Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi aCO2",202.975,33.49,41.155,14.0525," aCO2","Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi eCO2",220.5,32.27,37.51,13.3825," eCO2"
"5","Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi ","1.24765654293213","0.988711922065873","0.97745149449397","0.771205437848001","Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi ","Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi aCO2",266.7,34.5725,32.335,14.3025," aCO2","Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi eCO2",332.75,26.6625,31.97,13.98," eCO2"
"6","Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi ","1.00675431190447","0.973293955008169","0.996761424973012","1.04957428184929","Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi ","Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi aCO2",207.275,31.4175,39.785,13.895," aCO2","Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi eCO2",208.675,32.975,38.7225,13.85," eCO2"
"7","Horsham__Australia 2007 wheat Wet Low TOS_1 Janz ","1.24672870020355","0.932843385707045","0.953101361573374","1.00692695214106","Horsham__Australia 2007 wheat Wet Low TOS_1 Janz ","Horsham__Australia 2007 wheat Wet Low TOS_1 Janz aCO2",343.9,27.79,29.595,13.22," aCO2","Horsham__Australia 2007 wheat Wet Low TOS_1 Janz eCO2",428.75,27.9825,27.6075,12.6," eCO2"
"8","Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi ","1.13404255319149","0.971155353503684","0.981288981288981","1.11955017301038","Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi ","Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi aCO2",352.5,28.9,31.895,13.2275," aCO2","Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi eCO2",399.75,32.355,30.975,12.98," eCO2"
"9","Horsham__Australia 2007 wheat Wet Low TOS_2 Janz ","1.43604852686308","0.979290147130605","0.97803212110024","0.892842105263158","Horsham__Australia 2007 wheat Wet Low TOS_2 Janz ","Horsham__Australia 2007 wheat Wet Low TOS_2 Janz aCO2",216.375,35.625,35.8525,13.5425," aCO2","Horsham__Australia 2007 wheat Wet Low TOS_2 Janz eCO2",310.725,31.8075,35.11,13.245," eCO2"
"10","Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi ","1.2749059645352","0.925315898660967","0.95529034556466","0.965958858659589","Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi ","Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi aCO2",232.625,37.675,39.7675,14.035," aCO2","Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi eCO2",296.575,36.3925,36.7975,13.4075," eCO2"
