"","Crop","Nutrient","Pr.Chi."
"<none>","Wheat","Yield",NA
"CO2treatment:as.factor(NapplicnQ)","Wheat","Yield",0.83895
"<none>1","Wheat","Zn",NA
"CO2treatment:as.factor(NapplicnQ)1","Wheat","Zn",0.55757
"<none>2","Wheat","Fe",NA
"CO2treatment:as.factor(NapplicnQ)2","Wheat","Fe",0.34905
"<none>3","Wheat","Ph",NA
"CO2treatment:as.factor(NapplicnQ)3","Wheat","Ph",0.95474
"<none>4","Wheat","N",NA
"CO2treatment:as.factor(NapplicnQ)4","Wheat","N",0.19334
"<none>5","Wheat","Yield",NA
"CO2treatment:as.factor(NapplicnQ)5","Wheat","Yield",0.83895
"<none>6","Wheat","Zn",NA
"CO2treatment:as.factor(NapplicnQ)6","Wheat","Zn",0.55757
"<none>7","Wheat","Fe",NA
"CO2treatment:as.factor(NapplicnQ)7","Wheat","Fe",0.34905
"<none>8","Wheat","Ph",NA
"CO2treatment:as.factor(NapplicnQ)8","Wheat","Ph",0.95474
"<none>9","Wheat","N",NA
"CO2treatment:as.factor(NapplicnQ)9","Wheat","N",0.19334
