"","Crop","Nutrient","Pr.Chi."
"<none>","Wheat","Yield",NA
"CO2treatment:as.factor(NapplicnQ)","Wheat","Yield",0.83895
"<none>1","Wheat","Zn",NA
"CO2treatment:as.factor(NapplicnQ)1","Wheat","Zn",0.55757
"<none>2","Wheat","Fe",NA
"CO2treatment:as.factor(NapplicnQ)2","Wheat","Fe",0.34905
"<none>3","Wheat","Ph",NA
"CO2treatment:as.factor(NapplicnQ)3","Wheat","Ph",0.95474
"<none>4","Wheat","N",NA
"CO2treatment:as.factor(NapplicnQ)4","Wheat","N",0.19334
"<none>5","Wheat","Yield",NA
"CO2treatment:as.factor(WateringRegime)","Wheat","Yield",0.0713
"<none>6","Wheat","Zn",NA
"CO2treatment:as.factor(WateringRegime)1","Wheat","Zn",0.75737
"<none>7","Wheat","Fe",NA
"CO2treatment:as.factor(WateringRegime)2","Wheat","Fe",0.43222
"<none>8","Wheat","Ph",NA
"CO2treatment:as.factor(WateringRegime)3","Wheat","Ph",0.03192
"<none>9","Wheat","N",NA
"CO2treatment:as.factor(WateringRegime)4","Wheat","N",0.14247
"21",NA,NA,NA
"<none>10","Rice","Zn",NA
"CO2treatment:as.factor(Temperature_treatment)","Rice","Zn",0.77579
"<none>11","Rice","Fe",NA
"CO2treatment:as.factor(Temperature_treatment)1","Rice","Fe",0.93737
"26",NA,NA,NA
"<none>12","Rice","N",NA
"CO2treatment:as.factor(Temperature_treatment)2","Rice","N",0.24141
"<none>13","Rice","P",NA
"CO2treatment:as.factor(Temperature_treatment)3","Rice","P",0.58254
"<none>14","Rice","K",NA
"CO2treatment:as.factor(Temperature_treatment)4","Rice","K",0.42314
"<none>15","Rice","S",NA
"CO2treatment:as.factor(Temperature_treatment)5","Rice","S",0.20109
"<none>16","Rice","B",NA
"CO2treatment:as.factor(Temperature_treatment)6","Rice","B",0.44076
"<none>17","Rice","Ca",NA
"CO2treatment:as.factor(Temperature_treatment)7","Rice","Ca",0.23654
"<none>18","Rice","Mg",NA
"CO2treatment:as.factor(Temperature_treatment)8","Rice","Mg",0.40516
"<none>19","Rice","Mn",NA
"CO2treatment:as.factor(Temperature_treatment)9","Rice","Mn",0.43732
"<none>20","Rice","Cu",NA
"CO2treatment:as.factor(Temperature_treatment)10","Rice","Cu",0.06192
