"","species","nutrient","av","SE"
"CO2treatmenteCO2","Wheat","Fe",-0.051953703444666,0.0122954673577419
"CO2treatmenteCO21","Wheat","Yield",0.192557651663466,0.0437118621118885
"CO2treatmenteCO22","Wheat","Zn",-0.0914014800560772,0.0317028662304658
"CO2treatmenteCO23","Wheat","Fe",-0.051953703444666,0.0122954673577419
"CO2treatmenteCO24","Wheat","Ph",-0.00122043625926356,0.028669819882234
"CO2treatmenteCO25","Wheat","N",-0.0618656727804501,0.00996228897172609
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
"10",NA,NA,NA,NA
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,NA,NA,NA
"14",NA,NA,NA,NA
"CO2treatmenteCO26","Fieldpeas","Yield",0.254115625629153,0.0873682615549065
"CO2treatmenteCO27","Fieldpeas","Zn",-0.0398464278126717,0.0186374223825145
"CO2treatmenteCO28","Fieldpeas","Fe",-0.0635737134816525,0.0179894796325394
"18",NA,NA,NA,NA
"CO2treatmenteCO29","Fieldpeas","N",-0.0202266161240032,0.015335015386399
"CO2treatmenteCO210","Fieldpeas","P",-0.037759405079569,0.0248190247462341
"CO2treatmenteCO211","Fieldpeas","K",0.0242292357152994,0.012169458724725
"CO2treatmenteCO212","Fieldpeas","S",-0.020944936644594,0.0110830764789399
"CO2treatmenteCO213","Fieldpeas","B",-0.00920953486320712,0.014560755529967
"CO2treatmenteCO214","Fieldpeas","Ca",0.00784058962069661,0.0284308007237636
"CO2treatmenteCO215","Fieldpeas","Mg",2.04898785540307e-05,0.0105708004458883
"CO2treatmenteCO216","Fieldpeas","Mn",-0.0277303014485085,0.0134104055610285
"CO2treatmenteCO217","Fieldpeas","Cu",-0.00515271947888393,0.014721223058366
"28",NA,NA,NA,NA
"CO2treatmenteCO218","Rice","Zn",-0.0119169879628273,0.0136501894918142
"CO2treatmenteCO219","Rice","Fe",-0.0569502646649373,0.0216939424102412
"31",NA,NA,NA,NA
"CO2treatmenteCO220","Rice","N",-0.0982626494381954,0.00902343356038501
"CO2treatmenteCO221","Rice","P",0.0110111452871621,0.0112488580651477
"CO2treatmenteCO222","Rice","K",0.0356419989687968,0.0109539346854831
"CO2treatmenteCO223","Rice","S",-0.0973805723238444,0.00905806874115087
"CO2treatmenteCO224","Rice","B",0.100081541472252,0.0232162505420537
"CO2treatmenteCO225","Rice","Ca",0.0563575599009041,0.0216651492512159
"CO2treatmenteCO226","Rice","Mg",0.0101458503865278,0.0119456744947652
"CO2treatmenteCO227","Rice","Mn",-0.0810242136016877,0.0442136219919512
"CO2treatmenteCO228","Rice","Cu",-0.157208081981821,0.0305074552499166
"41",NA,NA,NA,NA
"CO2treatmenteCO229","Sorghum","Zn",-0.0551770724932616,0.0155205703419743
"CO2treatmenteCO230","Sorghum","Fe",-0.0480882695569695,0.0202608203708892
"44",NA,NA,NA,NA
"CO2treatmenteCO231","Sorghum","N",-0.0399722151904518,0.0184963099880879
"CO2treatmenteCO232","Sorghum","P",-0.0339875853551468,0.0116546736286754
"CO2treatmenteCO233","Sorghum","K",-0.00174328096588436,0.039345444015559
"CO2treatmenteCO234","Sorghum","S",-0.0427482556690375,0.0233219679418762
"CO2treatmenteCO235","Sorghum","B",-0.0318651377091377,0.0785989995283074
"CO2treatmenteCO236","Sorghum","Ca",-0.0119616968086778,0.0762158560240912
"CO2treatmenteCO237","Sorghum","Mg",-0.0431983609178577,0.0159521308076173
"CO2treatmenteCO238","Sorghum","Mn",-0.0238216822978998,0.0379460850107287
"CO2treatmenteCO239","Sorghum","Cu",-0.0676312584537326,0.00603328573525007
"54",NA,NA,NA,NA
"CO2treatmenteCO240","soybean","Zn",-0.0525661179720679,0.00666445667318104
"CO2treatmenteCO241","soybean","Fe",-0.0423342724540635,0.00880789531015894
"57",NA,NA,NA,NA
"CO2treatmenteCO242","soybean","N",0.00457255352770289,0.00412821510289531
"CO2treatmenteCO243","soybean","P",-0.00697873171402888,0.00788961457046694
"CO2treatmenteCO244","soybean","K",0.000798378112321529,0.0045035560742314
"CO2treatmenteCO245","soybean","S",-0.0293346049303318,0.00346105768602705
"CO2treatmenteCO246","soybean","B",-0.0656467851134221,0.0150507342765685
"CO2treatmenteCO247","soybean","Ca",-0.0594221958784715,0.00825534146465947
"CO2treatmenteCO248","soybean","Mg",-0.0361099011654721,0.00392792630897094
"CO2treatmenteCO249","soybean","Mn",-0.0141891061065645,0.0111913745056986
"CO2treatmenteCO250","soybean","Cu",-0.0591489973779937,0.0124148366340322
"67",NA,NA,NA,NA
"CO2treatmenteCO251","Corn","Zn",-0.0780128225398844,0.0467251235930747
"CO2treatmenteCO252","Corn","Fe",-0.0159524562209326,0.0239960941558919
"70",NA,NA,NA,NA
"CO2treatmenteCO253","Corn","N",0.0286070508298274,0.0280796086025964
"CO2treatmenteCO254","Corn","P",-0.0835826467037903,0.0149771852239106
"CO2treatmenteCO255","Corn","K",-0.0265800819202746,0.00412638529360566
"CO2treatmenteCO256","Corn","S",0.0566245194684205,0.0155604407934011
"CO2treatmenteCO257","Corn","B",0.0534780144915437,0.0508352823711345
"CO2treatmenteCO258","Corn","Ca",0.0757982000110821,0.0933783006980436
"CO2treatmenteCO259","Corn","Mg",-0.071788726751544,0.0380979726684129
"CO2treatmenteCO260","Corn","Mn",-0.0134236250180937,0.0519910327868874
"CO2treatmenteCO261","Corn","Cu",-0.00680282602788919,0.0488193715655209
