,species,nutrient,av,SE,unlogMean,distance,logCI,loglow,loghi,unloglow,unloghi
CO2treatmenteCO2,Wheat,Fe,-0.052526632,0.007450709,0.948829052,0.013957788,0.01460339,-0.037923242,-0.067130022,0.96278684,0.935073613
CO2treatmenteCO21,Wheat,Yield,0.241175891,0.026800165,1.27274488,0.068642202,0.052528323,0.293704214,0.188647567,1.341387082,1.207615275
CO2treatmenteCO22,Wheat,Zn,-0.097894032,0.019088242,0.906744984,0.034566595,0.037412953,-0.060481079,-0.135306986,0.941311579,0.873447735
CO2treatmenteCO23,Wheat,Fe,-0.052526632,0.007450709,0.948829052,0.013957788,0.01460339,-0.037923242,-0.067130022,0.96278684,0.935073613
CO2treatmenteCO24,Wheat,Ph,-0.043281274,0.017766516,0.957641992,0.03393478,0.03482237,-0.008458904,-0.078103645,0.991576772,0.924868564
CO2treatmenteCO25,Wheat,N,-0.065539622,0.00614996,0.936561938,0.011357558,0.012053921,-0.053485701,-0.077593543,0.947919496,0.925340461
7,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
8,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
9,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
10,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
11,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
12,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
13,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
14,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO26,Fieldpeas,Yield,0.241305448,0.057400543,1.272909784,0.151575454,0.112505063,0.353810512,0.128800385,1.424485238,1.137463047
CO2treatmenteCO27,Fieldpeas,Zn,-0.070930171,0.016178251,0.931526937,0.030011441,0.031709372,-0.0392208,-0.102639543,0.961538378,0.90245221
CO2treatmenteCO28,Fieldpeas,Fe,-0.041441579,0.01408037,0.959405383,0.02684595,0.027597524,-0.013844055,-0.069039104,0.986251333,0.933290184
18,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO29,Fieldpeas,N,-0.021080468,0.010227331,0.979140172,0.019825463,0.020045568,-0.0010349,-0.041126035,0.998965636,0.959708165
CO2treatmenteCO210,Fieldpeas,P,-0.037632516,0.016546078,0.963066787,0.031744518,0.032430313,-0.005202203,-0.07006283,0.994811305,0.93233524
CO2treatmenteCO211,Fieldpeas,K,0.021681831,0.008157285,1.02191859,0.016470032,0.015988279,0.03767011,0.005693553,1.038388623,1.005709792
CO2treatmenteCO212,Fieldpeas,S,-0.021766407,0.007393779,0.978468772,0.014283024,0.014491807,-0.0072746,-0.036258214,0.992751796,0.964391242
CO2treatmenteCO213,Fieldpeas,B,-0.019610009,0.010307686,0.980581017,0.020012215,0.020203065,0.000593056,-0.039813073,1.000593231,0.960969053
CO2treatmenteCO214,Fieldpeas,Ca,-0.005266991,0.01945092,0.994746855,0.038655704,0.038123804,0.032856813,-0.043390795,1.033402559,0.957537116
CO2treatmenteCO215,Fieldpeas,Mg,0.000382057,0.007048243,1.00038213,0.013915734,0.013814556,0.014196613,-0.013432499,1.014297864,0.986657315
CO2treatmenteCO216,Fieldpeas,Mn,-0.025467107,0.008972039,0.974854444,0.017294625,0.017585196,-0.007881911,-0.043052303,0.992149069,0.957861289
CO2treatmenteCO217,Fieldpeas,Cu,-0.027723381,0.012366128,0.972657385,0.023862914,0.024237612,-0.003485769,-0.051960992,0.996520299,0.949365899
28,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO218,Rice,Zn,-0.034024243,0.00874656,0.966548073,0.016712628,0.017143258,-0.016880984,-0.051167501,0.983260701,0.950119511
CO2treatmenteCO219,Rice,Fe,-0.053800906,0.012671703,0.947620753,0.023830325,0.024836538,-0.028964368,-0.078637444,0.971451079,0.924375002
31,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO220,Rice,N,-0.081640158,0.005706523,0.92160353,0.0103658,0.011184786,-0.070455373,-0.092824944,0.93196933,0.911353024
CO2treatmenteCO221,Rice,P,-0.010016811,0.007123599,0.99003319,0.013920046,0.013962253,0.003945442,-0.023979065,1.003953235,0.976306149
CO2treatmenteCO222,Rice,K,0.010885119,0.007149417,1.010944577,0.014265942,0.014012858,0.024897976,-0.003127739,1.025210519,0.996877147
CO2treatmenteCO223,Rice,S,-0.081484121,0.005644645,0.921747346,0.010254376,0.011063505,-0.070420616,-0.092547626,0.932001723,0.911605794
CO2treatmenteCO224,Rice,B,0.049927175,0.015851663,1.05119454,0.033172489,0.031069259,0.080996434,0.018857916,1.084367029,1.019036849
CO2treatmenteCO225,Rice,Ca,0.020025838,0.014233036,1.0202277,0.028861739,0.02789675,0.047922588,-0.007870912,1.04908944,0.992159983
CO2treatmenteCO226,Rice,Mg,-0.008566786,0.007327857,0.991469804,0.014342838,0.0143626,0.005795814,-0.022929386,1.005812642,0.977331495
CO2treatmenteCO227,Rice,Mn,-0.078474246,0.025450852,0.92452587,0.047288397,0.04988367,-0.028590576,-0.128357916,0.971814267,0.879538522
CO2treatmenteCO228,Rice,Cu,-0.11152596,0.01912985,0.894468171,0.034174313,0.037494506,-0.074031454,-0.149020466,0.928642484,0.861551482
41,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO229,Sorghum,Zn,-0.013366693,0.025748752,0.986722245,0.051075444,0.050467554,0.037100861,-0.063834246,1.037797689,0.93816049
CO2treatmenteCO230,Sorghum,Fe,0.016332365,0.038989389,1.016466468,0.080722657,0.076419203,0.092751568,-0.060086837,1.097189124,0.941682757
44,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO231,Sorghum,N,0.000249764,0.025559872,1.000249795,0.051386275,0.05009735,0.050347113,-0.049847586,1.05163607,0.951374416
CO2treatmenteCO232,Sorghum,P,0.003286357,0.022547561,1.003291763,0.045333022,0.04419322,0.047479576,-0.040906863,1.048624784,0.959918529
CO2treatmenteCO233,Sorghum,K,0.029834415,0.029127395,1.03028392,0.060529974,0.057089694,0.086924109,-0.02725528,1.090813893,0.973112794
CO2treatmenteCO234,Sorghum,S,-0.002213962,0.026999641,0.997788487,0.054224369,0.052919297,0.050705335,-0.055133259,1.052012856,0.946359028
CO2treatmenteCO235,Sorghum,B,-0.003034812,0.048335605,0.996969789,0.099069433,0.094737786,0.091702974,-0.097772598,1.096039222,0.906855101
CO2treatmenteCO236,Sorghum,Ca,0.105816399,0.08099495,1.111617764,0.1912483,0.158750103,0.264566502,-0.052933704,1.302866064,0.948442888
CO2treatmenteCO237,Sorghum,Mg,-0.001883794,0.025569271,0.998117979,0.051296088,0.050115771,0.048231977,-0.051999565,1.049414068,0.949329279
CO2treatmenteCO238,Sorghum,Mn,0.016907551,0.032139155,1.017051292,0.066127772,0.062992745,0.079900296,-0.046085194,1.083179064,0.954960602
CO2treatmenteCO239,Sorghum,Cu,-0.029390735,0.022351272,0.971036972,0.043485224,0.043808494,0.014417759,-0.073199229,1.014522196,0.929415645
54,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO240,soybean,Zn,-0.052566118,0.006664457,0.948791587,0.012474731,0.013062335,-0.039503783,-0.065628453,0.961266318,0.936478745
CO2treatmenteCO241,soybean,Fe,-0.042334272,0.008807895,0.95854931,0.016691554,0.017263475,-0.025070798,-0.059597747,0.975240865,0.942143437
57,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CO2treatmenteCO242,soybean,N,0.004572554,0.004128215,1.004583024,0.008161358,0.008091302,0.012663855,-0.003518748,1.012744381,0.996487435
CO2treatmenteCO243,soybean,P,-0.006978732,0.007889615,0.993045563,0.015475449,0.015463645,0.008484913,-0.022442376,1.008521012,0.97780758
CO2treatmenteCO244,soybean,K,0.000798378,0.004503556,1.000798697,0.008873124,0.00882697,0.009625348,-0.008028592,1.009671821,0.992003551
CO2treatmenteCO245,soybean,S,-0.029334605,0.003461058,0.971091478,0.006609962,0.006783673,-0.022550932,-0.036118278,0.97770144,0.964526205
CO2treatmenteCO246,soybean,B,-0.065646785,0.015050734,0.936461578,0.02803659,0.029499439,-0.036147346,-0.095146224,0.964498168,0.909239972
CO2treatmenteCO247,soybean,Ca,-0.059422196,0.008255341,0.942308846,0.015371019,0.016180469,-0.043241727,-0.075602665,0.957679865,0.927184536
CO2treatmenteCO248,soybean,Mg,-0.036109901,0.003927926,0.964534284,0.007454352,0.007698736,-0.028411166,-0.043808637,0.971988636,0.957137101
CO2treatmenteCO249,soybean,Mn,-0.014189106,0.011191375,0.985911085,0.021864981,0.021935094,0.007745988,-0.0361242,1.007776066,0.964520492
