"","V1","mRRYield","mRRFe","mRRprotein","mRRZn","mRRB","mRRCa","mRRCu","mRRK","mRRMg","mRRMn","mRRN","mRRP","mRRS","Location","Year","Crop","Watering","Fert","TOS","Cv"
"1","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark ",NA,"0.985120892746435",NA,"1.02101576182137","0.833769633507853","0.974926253687316","1.03125","1","0.951456310679612","0.980988593155893","1.03048065650645","1.02743249035577","0.971675845790716","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Clark"
"2","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight ",NA,"0.932938856015779",NA,"0.956812652068127","1.07769145394007","0.974802015838733","0.99609375","0.997448979591837","0.951076320939335","1.02604166666667","1.00246305418719","0.98260113092649","0.981907894736842","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Dwight"
"3","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer ",NA,"0.905607476635514",NA,"0.927741935483871","0.762081784386617","1.00236034618411","0.917594654788419","0.99869109947644","0.972826086956522","1.05996472663139","0.985","0.961504028648165","0.948987246811703","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Flyer"
"4","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda ",NA,"0.893273542600897",NA,"0.942907592701589","0.976038338658147","1.01004566210046","0.936507936507937","0.993857493857494","0.953921568627451","0.903772132409546","1.02183956320874","0.929948839039748","0.98244213886672","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Loda"
"5","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana ",NA,"0.958477508650519",NA,"0.932786885245902","0.852980132450331","0.960985626283368","0.971014492753623","0.976923076923077","0.939723320158103","1.04434250764526","1.0089358245329","0.941409342834521","0.959415584415584","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Pana"
"6","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer ",NA,"0.923712650985378",NA,"0.932919254658385","0.888189738625363","0.925961538461538","1.018779342723","0.995115995115995","0.931352459016394","0.977675134719015","1.002726918582","0.939344925192074","0.954869358669834","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Spencer"
"7","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams ",NA,"0.963474827245805",NA,"0.940504807692308","0.801476014760148","1.02679425837321","1.00592885375494","0.996207332490518","0.964781216648879","1.06585788561525","0.99647473560517","0.942236788201557","0.936186770428016","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Williams"
"8","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark ",NA,"0.99027498323273",NA,"0.935796486977589","0.943920044419767","0.981989708404803","0.935018050541516","1.0098643649815","0.976973684210526","1.06307977736549","0.995892457057506","1.0046102263202","0.990306946688207","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Clark"
"9","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight ",NA,"0.970262793914246",NA,"0.924404761904762","0.992081447963801","0.87094682230869","0.752066115702479","1.0395256916996","0.966292134831461","1.03402489626556","0.995238095238095","1.01993355481728","0.989291598023064","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Dwight"
"10","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer ",NA,"0.960756832515767",NA,"0.946280991735537","1.00125","0.958293838862559","0.919678714859438","0.993556701030928","0.985347985347985","0.941002949852507","0.971501644135915","1.02313167259786","0.990922844175492","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Flyer"
"11","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda ",NA,"0.921204745968969",NA,"0.925364077669903","0.977257525083612","0.9375","0.96695652173913","1.01815823605707","0.985386221294363","1.00461680517082","0.979841897233201","1.00410340582684","0.961264822134387","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Loda"
"12","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana ",NA,"0.970212765957447",NA,"0.908767772511848","0.957771260997068","0.929558011049724","0.883683360258481","1.00789473684211","0.969331872946331","0.995697074010327","1.01064701064701","0.981788079470199","0.989769820971867","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Pana"
"13","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer ",NA,"0.92373720699901",NA,"0.943046357615894","0.948991696322657","0.945823927765237","0.914728682170543","1.00858895705521","0.980414746543779","1.00274223034735","0.980112570356473","1.00293009627459","0.945482866043614","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Spencer"
"14","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams ",NA,"1.03804737975592",NA,"0.941986947063089","0.946857142857143","0.941239316239316","0.949596774193548","1.01554404145078","0.98661800486618","0.997153700189753","0.97452934662237","1.02255639097744","0.949286846275753","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Williams"
