"","species","nutrient","av","SE"
"CO2treatmenteCO2","Wheat","Feu",0.188649258857431,0.0238114596830464
"CO2treatmenteCO21","Wheat","Yield",0.241175890798701,0.0268001649748435
"CO2treatmenteCO22","Wheat","Znu",0.143281858426661,0.0200489973548075
"CO2treatmenteCO23","Wheat","Feu",0.188649258857431,0.0238114596830464
"CO2treatmenteCO24","Wheat","Phu",0.197894616559267,0.0249200801855681
"CO2treatmenteCO25","Wheat","Nu",0.175636268816288,0.023166240723188
"CO2treatmenteCO26","Fieldpeas","Yield",0.241305448491618,0.057400542566938
"CO2treatmenteCO27","Fieldpeas","Znu",0.175311260465392,0.0515922112199004
"CO2treatmenteCO28","Fieldpeas","Feu",0.195542060357709,0.0494189059779465
"CO2treatmenteCO29","Fieldpeas","Nu",0.222855137847984,0.0524727109969544
"CO2treatmenteCO210","Fieldpeas","Pu",0.199984413893351,0.0483075954359761
"CO2treatmenteCO211","Fieldpeas","Ku",0.257055746597757,0.0517444990949249
"CO2treatmenteCO212","Fieldpeas","Su",0.217261307174606,0.0512779974880464
"CO2treatmenteCO213","Fieldpeas","Bu",0.218999163068581,0.0607989453998143
"CO2treatmenteCO214","Fieldpeas","Cau",0.219495528278918,0.0679091697352524
"CO2treatmenteCO215","Fieldpeas","Mgu",0.245109158591783,0.0572979047868347
"CO2treatmenteCO216","Fieldpeas","Mnu",0.22052386103891,0.0541059810724728
"CO2treatmenteCO217","Fieldpeas","Cuu",0.216257843153464,0.0579407384519677
"CO2treatmenteCO218","Sorghum","Znu",0.0729984901634459,0.0656852787869049
"CO2treatmenteCO219","Sorghum","Feu",0.102697548251388,0.0518117727024348
"CO2treatmenteCO220","Sorghum","Nu",0.0866149463952191,0.0656892852770503
"CO2treatmenteCO221","Sorghum","Pu",0.0896515394186412,0.068173281669794
"CO2treatmenteCO222","Sorghum","Ku",0.116199597352084,0.0666213914947933
"CO2treatmenteCO223","Sorghum","Su",0.0841512204562634,0.0622295331661403
"CO2treatmenteCO224","Sorghum","Bu",0.0833303711366522,0.0693457612891744
"CO2treatmenteCO225","Sorghum","Cau",0.192181581880686,0.0168012524767433
"CO2treatmenteCO226","Sorghum","Mgu",0.0844813888684204,0.0634703094284401
"CO2treatmenteCO227","Sorghum","Mnu",0.103272733609707,0.0657661434067588
"CO2treatmenteCO228","Sorghum","Cuu",0.0569744479497008,0.0682476870750558
"CO2treatmenteCO229","Rice","Znu",0.104978999303919,0.0143028060357055
"CO2treatmenteCO230","Rice","Feu",0.106637428515334,0.019581638895755
"CO2treatmenteCO231","Rice","Nu",0.0878738824961472,0.0181807714665327
"CO2treatmenteCO232","Rice","Pu",0.141079363733724,0.021505403329
"CO2treatmenteCO233","Rice","Ku",0.161379595789712,0.023819886660282
"CO2treatmenteCO234","Rice","Su",0.0876783514299954,0.021083357450517
"CO2treatmenteCO235","Rice","Bu",0.19863453005628,0.0242366511707755
"CO2treatmenteCO236","Rice","Cau",0.226077663084016,0.0227708777260756
"CO2treatmenteCO237","Rice","Mgu",0.148550251193877,0.0240881983220647
"CO2treatmenteCO238","Rice","Mnu",0.0825259943492623,0.0526444250624693
"CO2treatmenteCO239","Rice","Cuu",0.0716226827117505,0.0473024945288868
