"","LocYrWNTC","LocYrWNTCCO2.x","Yield.x","Zn.x","Fe.x","protein.x","CO2.x","watering.x","fert.x","Loc.x","Yr.x","TOS.x","Cv.x","LocYrWNTCCO2.y","Yield.y","Zn.y","Fe.y","protein.y","CO2.y","watering.y","fert.y","Loc.y","Yr.y","TOS.y","Cv.y","RRYield","RRZn","RRFe","RRprotein"
"1","Horsham__Australia 2007 127 Low TOS_2 Janz ","Horsham__Australia 2007 127 Low TOS_2 Janz aCO2",195.375,29.6325,37.235,13.505,"aCO2","127","Low","Horsham__Australia","2007","TOS_2","Janz","Horsham__Australia 2007 127 Low TOS_2 Janz eCO2",198.05,32.08,36.44,13.1125,"eCO2","127","Low","Horsham__Australia","2007","TOS_2","Janz",0.98649330977026,0.923706359102244,1.02181668496158,1.02993326978074
"2","Horsham__Australia 2007 127 Low TOS_2 Yitpi ","Horsham__Australia 2007 127 Low TOS_2 Yitpi aCO2",202.975,33.49,41.155,14.0525,"aCO2","127","Low","Horsham__Australia","2007","TOS_2","Yitpi","Horsham__Australia 2007 127 Low TOS_2 Yitpi eCO2",220.5,32.27,37.51,13.3825,"eCO2","127","Low","Horsham__Australia","2007","TOS_2","Yitpi",0.920521541950113,1.03780601177564,1.09717408691016,1.05006538389688
"3","Horsham__Australia 2007 127 Medium TOS_2 Yitpi ","Horsham__Australia 2007 127 Medium TOS_2 Yitpi aCO2",207.275,31.4175,39.785,13.895,"aCO2","127","Medium","Horsham__Australia","2007","TOS_2","Yitpi","Horsham__Australia 2007 127 Medium TOS_2 Yitpi eCO2",208.675,32.975,38.7225,13.85,"eCO2","127","Medium","Horsham__Australia","2007","TOS_2","Yitpi",0.993291002755481,0.952767247915087,1.02743882755504,1.00324909747292
"4","Horsham__Australia 2007 175 Low TOS_2 Janz ","Horsham__Australia 2007 175 Low TOS_2 Janz aCO2",216.375,35.625,35.8525,13.5425,"aCO2","175","Low","Horsham__Australia","2007","TOS_2","Janz","Horsham__Australia 2007 175 Low TOS_2 Janz eCO2",310.725,31.8075,35.11,13.245,"eCO2","175","Low","Horsham__Australia","2007","TOS_2","Janz",0.696355298093169,1.1200188634756,1.02114782113358,1.02246130615327
"5","Horsham__Australia 2007 175 Low TOS_2 Yitpi ","Horsham__Australia 2007 175 Low TOS_2 Yitpi aCO2",232.625,37.675,39.7675,14.035,"aCO2","175","Low","Horsham__Australia","2007","TOS_2","Yitpi","Horsham__Australia 2007 175 Low TOS_2 Yitpi eCO2",296.575,36.3925,36.7975,13.4075,"eCO2","175","Low","Horsham__Australia","2007","TOS_2","Yitpi",0.784371575486808,1.03524077763275,1.08071200489164,1.04680216296849
"6","Horsham__Australia 2007 175 Medium TOS_2 Yitpi ","Horsham__Australia 2007 175 Medium TOS_2 Yitpi aCO2",208.825,37.43,38.495,13.815,"aCO2","175","Medium","Horsham__Australia","2007","TOS_2","Yitpi","Horsham__Australia 2007 175 Medium TOS_2 Yitpi eCO2",341.95,31.76,37.1325,13.3375,"eCO2","175","Medium","Horsham__Australia","2007","TOS_2","Yitpi",0.61068869717795,1.17852644836272,1.03669292398842,1.03580131208997
"7","Horsham__Australia 2007 181 Low TOS_1 Janz ","Horsham__Australia 2007 181 Low TOS_1 Janz aCO2",259.975,28.11,33.8775,14.24,"aCO2","181","Low","Horsham__Australia","2007","TOS_1","Janz","Horsham__Australia 2007 181 Low TOS_1 Janz eCO2",272.275,31.275,30.68,13.8575,"eCO2","181","Low","Horsham__Australia","2007","TOS_1","Janz",0.954825084932513,0.898800959232614,1.10422099087353,1.02760238138192
"8","Horsham__Australia 2007 181 Low TOS_1 Yitpi ","Horsham__Australia 2007 181 Low TOS_1 Yitpi aCO2",253.45,31.6275,34.49,13.9575,"aCO2","181","Low","Horsham__Australia","2007","TOS_1","Yitpi","Horsham__Australia 2007 181 Low TOS_1 Yitpi eCO2",308.175,31.2425,31.35,13.295,"eCO2","181","Low","Horsham__Australia","2007","TOS_1","Yitpi",0.822422324977691,1.0123229575098,1.10015948963317,1.0498307634449
"9","Horsham__Australia 2007 181 Medium TOS_1 Yitpi ","Horsham__Australia 2007 181 Medium TOS_1 Yitpi aCO2",266.7,34.5725,32.335,14.3025,"aCO2","181","Medium","Horsham__Australia","2007","TOS_1","Yitpi","Horsham__Australia 2007 181 Medium TOS_1 Yitpi eCO2",332.75,26.6625,31.97,13.98,"eCO2","181","Medium","Horsham__Australia","2007","TOS_1","Yitpi",0.801502629601803,1.2966713548992,1.01141695339381,1.0230686695279
"10","Horsham__Australia 2007 229 Low TOS_1 Janz ","Horsham__Australia 2007 229 Low TOS_1 Janz aCO2",343.9,27.79,29.595,13.22,"aCO2","229","Low","Horsham__Australia","2007","TOS_1","Janz","Horsham__Australia 2007 229 Low TOS_1 Janz eCO2",428.75,27.9825,27.6075,12.6,"eCO2","229","Low","Horsham__Australia","2007","TOS_1","Janz",0.802099125364431,0.993120700437774,1.07199130671013,1.04920634920635
