Cultivar,Site,Year,CO2,YieldRice,whynot
86Y8,Tsukubamirai_Japan,2010,a,,
86Y8,Tsukubamirai_Japan,2010,e,,
86Y8,Tsukubamirai_Japan,2010,a,,
86Y8,Tsukubamirai_Japan,2010,e,,
86Y8,Tsukubamirai_Japan,2010,a,,
86Y8,Tsukubamirai_Japan,2010,e,,
Aikoku,Tsukubamirai_Japan,2010,a,479,
Aikoku,Tsukubamirai_Japan,2010,e,606,
Akidawara,Tsukubamirai_Japan,2010,a,513,
Akidawara,Tsukubamirai_Japan,2010,e,647,
Akihikari,Tsukubamirai_Japan,2010,a,545,
Akihikari,Tsukubamirai_Japan,2010,e,560,
Akita63,Tsukubamirai_Japan,2010,a,577,
Akita63,Tsukubamirai_Japan,2010,e,691,
Akitakomachi,Shizukuishi_Japan,2007,a,556,
Akitakomachi,Shizukuishi_Japan,2007,e,671,
Akitakomachi,Shizukuishi_Japan,2007,a,,heated
Akitakomachi,Shizukuishi_Japan,2007,e,,heated
Akitakomachi,Shizukuishi_Japan,2008,a,622,
Akitakomachi,Shizukuishi_Japan,2008,e,748,
Akitakomachi,Shizukuishi_Japan,2008,a,,heated
Akitakomachi,Shizukuishi_Japan,2008,e,,heated
Akitakomachi,Tsukubamirai_Japan,2010,a,507,
Akitakomachi,Tsukubamirai_Japan,2010,e,528,
Bekoaoba,Tsukubamirai_Japan,2010,a,,
Bekoaoba,Tsukubamirai_Japan,2010,e,,
Hoshiaoba,Tsukubamirai_Japan,2010,a,,
Hoshiaoba,Tsukubamirai_Japan,2010,e,,
IR72,Tsukubamirai_Japan,2010,a,,
IR72,Tsukubamirai_Japan,2010,e,,
Kokuriku193,Tsukubamirai_Japan,2010,a,,
Kokuriku193,Tsukubamirai_Japan,2010,e,,
Koshihikari,Shizukuishi_Japan,2008,a,612,
Koshihikari,Shizukuishi_Japan,2008,e,672,
Koshihikari,Tsukubamirai_Japan,2010,a,,low
Koshihikari,Tsukubamirai_Japan,2010,e,,low
Koshihikari,Tsukubamirai_Japan,2010,a,552,
Koshihikari,Tsukubamirai_Japan,2010,e,642,
Koshihikari,Tsukubamirai_Japan,2010,a,,heated
Koshihikari,Tsukubamirai_Japan,2010,e,,heated
Koshihikari,Tsukubamirai_Japan,2010,a,,high
Koshihikari,Tsukubamirai_Japan,2010,e,,high
Lemont,Tsukubamirai_Japan,2010,a,,
Lemont,Tsukubamirai_Japan,2010,e,,
Milyang23,Tsukubamirai_Japan,2010,a,,
Milyang23,Tsukubamirai_Japan,2010,e,,
Miriroman,Tsukubamirai_Japan,2010,a,,
Miriroman,Tsukubamirai_Japan,2010,e,,
Nihonbare,Tsukubamirai_Japan,2010,a,,
Nihonbare,Tsukubamirai_Japan,2010,e,,
Norin8,Tsukubamirai_Japan,2010,a,431,
Norin8,Tsukubamirai_Japan,2010,e,586,
SY63,Tsukubamirai_Japan,2010,a,,
SY63,Tsukubamirai_Japan,2010,e,,
SY63,Tsukubamirai_Japan,2010,a,,
SY63,Tsukubamirai_Japan,2010,e,,
Takanari,Shizukuishi_Japan,2008,a,492,
Takanari,Shizukuishi_Japan,2008,e,571,
Takanari,Tsukubamirai_Japan,2010,a,697,
Takanari,Tsukubamirai_Japan,2010,e,845,
Takanari,Tsukubamirai_Japan,2010,a,,high
Takanari,Tsukubamirai_Japan,2010,e,,high
,,,,,
