"","location","year","crop","water","fertiliser","TOS","cultivar","LocYrCrWNTC","mRRB","mRRCa","mRRCu","mRRFe","mRRK","mRRMg","mRRMn","mRRN","mRRP","mRRP","mRRS","mRRZn"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997...","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Clark","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Clark ","0.833769633507853","0.974926253687316","1.03125","0.985120892746435","1","0.951456310679612","0.980988593155893","1.03048065650645","1.02743249035577","1.02743249035577","0.971675845790716","1.02101576182137"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997....1","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Dwight","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Dwight ","1.07769145394007","0.974802015838733","0.99609375","0.932938856015779","0.997448979591837","0.951076320939335","1.02604166666667","1.00246305418719","0.98260113092649","0.98260113092649","0.981907894736842","0.956812652068127"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997....2","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Flyer","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Flyer ","0.762081784386617","1.00236034618411","0.917594654788419","0.905607476635514","0.99869109947644","0.972826086956522","1.05996472663139","0.985","0.961504028648165","0.961504028648165","0.948987246811703","0.927741935483871"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997....3","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Loda","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Loda ","0.976038338658147","1.01004566210046","0.936507936507937","0.893273542600897","0.993857493857494","0.953921568627451","0.903772132409546","1.02183956320874","0.929948839039748","0.929948839039748","0.98244213886672","0.942907592701589"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997....4","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Pana","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Pana ","0.852980132450331","0.960985626283368","0.971014492753623","0.958477508650519","0.976923076923077","0.939723320158103","1.04434250764526","1.0089358245329","0.941409342834521","0.941409342834521","0.959415584415584","0.932786885245902"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997....5","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Spencer","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Spencer ","0.888189738625363","0.925961538461538","1.018779342723","0.923712650985378","0.995115995115995","0.931352459016394","0.977675134719015","1.002726918582","0.939344925192074","0.939344925192074","0.954869358669834","0.932919254658385"
"c..Champaign__Illinois....2001....soybean....Dry....Low....26.05.1997....6","Champaign__Illinois","2001","soybean","Dry","Low","26/05/1997","Williams","Champaign__Illinois 2001 soybean Dry Low 26/05/1997 Williams ","0.801476014760148","1.02679425837321","1.00592885375494","0.963474827245805","0.996207332490518","0.964781216648879","1.06585788561525","0.99647473560517","0.942236788201557","0.942236788201557","0.936186770428016","0.940504807692308"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998...","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Clark","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Clark ","0.943920044419767","0.981989708404803","0.935018050541516","0.99027498323273","1.0098643649815","0.976973684210526","1.06307977736549","0.995892457057506","1.0046102263202","1.0046102263202","0.990306946688207","0.935796486977589"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998....1","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Dwight","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Dwight ","0.992081447963801","0.87094682230869","0.752066115702479","0.970262793914246","1.0395256916996","0.966292134831461","1.03402489626556","0.995238095238095","1.01993355481728","1.01993355481728","0.989291598023064","0.924404761904762"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998....2","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Flyer","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Flyer ","1.00125","0.958293838862559","0.919678714859438","0.960756832515767","0.993556701030928","0.985347985347985","0.941002949852507","0.971501644135915","1.02313167259786","1.02313167259786","0.990922844175492","0.946280991735537"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998....3","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Loda","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Loda ","0.977257525083612","0.9375","0.96695652173913","0.921204745968969","1.01815823605707","0.985386221294363","1.00461680517082","0.979841897233201","1.00410340582684","1.00410340582684","0.961264822134387","0.925364077669903"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998....4","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Pana","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Pana ","0.957771260997068","0.929558011049724","0.883683360258481","0.970212765957447","1.00789473684211","0.969331872946331","0.995697074010327","1.01064701064701","0.981788079470199","0.981788079470199","0.989769820971867","0.908767772511848"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998....5","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Spencer","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer ","0.948991696322657","0.945823927765237","0.914728682170543","0.92373720699901","1.00858895705521","0.980414746543779","1.00274223034735","0.980112570356473","1.00293009627459","1.00293009627459","0.945482866043614","0.943046357615894"
"c..Champaign__Illinois....2002....soybean....Dry....Low....31.05.1998....6","Champaign__Illinois","2002","soybean","Dry","Low","31/05/1998","Williams","Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams ","0.946857142857143","0.941239316239316","0.949596774193548","1.03804737975592","1.01554404145078","0.98661800486618","0.997153700189753","0.97452934662237","1.02255639097744","1.02255639097744","0.949286846275753","0.941986947063089"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000...","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Clark","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark ","0.938717067583047","0.94165170556553","0.961538461538461","0.925762711864407","1.00791556728232","0.936936936936937","0.907509157509158","1.02448657187994","1.04102316602317","1.04102316602317","0.994252873563218","1.03556771545828"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000....1","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Dwight","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight ","1.00233372228705","0.912096774193548","0.93109243697479","0.96756937479104","0.971241830065359","0.945295404814004","1.0104620749782","1.05832628909552","0.978001833180568","0.978001833180568","0.982352941176471","0.947972972972973"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000....2","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Flyer","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer ","0.939480097481722","0.946261682242991","0.943298969072165","0.977900552486188","1.02310536044362","0.996231155778894","1.0225321888412","1.00859453993933","1.07073329007138","1.07073329007138","0.9675","0.954802259887006"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000....3","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Loda","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda ","0.93812375249501","0.899590163934426","0.909688013136289","0.964748418198253","0.970783532536521","0.952076677316294","0.971070395371263","1.02723577235772","1.00600343053173","1.00600343053173","0.980876494023904","0.914798206278027"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000....4","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Pana","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana ","0.924134139637163","0.964824120603015","0.91969696969697","0.971715328467153","0.981792717086835","0.965336134453782","0.990671641791045","1.02594728171334","0.941278065630397","0.941278065630397","0.978947368421053","0.913094539048737"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000....5","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Spencer","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Spencer ","0.936111111111111","0.889800703399766","0.916071428571429","0.971467858370574","1.00386597938144","0.976442873969376","1.02839756592292","1.01698841698842","1.05288673424416","1.05288673424416","0.960062646828504","0.979020979020979"
"c..Champaign__Illinois....2004....soybean....Dry....Low....27.05.2000....6","Champaign__Illinois","2004","soybean","Dry","Low","27/05/2000","Williams","Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Williams ","0.915860014892033","0.91049798115747","0.933928571428571","0.902183502426114","0.981481481481482","0.950738916256158","0.924671052631579","1.01303317535545","1.0463368816531","1.0463368816531","0.958730158730159","0.961106115107914"
"c..Champaign__Illinois....2006....soybean....Dry....Low....24.05.2002...","Champaign__Illinois","2006","soybean","Dry","Low","24/05/2002","Pana","Champaign__Illinois 2006 soybean Dry Low 24/05/2002 Pana ","0.969001148105626","0.880668257756563","0.947626841243862","1.02987637362637","1.06027397260274","0.974039460020768","0.963366336633663","0.975677830940989","1.03157031570316","1.03157031570316","0.976210705182668","0.969040247678019"
"c..Champaign__Illinois....2007....soybean....Dry....Low....21.05.2003...","Champaign__Illinois","2007","soybean","Dry","Low","21/05/2003","Pana","Champaign__Illinois 2007 soybean Dry Low 21/05/2003 Pana ","0.963560334528077","0.944107744107744","0.958904109589041","0.91579594345421","0.952624839948784","0.935357492654261","0.882648784576697","1.00954356846473","0.930561330561331","0.930561330561331","0.960636515912898","0.938242280285036"
"c..Champaign__Illinois....2008....Corn....Dry....Low....NA...","Champaign__Illinois","2008","Corn","Dry","Low","NA","Cv34B43","Champaign__Illinois 2008 Corn Dry Low NA Cv34B43 ","1.13218390804598","1.0952380952381","1.02816901408451","0.989655172413793","0.978571428571429","0.914893617021276","0.973509933774834","1.07068062827225","0.904045155221073","0.904045155221073","1.08139534883721","0.88135593220339"
"c..Champaign__Illinois....2008....Corn....Dry....Low....NA....1","Champaign__Illinois","2008","Corn","Dry","Low","NA","DKC61-19","Champaign__Illinois 2008 Corn Dry Low NA DKC61-19 ","0.982954545454545","1.0625","0.959459459459459","0.978723404255319","0.968992248062015","0.946835443037975","1","0.988980716253444","0.935860058309038","0.935860058309038","1.03561643835616","0.970705725699068"
"c..Champaign__Illinois....2008....Corn....Dry....Medium....NA...","Champaign__Illinois","2008","Corn","Dry","Medium","NA","Cv34B43","Champaign__Illinois 2008 Corn Dry Medium NA Cv34B43 ","1.02873563218391","0.769230769230769","0.868686868686869","0.932952924393723","0.96969696969697","0.907563025210084","0.865384615384615","0.882716049382716","0.927813163481953","0.927813163481953","0.981865284974093","0.92797783933518"
"c..Champaign__Illinois....2008....Corn....Dry....Medium....NA....1","Champaign__Illinois","2008","Corn","Dry","Medium","NA","DKC61-19","Champaign__Illinois 2008 Corn Dry Medium NA DKC61-19 ","1.05625","1","0.770833333333333","0.872531418312388","0.975806451612903","1.00516795865633","1","0.885106382978724","0.950787401574803","0.950787401574803","0.989873417721519","1.01560468140442"
"c..Champaign__Illinois....2008....soybean....Dry....Low....16.06.2004...","Champaign__Illinois","2008","soybean","Dry","Low","16/06/2004","Loda","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Loda ","0.955213903743316","0.908084163898117","0.903945111492281","0.99696151249156","1.01221166892809","0.968879668049793","0.995712754555198","1.00408830744072","0.992129629629629","0.992129629629629","0.965936739659367","0.911857958148383"
"c..Champaign__Illinois....2008....soybean....Dry....Low....16.06.2004....1","Champaign__Illinois","2008","soybean","Dry","Low","16/06/2004","Pana","Champaign__Illinois 2008 soybean Dry Low 16/06/2004 Pana ","0.998760842627013","0.931309904153355","1.00169491525424","1.03674351585014","1.01560283687943","0.992677824267783","0.994703389830508","1.01313002964845","1.02172928927116","1.02172928927116","0.99664147774979","1.01503267973856"
"c..Horsham__Australia....2010....Field_peas....Dry....Low....25.05.2006...","Horsham__Australia","2010","Field_peas","Dry","Low","25/05/2006","Bohatyr","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Bohatyr ","0.986013986013986","1.1123595505618","0.955357142857143","0.983596214511041","1.03225806451613","1.00437636761488","0.943661971830986","0.98957557706627","0.986733001658375","0.986733001658375","0.970588235294118","0.918324607329843"
"c..Horsham__Australia....2010....Field_peas....Dry....Low....25.05.2006....1","Horsham__Australia","2010","Field_peas","Dry","Low","25/05/2006","Kaspa","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Kaspa ","1.06206896551724","1.01672240802676","1.02448979591837","0.888772298006296","1.02061855670103","1.01834862385321","0.973372781065089","1.00455580865604","0.954135338345865","0.954135338345865","0.968834688346883","0.946022727272727"
"c..Horsham__Australia....2010....Field_peas....Dry....Low....25.05.2006....2","Horsham__Australia","2010","Field_peas","Dry","Low","25/05/2006","OZP0601","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0601 ","0.963210702341137","0.972868217054264","1.04273504273504","0.951984635083227","1.02992518703242","1.00731707317073","1.01238390092879","0.993655828707375","0.983739837398374","0.983739837398374","0.995626822157434","1.00647948164147"
"c..Horsham__Australia....2010....Field_peas....Dry....Low....25.05.2006....3","Horsham__Australia","2010","Field_peas","Dry","Low","25/05/2006","OZP0902","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 OZP0902 ","0.975352112676056","1.0251572327044","0.990610328638498","0.929515418502203","0.986111111111111","0.981438515081206","0.938775510204082","0.925636007827789","0.911352040816326","0.911352040816326","0.961916461916462","0.959798994974874"
"c..Horsham__Australia....2010....Field_peas....Dry....Low....25.05.2006....4","Horsham__Australia","2010","Field_peas","Dry","Low","25/05/2006","Sturt","Horsham__Australia 2010 Field_peas Dry Low 25/05/2006 Sturt ","0.970695970695971","0.922005571030641","0.963963963963964","0.940713853599516","1.05494505494505","0.989059080962801","0.997198879551821","0.988505747126437","0.980912863070539","0.980912863070539","1","0.976318622174381"
"c..Horsham__Australia....2010....Field_peas....Wet....Low....25.05.2006...","Horsham__Australia","2010","Field_peas","Wet","Low","25/05/2006","Bohatyr","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Bohatyr ","0.99644128113879","1.01544401544402","0.969298245614035","0.968730456535335","1.06084656084656","0.969498910675381","0.970027247956403","0.948642699926632","0.968118195956454","0.968118195956454","1.00455235204856","0.908333333333333"
"c..Horsham__Australia....2010....Field_peas....Wet....Low....25.05.2006....1","Horsham__Australia","2010","Field_peas","Wet","Low","25/05/2006","Kaspa","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Kaspa ","0.979381443298969","0.980891719745223","0.988095238095238","1.04290822407628","1.03580562659847","1.02888888888889","0.991689750692521","1.0247005988024","1.03996983408748","1.03996983408748","1.00136425648022","0.972273567467653"
"c..Horsham__Australia....2010....Field_peas....Wet....Low....25.05.2006....2","Horsham__Australia","2010","Field_peas","Wet","Low","25/05/2006","OZP0601","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0601 ","0.968531468531469","1","0.934108527131783","0.939168218497828","1.01694915254237","1.02836879432624","1.0137741046832","1.003861003861","1.02334630350195","1.02334630350195","0.978323699421965","0.8720703125"
"c..Horsham__Australia....2010....Field_peas....Wet....Low....25.05.2006....3","Horsham__Australia","2010","Field_peas","Wet","Low","25/05/2006","OZP0902","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 OZP0902 ","0.947916666666667","1.12048192771084","0.961702127659575","0.967120181405896","0.944554455445545","1.00231481481481","0.904109589041096","0.926364234056542","0.848271821909783","0.848271821909783","0.896260554885404","0.888245033112583"
"c..Horsham__Australia....2010....Field_peas....Wet....Low....25.05.2006....4","Horsham__Australia","2010","Field_peas","Wet","Low","25/05/2006","Sturt","Horsham__Australia 2010 Field_peas Wet Low 25/05/2006 Sturt ","0.973684210526316","0.89080459770115","0.934156378600823","0.95045871559633","1.00260416666667","0.969498910675381","0.964467005076142","0.974493623405851","0.909984871406959","0.909984871406959","0.974632843791722","0.859311740890688"
"c..Maricopa__Arizona....1998....Sorghum....Dry....Medium....NA...","Maricopa__Arizona","1998","Sorghum","Dry","Medium","NA","NA","Maricopa__Arizona 1998 Sorghum Dry Medium NA NA ","0.986301369863014","1.04838709677419","0.942446043165468","0.958521190261497","1.0062893081761","0.967391304347826","0.963218390804598","0.957325746799431","0.963153384747215","0.963153384747215","0.987562189054726","0.966304347826087"
"c..Maricopa__Arizona....1998....Sorghum....Wet....Medium....NA...","Maricopa__Arizona","1998","Sorghum","Wet","Medium","NA","NA","Maricopa__Arizona 1998 Sorghum Wet Medium NA NA ","0.935672514619883","1.16666666666667","1.04683195592286","1.07176391683434","1.0031746031746","1.03512014787431","1.01857923497268","1.02271526677232","1.03115264797508","1.03115264797508","1.03013698630137","1.05115511551155"
"c..Maricopa__Arizona....1999....Sorghum....Dry....Medium....NA...","Maricopa__Arizona","1999","Sorghum","Dry","Medium","NA","NA","Maricopa__Arizona 1999 Sorghum Dry Medium NA NA ","0.951289398280802","0.931297709923664","0.926829268292683","0.947609359104781","0.990291262135922","0.948148148148148","0.98988326848249","0.964319248826291","0.970025839793282","0.970025839793282","0.929618768328446","0.926744186046512"
"c..Maricopa__Arizona....1999....Sorghum....Wet....Medium....NA...","Maricopa__Arizona","1999","Sorghum","Wet","Medium","NA","NA","Maricopa__Arizona 1999 Sorghum Wet Medium NA NA ","1.14507772020725","1.36842105263158","1.00714285714286","1.11497105045492","1.12352941176471","1.06144393241167","1.11575875486381","1.06862745098039","1.05829015544041","1.05829015544041","1.05285412262156","1.02197802197802"
"c..Shizukuishi__Japan....2007....Rice....Wet....Medium....NA...","Shizukuishi__Japan","2007","Rice","Wet","Medium","NA","Akitakomachi","Shizukuishi__Japan 2007 Rice Wet Medium NA Akitakomachi ","1.03409090909091","2.38461538461538","1.08421052631579","0.957278481012658","1.01840490797546","1.00731707317073","1.19622641509434","0.937655860349127","1.01089423513391","1.01089423513391","0.970689655172414","0.948938611589214"
"c..Shizukuishi__Japan....2008....Rice....Wet....Medium....NA...","Shizukuishi__Japan","2008","Rice","Wet","Medium","NA","Akitakomachi","Shizukuishi__Japan 2008 Rice Wet Medium NA Akitakomachi ","0.975903614457831","1.05882352941176","1.01","0.882154882154882","1.00653594771242","0.988476312419974","1.1984572230014","0.911802853437095","0.987378640776699","0.987378640776699","0.913120567375887","0.930174563591022"
"c..Shizukuishi__Japan....2008....Rice....Wet....Medium....NA....1","Shizukuishi__Japan","2008","Rice","Wet","Medium","NA","Koshihikari","Shizukuishi__Japan 2008 Rice Wet Medium NA Koshihikari ","1.05714285714286","2.83333333333333","1.06818181818182","0.978540772532189","1.04054054054054","1.04444444444444","1.17028380634391","0.952978056426332","1.02564102564103","1.02564102564103","0.97071129707113","0.979495268138801"
"c..Shizukuishi__Japan....2008....Rice....Wet....Medium....NA....2","Shizukuishi__Japan","2008","Rice","Wet","Medium","NA","Takanari","Shizukuishi__Japan 2008 Rice Wet Medium NA Takanari ","0.743243243243243","1","0.961538461538461","0.953389830508475","0.977777777777778","0.987309644670051","1.06911142454161","0.950904392764858","0.964959568733154","0.964959568733154","0.951367781155015","0.933709449929478"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA...","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","86Y8","Tsukubamirai__Japan 2010 Rice Wet High NA 86Y8 ","1.36923076923077","1.12727272727273","0.83974358974359","1.03944315545244","1.09615384615385","1.02789699570815","1.04593110334498","0.930501930501931","1.03461841070024","1.03461841070024","0.944020356234097","1.01856763925729"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....1","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Bekoaoba","Tsukubamirai__Japan 2010 Rice Wet High NA Bekoaoba ","1.09756097560976","0.166666666666667","0.84","0.965432098765432","1.00694444444444","0.990439770554493","0.801007556675063","0.895220588235294","1.00568990042674","1.00568990042674","0.883544303797468","0.949"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....2","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Hoshiaoba","Tsukubamirai__Japan 2010 Rice Wet High NA Hoshiaoba ","1.0952380952381","1.1304347826087","0.78125","0.923404255319149","1.06976744186047","1.02673796791444","0.975363941769317","0.897391304347826","1.02997858672377","1.02997858672377","0.898584905660377","0.96031746031746"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....3","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","IR72","Tsukubamirai__Japan 2010 Rice Wet High NA IR72 ","1.13333333333333","0.942307692307692","1.01438848920863","0.942105263157895","0.956140350877193","0.953321364452424","0.858647936786655","0.907103825136612","0.948611111111111","0.948611111111111","0.897911832946636","1.01467268623025"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....4","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Kokuriku193","Tsukubamirai__Japan 2010 Rice Wet High NA Kokuriku193 ","1.21917808219178","1.5","0.893129770992366","1.03023255813953","1.08064516129032","1.09469696969697","1.04071661237785","0.911522633744856","1.06332842415317","1.06332842415317","0.905405405405405","1.01701093560146"
"c..Tsukubamirai__Japan....2010....Rice....Wet....High....NA....5","Tsukubamirai__Japan","2010","Rice","Wet","High","NA","Koshihikari","Tsukubamirai__Japan 2010 Rice Wet High NA Koshihikari ","1.15384615384615","1.07142857142857","0.93984962406015","0.957777777777778","0.991150442477876","0.97841726618705","0.861426256077796","0.893700787401575","0.987121212121212","0.987121212121212","0.895604395604396","0.990134529147982"
