,V1,mRRYield,mRRFe,mRRprotein,mRRZn
1,Horsham__Australia 2007 wheat Dry Low TOS_1 Janz ,1.047312242,0.905615822,0.973139045,1.112593383
2,Horsham__Australia 2007 wheat Dry Low TOS_1 Yitpi ,1.2159203,0.908959119,0.95253448,0.987827049
3,Horsham__Australia 2007 wheat Dry Low TOS_2 Janz ,1.013691619,0.97864912,0.97093669,1.082595124
4,Horsham__Australia 2007 wheat Dry Low TOS_2 Yitpi ,1.086340682,0.91143239,0.952321651,0.963571215
5,Horsham__Australia 2007 wheat Dry Medium TOS_1 Yitpi ,1.247656543,0.988711922,0.977451494,0.771205438
6,Horsham__Australia 2007 wheat Dry Medium TOS_2 Yitpi ,1.006754312,0.973293955,0.996761425,1.049574282
7,Horsham__Australia 2007 wheat Wet Low TOS_1 Janz ,1.2467287,0.932843386,0.953101362,1.006926952
8,Horsham__Australia 2007 wheat Wet Low TOS_1 Yitpi ,1.134042553,0.971155354,0.981288981,1.119550173
9,Horsham__Australia 2007 wheat Wet Low TOS_2 Janz ,1.436048527,0.979290147,0.978032121,0.892842105
10,Horsham__Australia 2007 wheat Wet Low TOS_2 Yitpi ,1.274905965,0.925315899,0.955290346,0.965958859
11,Horsham__Australia 2007 wheat Wet Medium TOS_1 Yitpi ,1.343558282,0.891908633,0.957137668,1.051265649
12,Horsham__Australia 2007 wheat Wet Medium TOS_2 Yitpi ,1.637495511,0.964605793,0.96543612,0.848517232
13,Horsham__Australia 2008 wheat Dry Low TOS_1 Janz ,1.163175441,1.033098972,0.943415945,1.105045651
14,Horsham__Australia 2008 wheat Dry Low TOS_1 Yitpi ,1.228131981,0.971247262,0.970060893,0.906120434
15,Horsham__Australia 2008 wheat Dry Low TOS_2 Janz ,1.588397646,0.928679164,0.964311879,0.775191352
16,Horsham__Australia 2008 wheat Dry Low TOS_2 Yitpi ,0.888443081,1.02065565,1.006338616,1.034567039
17,Horsham__Australia 2008 wheat Dry Medium TOS_1 Yitpi ,1.46634677,0.993470982,0.952106359,0.858729074
18,Horsham__Australia 2008 wheat Dry Medium TOS_2 Yitpi ,0.747220427,1.060297357,1.084595128,1.046750932
19,Horsham__Australia 2008 wheat Wet Low TOS_1 Janz ,1.781632614,0.908587742,0.885889392,0.685808105
